<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEG.US,5,20250829,153000,29.98,29.98,29.98,29.98,100,0
MEG.US,5,20250829,153500,30.08,30.2454,29.98,30.05,800,0
MEG.US,5,20250829,154000,30.16,30.16,30.16,30.16,100,0
MEG.US,5,20250829,154500,30.08,30.08,30.08,30.08,100,0
MEG.US,5,20250829,155000,30.155,30.155,30.02,30.02,200,0
MEG.US,5,20250829,155500,30.155,30.155,29.86,30.11,6393,0
MEG.US,5,20250829,160000,30.15,30.215,30.15,30.21,1465,0
MEG.US,5,20250829,160500,30.21,30.5,30.21,30.42,11566,0
MEG.US,5,20250829,161000,30.299,30.39,30.299,30.39,826,0
MEG.US,5,20250829,161500,30.31,30.33,30.28,30.28,1300,0
MEG.US,5,20250829,162500,30.41,30.42,30.39,30.42,700,0
MEG.US,5,20250829,163000,30.3973,30.495,30.3973,30.495,400,0
MEG.US,5,20250829,163500,30.51,30.58,30.51,30.535,1780,0
MEG.US,5,20250829,164000,30.535,30.535,30.38,30.38,1241,0
MEG.US,5,20250829,165000,30.43,30.51,30.39,30.47,2922,0
MEG.US,5,20250829,165500,30.42,30.48,30.415,30.48,1554,0
MEG.US,5,20250829,170000,30.4473,30.55,30.4473,30.55,835,0
MEG.US,5,20250829,170500,30.505,30.505,30.505,30.505,500,0
MEG.US,5,20250829,171000,30.505,30.55,30.42,30.42,1200,0
MEG.US,5,20250829,171500,30.4564,30.62,30.4564,30.585,7120,0
MEG.US,5,20250829,172000,30.54,30.555,30.52,30.52,1700,0
MEG.US,5,20250829,172500,30.555,30.57,30.545,30.555,1150,0
MEG.US,5,20250829,173000,30.51,30.555,30.49,30.555,800,0
MEG.US,5,20250829,174000,30.51,30.51,30.475,30.5,700,0
MEG.US,5,20250829,174500,30.51,30.51,30.51,30.51,200,0
MEG.US,5,20250829,175000,30.435,30.435,30.435,30.435,200,0
MEG.US,5,20250829,175500,30.52,30.565,30.52,30.53,1853,0
MEG.US,5,20250829,180000,30.53,30.57,30.46,30.55,2465,0
MEG.US,5,20250829,180500,30.6,30.6982,30.59,30.62,5447,0
MEG.US,5,20250829,181500,30.6236,30.6499,30.6,30.62,1550,0
MEG.US,5,20250829,182000,30.6188,30.6744,30.6188,30.6744,1040,0
MEG.US,5,20250829,182500,30.6774,30.69,30.66,30.66,2400,0
MEG.US,5,20250829,183000,30.71,30.74,30.685,30.7,1724,0
MEG.US,5,20250829,183500,30.7,30.74,30.7,30.74,400,0
MEG.US,5,20250829,184000,30.7,30.7,30.65,30.66,1054,0
MEG.US,5,20250829,184500,30.685,30.7471,30.67,30.7471,1300,0
MEG.US,5,20250829,185000,30.71,30.71,30.65,30.65,800,0
MEG.US,5,20250829,185500,30.63,30.63,30.63,30.63,317,0
MEG.US,5,20250829,190000,30.615,30.615,30.56,30.57,1400,0
MEG.US,5,20250829,190500,30.58,30.71,30.58,30.62,19971,0
MEG.US,5,20250829,191000,30.65,30.6799,30.635,30.64,1410,0
MEG.US,5,20250829,191500,30.635,30.635,30.635,30.635,200,0
MEG.US,5,20250829,192000,30.645,30.68,30.645,30.68,435,0
MEG.US,5,20250829,192500,30.67,30.74,30.65,30.7,1399,0
MEG.US,5,20250829,193000,30.74,30.89,30.74,30.772,9588,0
MEG.US,5,20250829,193500,30.78,30.8,30.75,30.75,1100,0
MEG.US,5,20250829,194000,30.76,30.77,30.745,30.75,900,0
MEG.US,5,20250829,195000,30.73,30.75,30.73,30.74,1558,0
MEG.US,5,20250829,195500,30.74,30.9,30.73,30.885,7843,0
MEG.US,5,20250829,200000,30.91,30.91,30.895,30.895,300,0
MEG.US,5,20250829,200500,30.8938,30.93,30.8938,30.919,685,0
MEG.US,5,20250829,201000,30.9,30.9,30.85,30.85,2680,0
MEG.US,5,20250829,201500,30.85,30.91,30.845,30.8692,1826,0
MEG.US,5,20250829,202000,30.895,30.895,30.85,30.85,1500,0
MEG.US,5,20250829,202500,30.87,30.88,30.87,30.88,200,0
MEG.US,5,20250829,203000,30.9,30.91,30.9,30.9,300,0
MEG.US,5,20250829,203500,30.98,30.99,30.92,30.95,1100,0
MEG.US,5,20250829,204000,30.94,30.94,30.922,30.925,1500,0
MEG.US,5,20250829,204500,30.895,30.895,30.88,30.88,300,0
MEG.US,5,20250829,205000,30.895,30.91,30.85,30.91,1800,0
MEG.US,5,20250829,205500,30.92,30.9284,30.87,30.89,900,0
MEG.US,5,20250829,210000,30.87,30.89,30.84,30.88,900,0
MEG.US,5,20250829,210500,30.89,30.909,30.85,30.85,715,0
MEG.US,5,20250829,211000,30.875,30.88,30.875,30.875,1699,0
MEG.US,5,20250829,211500,30.86,30.9,30.79,30.865,2473,0
MEG.US,5,20250829,212000,30.87,30.87,30.75,30.84,2000,0
MEG.US,5,20250829,212500,30.83,30.86,30.81,30.86,500,0
MEG.US,5,20250829,213000,30.835,30.86,30.83,30.86,1682,0
MEG.US,5,20250829,213500,30.875,30.88,30.84,30.87,1172,0
MEG.US,5,20250829,214000,30.85,30.93,30.85,30.93,900,0
MEG.US,5,20250829,214500,30.92,30.97,30.88,30.9101,3474,0
MEG.US,5,20250829,215000,30.98,31,30.91,30.935,7253,0
MEG.US,5,20250829,215500,30.95,31.22,30.95,31.06,65185,0
MEG.US,5,20250902,153000,30.405,30.78,30.03,30.26,2230,0
MEG.US,5,20250902,153500,30.2185,30.374,29.62,30,5627,0
MEG.US,5,20250902,154000,30.01,30.26,29.9,30.26,6536,0
MEG.US,5,20250902,154500,30.16,30.42,30.12,30.42,1593,0
MEG.US,5,20250902,155000,30.595,30.665,30.595,30.665,1333,0
MEG.US,5,20250902,155500,30.57,30.6217,30.51,30.54,812,0
MEG.US,5,20250902,160000,30.64,30.74,30.61,30.61,2791,0
MEG.US,5,20250902,160500,30.82,30.82,30.74,30.74,700,0
MEG.US,5,20250902,161000,30.66,30.66,30.6,30.625,798,0
MEG.US,5,20250902,161500,30.69,30.69,30.68,30.68,600,0
