<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGRD.US,5,20250829,160000,16.295,16.295,16.295,16.295,250,0
MGRD.US,5,20250829,165500,16.28,16.28,16.28,16.28,300,0
MGRD.US,5,20250829,171500,16.2009,16.2009,16.2009,16.2009,1000,0
MGRD.US,5,20250829,174000,16.2,16.2,16.2,16.2,200,0
MGRD.US,5,20250829,184000,16.2,16.2,16.2,16.2,100,0
MGRD.US,5,20250829,211500,16.15,16.15,16.15,16.15,100,0
MGRD.US,5,20250829,215500,16.28,16.28,16.23,16.23,523,0
MGRD.US,5,20250902,155000,16.15,16.15,16.15,16.15,100,0
MGRD.US,5,20250902,162500,16.1171,16.1171,16.1171,16.1171,500,0
MGRD.US,5,20250902,172500,16.1,16.1,16.1,16.1,300,0
MGRD.US,5,20250902,173000,16.1078,16.1078,16.1078,16.1078,271,0
MGRD.US,5,20250902,194000,16.18,16.18,16.1001,16.14,400,0
MGRD.US,5,20250902,201000,16.1432,16.1432,16.1432,16.1432,500,0
MGRD.US,5,20250902,211500,16.11,16.11,16.11,16.11,100,0
MGRD.US,5,20250902,212000,16.1167,16.1167,16.1167,16.1167,259,0
MGRD.US,5,20250902,215500,16.13,16.13,16.13,16.13,201,0
MGRD.US,5,20250903,160000,16.14,16.14,16.14,16.14,949,0
MGRD.US,5,20250903,192500,16.27,16.2895,16.27,16.27,500,0
MGRD.US,5,20250903,204000,16.29,16.29,16.29,16.29,125,0
MGRD.US,5,20250903,214500,16.4,16.4,16.4,16.4,150,0
MGRD.US,5,20250903,215000,16.21,16.26,16.21,16.22,533,0
MGRD.US,5,20250903,215500,16.3,16.3,16.26,16.26,344,0
MGRD.US,5,20250904,165500,16.1201,16.27,16.1201,16.27,300,0
MGRD.US,5,20250904,172000,16.3,16.3,16.29,16.29,400,0
MGRD.US,5,20250904,173500,16.29,16.29,16.29,16.29,400,0
MGRD.US,5,20250904,184000,16.29,16.29,16.29,16.29,100,0
MGRD.US,5,20250904,205000,16.38,16.38,16.38,16.38,134,0
MGRD.US,5,20250904,215000,16.35,16.38,16.35,16.38,430,0
MGRD.US,5,20250904,215500,16.31,16.4,16.31,16.4,400,0
MGRD.US,5,20250905,154000,16.45,16.45,16.45,16.45,200,0
MGRD.US,5,20250905,155500,16.5,16.5,16.5,16.5,310,0
MGRD.US,5,20250905,160500,16.6,16.6,16.6,16.6,212,0
MGRD.US,5,20250905,162500,16.502,16.51,16.5,16.5,500,0
MGRD.US,5,20250905,165500,16.38,16.38,16.34,16.35,1800,0
MGRD.US,5,20250905,171500,16.44,16.44,16.44,16.44,100,0
MGRD.US,5,20250905,172500,16.442,16.442,16.44,16.44,400,0
MGRD.US,5,20250905,174000,16.5,16.5,16.5,16.5,100,0
MGRD.US,5,20250905,180000,16.4875,16.5,16.4875,16.5,340,0
MGRD.US,5,20250905,191000,16.5,16.5,16.5,16.5,269,0
MGRD.US,5,20250905,202000,16.5,16.5,16.5,16.5,131,0
MGRD.US,5,20250905,213000,16.53,16.53,16.52,16.52,300,0
MGRD.US,5,20250905,215500,16.58,16.58,16.58,16.58,557,0
MGRD.US,5,20250908,161000,16.6,16.65,16.6,16.65,900,0
MGRD.US,5,20250908,163000,16.55,16.55,16.55,16.55,500,0
MGRD.US,5,20250908,165000,16.47,16.55,16.47,16.53,800,0
