<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMS.US,5,20250829,153000,87.36,87.36,87.36,87.36,100,0
MMS.US,5,20250829,153500,87.61,88.905,87.61,88.905,2736,0
MMS.US,5,20250829,154000,87.92,88.14,87.92,88.14,1896,0
MMS.US,5,20250829,154500,88.145,88.17,88.145,88.17,672,0
MMS.US,5,20250829,155000,88.22,88.26,88.16,88.26,432,0
MMS.US,5,20250829,155500,88.42,88.42,87.975,87.975,9929,0
MMS.US,5,20250829,160000,87.975,87.975,87.935,87.935,1468,0
MMS.US,5,20250829,160500,87.92,87.92,87.85,87.85,791,0
MMS.US,5,20250829,161000,88.1,88.1,87.88,87.88,1258,0
MMS.US,5,20250829,161500,88.065,88.065,87.845,87.845,333,0
MMS.US,5,20250829,162000,88.09,88.125,88,88.065,1927,0
MMS.US,5,20250829,162500,88.065,88.065,87.87,87.96,410,0
MMS.US,5,20250829,163000,87.95,87.96,87.75,87.82,1679,0
MMS.US,5,20250829,163500,87.865,87.865,87.865,87.865,145,0
MMS.US,5,20250829,164000,87.5275,87.71,87.5275,87.71,3100,0
MMS.US,5,20250829,164500,87.7,87.7,87.5912,87.5912,656,0
MMS.US,5,20250829,165000,87.6,87.63,87.5,87.62,1921,0
MMS.US,5,20250829,165500,87.615,87.67,87.56,87.625,1054,0
MMS.US,5,20250829,170000,87.57,87.57,87.45,87.45,1100,0
MMS.US,5,20250829,170500,87.48,87.495,87.46,87.46,1776,0
MMS.US,5,20250829,171000,87.39,87.39,87.36,87.36,300,0
MMS.US,5,20250829,171500,87.275,87.275,87.205,87.205,300,0
MMS.US,5,20250829,172000,87.17,87.215,87.165,87.215,563,0
MMS.US,5,20250829,172500,87.2,87.265,87.195,87.205,1041,0
MMS.US,5,20250829,173000,87.17,87.29,87.17,87.29,1419,0
MMS.US,5,20250829,173500,87.33,87.335,87.33,87.335,200,0
MMS.US,5,20250829,174000,87.375,87.375,87.34,87.34,223,0
MMS.US,5,20250829,174500,87.41,87.41,87.395,87.4,796,0
MMS.US,5,20250829,175000,87.37,87.38,87.31,87.33,2057,0
MMS.US,5,20250829,175500,87.375,87.375,87.375,87.375,100,0
MMS.US,5,20250829,180500,87.32,87.36,87.2201,87.32,4157,0
MMS.US,5,20250829,181000,87.32,87.32,87.12,87.24,800,0
MMS.US,5,20250829,181500,87.2,87.2,87.17,87.17,759,0
MMS.US,5,20250829,182500,87.175,87.23,87.09,87.09,2582,0
