<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOS.US,5,20250829,153000,33.9,34.08,33.9,33.98,38511,0
MOS.US,5,20250829,153500,33.975,33.975,33.81,33.84,19630,0
MOS.US,5,20250829,154000,33.84,33.91,33.78,33.82,26321,0
MOS.US,5,20250829,154500,33.815,33.866,33.8,33.855,20909,0
MOS.US,5,20250829,155000,33.87,33.87,33.75,33.76,9711,0
MOS.US,5,20250829,155500,33.73,33.76,33.71,33.72,17829,0
MOS.US,5,20250829,160000,33.72,33.815,33.71,33.71,32806,0
MOS.US,5,20250829,160500,33.71,33.77,33.69,33.705,20660,0
MOS.US,5,20250829,161000,33.705,33.705,33.64,33.65,26178,0
MOS.US,5,20250829,161500,33.64,33.67,33.635,33.66,20507,0
MOS.US,5,20250829,162000,33.66,33.695,33.63,33.645,32638,0
MOS.US,5,20250829,162500,33.645,33.645,33.5101,33.5101,21364,0
MOS.US,5,20250829,163000,33.5,33.55,33.48,33.49,46418,0
MOS.US,5,20250829,163500,33.49,33.5,33.41,33.425,20990,0
MOS.US,5,20250829,164000,33.43,33.47,33.41,33.41,21270,0
MOS.US,5,20250829,164500,33.41,33.425,33.28,33.285,19966,0
MOS.US,5,20250829,165000,33.285,33.37,33.285,33.36,15104,0
MOS.US,5,20250829,165500,33.3542,33.385,33.33,33.38,11981,0
MOS.US,5,20250829,170000,33.385,33.3951,33.35,33.38,12707,0
MOS.US,5,20250829,170500,33.39,33.45,33.39,33.43,10168,0
MOS.US,5,20250829,171000,33.435,33.435,33.4,33.405,38817,0
MOS.US,5,20250829,171500,33.4,33.44,33.39,33.43,21942,0
MOS.US,5,20250829,172000,33.43,33.4349,33.35,33.35,25030,0
MOS.US,5,20250829,172500,33.35,33.405,33.33,33.4,19168,0
MOS.US,5,20250829,173000,33.395,33.425,33.39,33.405,39302,0
MOS.US,5,20250829,173500,33.405,33.49,33.405,33.485,12720,0
MOS.US,5,20250829,174000,33.485,33.485,33.45,33.4551,8831,0
MOS.US,5,20250829,174500,33.45,33.46,33.432632,33.445,10724,0
MOS.US,5,20250829,175000,33.445,33.45,33.4275,33.435,10424,0
MOS.US,5,20250829,175500,33.44,33.45,33.32,33.335,22232,0
MOS.US,5,20250829,180000,33.335,33.3466,33.33,33.34,8885,0
MOS.US,5,20250829,180500,33.335,33.375,33.305,33.37,18996,0
MOS.US,5,20250829,181000,33.365,33.37,33.34,33.355,22918,0
MOS.US,5,20250829,181500,33.35,33.375,33.335,33.335,13090,0
MOS.US,5,20250829,182000,33.34,33.35,33.34,33.345,4049,0
MOS.US,5,20250829,182500,33.34,33.3499,33.32,33.33,11223,0
MOS.US,5,20250829,183000,33.325,33.325,33.3,33.3,8382,0
MOS.US,5,20250829,183500,33.3,33.32,33.26,33.2754,19616,0
MOS.US,5,20250829,184000,33.275,33.28,33.255,33.275,12861,0
MOS.US,5,20250829,184500,33.275,33.275,33.19,33.2049,28695,0
MOS.US,5,20250829,185000,33.2011,33.225,33.175,33.205,29257,0
MOS.US,5,20250829,185500,33.21,33.22,33.19,33.22,12675,0
MOS.US,5,20250829,190000,33.23,33.25,33.2,33.205,8177,0
