<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTR.US,5,20250829,182500,5.55,5.55,5.55,5.55,248,0
MTR.US,5,20250829,184500,5.5,5.5,5.5,5.5,100,0
MTR.US,5,20250829,195000,5.3867,5.3867,5.3867,5.3867,200,0
MTR.US,5,20250829,214500,5.54,5.55,5.49,5.55,1418,0
MTR.US,5,20250829,215000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250829,215500,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250902,153000,5.55,5.55,5.55,5.55,1103,0
MTR.US,5,20250902,163500,5.58,5.58,5.58,5.58,200,0
MTR.US,5,20250902,201500,5.55,5.55,5.55,5.55,587,0
MTR.US,5,20250902,202500,5.55,5.55,5.55,5.55,775,0
MTR.US,5,20250902,210000,5.57,5.57,5.57,5.57,210,0
MTR.US,5,20250902,211000,5.5545,5.5545,5.5545,5.5545,200,0
MTR.US,5,20250902,215500,5.58,5.58,5.58,5.58,100,0
MTR.US,5,20250903,153000,5.55,5.55,5.55,5.55,675,0
MTR.US,5,20250903,174000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250903,211000,5.5584,5.5584,5.5584,5.5584,304,0
MTR.US,5,20250903,215500,5.571,5.571,5.565,5.565,217,0
MTR.US,5,20250904,153000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250904,172500,5.55,5.5501,5.55,5.55,800,0
MTR.US,5,20250904,213500,5.58,5.58,5.58,5.58,100,0
MTR.US,5,20250904,214000,5.565,5.565,5.565,5.565,451,0
MTR.US,5,20250904,214500,5.58,5.58,5.58,5.58,852,0
MTR.US,5,20250904,215000,5.55,5.56,5.55,5.56,200,0
MTR.US,5,20250904,215500,5.587,5.6,5.587,5.6,682,0
MTR.US,5,20250905,165000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250905,172500,5.5787,5.5787,5.5787,5.5787,105,0
MTR.US,5,20250905,173000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250905,185000,5.575,5.575,5.575,5.575,152,0
MTR.US,5,20250908,153000,5.57,5.57,5.57,5.57,100,0
MTR.US,5,20250908,174500,5.55,5.5502,5.55,5.5502,1954,0
MTR.US,5,20250908,191000,5.575,5.575,5.575,5.575,150,0
MTR.US,5,20250908,215500,5.55,5.55,5.55,5.55,352,0
MTR.US,5,20250909,153000,5.55,5.55,5.55,5.55,300,0
MTR.US,5,20250909,173000,5.575,5.575,5.575,5.575,100,0
MTR.US,5,20250909,174500,5.5569,5.5569,5.5569,5.5569,190,0
MTR.US,5,20250909,184500,5.6,5.6,5.6,5.6,143,0
MTR.US,5,20250909,205000,5.55,5.55,5.55,5.55,1057,0
MTR.US,5,20250909,215500,5.575,5.6,5.5505,5.6,415,0
MTR.US,5,20250910,160000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250910,173000,5.55,5.55,5.55,5.55,423,0
MTR.US,5,20250910,205500,5.575,5.575,5.55,5.5501,3500,0
MTR.US,5,20250910,215000,5.576,5.576,5.576,5.576,468,0
MTR.US,5,20250910,215500,5.59,5.59,5.55,5.575,329,0
MTR.US,5,20250911,153000,5.575,5.575,5.575,5.575,168,0
MTR.US,5,20250911,153500,5.56,5.56,5.56,5.56,100,0
MTR.US,5,20250911,180500,5.55,5.56,5.55,5.56,739,0
MTR.US,5,20250911,181000,5.55,5.5501,5.55,5.5501,2000,0
MTR.US,5,20250911,181500,5.55,5.7,5.55,5.7,290,0
MTR.US,5,20250911,182500,5.6012,5.6012,5.6012,5.6012,500,0
MTR.US,5,20250911,185000,5.56,5.56,5.56,5.56,100,0
MTR.US,5,20250911,193000,5.55,5.55,5.55,5.55,600,0
MTR.US,5,20250911,195500,5.55,5.55,5.55,5.55,1200,0
MTR.US,5,20250911,201000,5.55,5.55,5.55,5.55,100,0
MTR.US,5,20250911,203500,5.55,5.55,5.55,5.55,399,0
MTR.US,5,20250912,153000,5.53,5.53,5.53,5.53,100,0
MTR.US,5,20250912,191000,5.5528,5.5528,5.5528,5.5528,343,0
MTR.US,5,20250912,195000,5.62,5.62,5.62,5.62,300,0
MTR.US,5,20250912,213500,5.69,5.69,5.69,5.69,100,0
