<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOC.US,5,20250829,153000,587.99,590.305,587.99,589.914,720,0
NOC.US,5,20250829,153500,590.47,590.47,590.47,590.47,500,0
NOC.US,5,20250829,154000,590.92,591.06,590.92,590.98,400,0
NOC.US,5,20250829,154500,591.5718,591.5718,591.5718,591.5718,100,0
NOC.US,5,20250829,155000,590.55,590.55,589.66,589.66,1851,0
NOC.US,5,20250829,155500,588.955,590.02,588.955,589.3,700,0
NOC.US,5,20250829,160000,590.14,590.3,588.9,588.905,7000,0
NOC.US,5,20250829,160500,589.0641,589.0641,589.0641,589.0641,200,0
NOC.US,5,20250829,161000,589.9299,589.9299,588.92,589.8724,6885,0
NOC.US,5,20250829,161500,588.99,589.2375,588.685,588.685,1800,0
NOC.US,5,20250829,162000,588.625,588.83,588.62,588.83,1809,0
NOC.US,5,20250829,162500,588.83,588.83,588,588,463,0
NOC.US,5,20250829,163000,587.8512,588.22,587.78,588.22,552,0
NOC.US,5,20250829,163500,587.396,587.855,587.396,587.68,1213,0
NOC.US,5,20250829,164000,587.76,587.89,587.53,587.53,551,0
NOC.US,5,20250829,164500,587.2,587.2,587.08,587.115,312,0
NOC.US,5,20250829,165000,587.27,587.5,587.27,587.3816,692,0
NOC.US,5,20250829,165500,587.147,587.6975,587.147,587.63,574,0
NOC.US,5,20250829,170000,587.79,587.79,587.49,587.69,2065,0
NOC.US,5,20250829,170500,587.33,588.36,587.33,588.36,495,0
NOC.US,5,20250829,171000,588.44,588.6134,588.29,588.29,1185,0
NOC.US,5,20250829,171500,588.62,588.62,588.5,588.5,344,0
NOC.US,5,20250829,172000,588.23,588.23,588.015,588.015,200,0
NOC.US,5,20250829,172500,587.6,587.905,587.6,587.6,609,0
NOC.US,5,20250829,173000,587.8205,588.365,587.23,587.23,1827,0
NOC.US,5,20250829,173500,587.91,588.51,587.91,587.91,1140,0
NOC.US,5,20250829,174000,588.25,588.51,588.25,588.45,645,0
NOC.US,5,20250829,174500,588.47,588.84,588.39,588.4,1500,0
NOC.US,5,20250829,175000,588.33,588.33,588.33,588.33,100,0
NOC.US,5,20250829,175500,588.71,588.71,588.38,588.38,200,0
NOC.US,5,20250829,180000,588.9,588.9,588.8,588.82,1537,0
NOC.US,5,20250829,180500,588.835,589.037,588.68,588.885,2344,0
NOC.US,5,20250829,181000,588.785,588.785,588.55,588.55,1187,0
NOC.US,5,20250829,181500,588.39,588.39,587.7143,588.3,4972,0
NOC.US,5,20250829,182000,588.1394,588.1394,587.3865,587.71,5399,0
NOC.US,5,20250829,182500,587.44,587.44,587.365,587.38,721,0
NOC.US,5,20250829,183500,587.76,587.82,587.7,587.76,1100,0
NOC.US,5,20250829,184000,587.75,587.75,587.55,587.55,400,0
NOC.US,5,20250829,184500,587.8151,588.07917,587.8151,588.07917,206,0
NOC.US,5,20250829,185000,587.95,587.98,587.76,587.855,579,0
NOC.US,5,20250829,185500,588.19,588.27,588.18,588.27,511,0
NOC.US,5,20250829,190000,588.17,588.65,588.1,588.65,1256,0
NOC.US,5,20250829,190500,588.45,588.49,588.45,588.49,390,0
NOC.US,5,20250829,191000,588.575,588.575,588.36,588.39,1487,0
NOC.US,5,20250829,191500,588.345,588.81,588.345,588.81,800,0
NOC.US,5,20250829,192000,588.86,588.86,588.61,588.61,629,0
NOC.US,5,20250829,192500,589.04,589.22,589.04,589.22,500,0
NOC.US,5,20250829,193500,589.25,589.25,589.25,589.25,200,0
NOC.US,5,20250829,194500,589.305,589.305,589.07,589.07,2148,0
NOC.US,5,20250829,195000,589.115,589.115,589.115,589.115,201,0
NOC.US,5,20250829,200000,589.39,589.815,589.39,589.735,2420,0
NOC.US,5,20250829,200500,589.57,589.57,589.57,589.57,110,0
NOC.US,5,20250829,201500,589.69,589.72,589.63,589.63,725,0
NOC.US,5,20250829,202000,589.73,590.01,589.73,589.88,1100,0
NOC.US,5,20250829,202500,590.17,590.175,590.17,590.175,300,0
NOC.US,5,20250829,203000,590.19,590.19,589.97,589.97,700,0
NOC.US,5,20250829,203500,589.955,589.955,589.955,589.955,116,0
NOC.US,5,20250829,204000,590.06,590.11,590.06,590.11,387,0
NOC.US,5,20250829,204500,590.29,590.515,590.05,590.29,1632,0
NOC.US,5,20250829,205000,590.19,590.19,589.7622,589.92,817,0
NOC.US,5,20250829,205500,590.07,590.07,589.58,589.79,1841,0
NOC.US,5,20250829,210000,589.56,590.04,589.56,590.04,300,0
NOC.US,5,20250829,210500,590.19,590.5,590.19,590.5,500,0
NOC.US,5,20250829,211000,590.45,590.45,590.21,590.45,730,0
NOC.US,5,20250829,211500,590.45,590.495,590.45,590.495,200,0
NOC.US,5,20250829,212000,590.495,590.5,590.22,590.22,3420,0
NOC.US,5,20250829,212500,590.275,590.435,590.24,590.435,1626,0
NOC.US,5,20250829,213000,590.4,590.475,589.93,589.93,1900,0
NOC.US,5,20250829,213500,590.05,590.13,589.48,589.48,2915,0
NOC.US,5,20250829,214000,589.54,589.615,589.38,589.42,1400,0
NOC.US,5,20250829,214500,589.615,589.76,589.295,589.33,2407,0
NOC.US,5,20250829,215000,589.65,589.66,588.79,589.5,2900,0
NOC.US,5,20250829,215500,589.475,590.48,589.45,590.04,127564,0
NOC.US,5,20250902,153000,592.475,596.1647,591.62,592.01,6691,0
NOC.US,5,20250902,153500,591.65,593.1999,587.5,588.13,11099,0
NOC.US,5,20250902,154000,587.88,587.88,586,586.83,4295,0
NOC.US,5,20250902,154500,586.665,587.07,585.26,586.55,3031,0
NOC.US,5,20250902,155000,586.605,587.035,586.605,587.035,1037,0
NOC.US,5,20250902,155500,587.00977,589.079,587.00977,588.71,1178,0
NOC.US,5,20250902,160000,588.8,588.92,587.59,588.255,5600,0
NOC.US,5,20250902,160500,588.46,588.8162,588.1,588.3216,1393,0
NOC.US,5,20250902,161000,588.145,588.6899,588.145,588.6899,300,0
NOC.US,5,20250902,161500,588.145,588.145,587.6,587.79,759,0
NOC.US,5,20250902,162000,587.56,587.56,587.39,587.39,408,0
NOC.US,5,20250902,162500,587.36,587.71,587,587.0608,1781,0
