<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPV.US,5,20250829,153000,11.32,11.32,11.25,11.27,2185,0
NPV.US,5,20250829,154000,11.305,11.305,11.305,11.305,100,0
NPV.US,5,20250829,154500,11.31,11.31,11.3,11.31,756,0
NPV.US,5,20250829,155500,11.31,11.325,11.31,11.325,200,0
NPV.US,5,20250829,160000,11.3495,11.3495,11.3495,11.3495,800,0
NPV.US,5,20250829,162000,11.32,11.32,11.32,11.32,448,0
NPV.US,5,20250829,163500,11.3426,11.3426,11.3426,11.3426,350,0
NPV.US,5,20250829,164000,11.32,11.32,11.32,11.32,400,0
NPV.US,5,20250829,164500,11.32,11.32,11.32,11.32,100,0
NPV.US,5,20250829,165000,11.32,11.32,11.32,11.32,200,0
NPV.US,5,20250829,165500,11.32,11.32,11.32,11.32,100,0
NPV.US,5,20250829,170000,11.32,11.32,11.32,11.32,177,0
NPV.US,5,20250829,173500,11.3233,11.3233,11.3233,11.3233,100,0
NPV.US,5,20250829,174000,11.31,11.31,11.3,11.31,2539,0
NPV.US,5,20250829,175000,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250829,180000,11.31,11.31,11.31,11.31,1851,0
NPV.US,5,20250829,181000,11.3114,11.3114,11.26,11.285,11084,0
NPV.US,5,20250829,181500,11.285,11.285,11.285,11.285,639,0
NPV.US,5,20250829,182000,11.285,11.285,11.285,11.285,100,0
NPV.US,5,20250829,183000,11.295,11.295,11.295,11.295,100,0
NPV.US,5,20250829,183500,11.295,11.31,11.295,11.31,1100,0
NPV.US,5,20250829,184000,11.305,11.32,11.305,11.31,8400,0
NPV.US,5,20250829,184500,11.31,11.33,11.31,11.325,3530,0
NPV.US,5,20250829,185000,11.34,11.35,11.34,11.345,2627,0
NPV.US,5,20250829,185500,11.35,11.36,11.35,11.36,300,0
NPV.US,5,20250829,190000,11.3565,11.36,11.33,11.33,16150,0
NPV.US,5,20250829,191000,11.331,11.331,11.331,11.331,200,0
NPV.US,5,20250829,191500,11.34,11.34,11.34,11.34,413,0
NPV.US,5,20250829,192500,11.34,11.34,11.34,11.34,343,0
NPV.US,5,20250829,193000,11.34,11.34,11.34,11.34,565,0
NPV.US,5,20250829,193500,11.34,11.34,11.34,11.34,300,0
NPV.US,5,20250829,194500,11.34,11.34,11.34,11.34,308,0
NPV.US,5,20250829,195500,11.34,11.34,11.34,11.34,200,0
NPV.US,5,20250829,200000,11.34,11.34,11.34,11.34,200,0
NPV.US,5,20250829,201000,11.346,11.346,11.346,11.346,300,0
NPV.US,5,20250829,201500,11.355,11.355,11.355,11.355,200,0
NPV.US,5,20250829,202500,11.346,11.346,11.346,11.346,200,0
NPV.US,5,20250829,203000,11.3487,11.3487,11.34,11.34,7437,0
NPV.US,5,20250829,204000,11.34,11.34,11.34,11.34,200,0
NPV.US,5,20250829,204500,11.3407,11.3407,11.34,11.34,1088,0
NPV.US,5,20250829,205000,11.35,11.35,11.35,11.35,100,0
NPV.US,5,20250829,205500,11.34,11.34,11.34,11.34,300,0
NPV.US,5,20250829,210000,11.35,11.35,11.35,11.35,350,0
NPV.US,5,20250829,210500,11.34,11.34,11.34,11.34,300,0
NPV.US,5,20250829,211500,11.34,11.34,11.34,11.34,300,0
NPV.US,5,20250829,212500,11.34,11.35,11.34,11.35,400,0
NPV.US,5,20250829,213000,11.35,11.35,11.34,11.3405,1778,0
NPV.US,5,20250829,213500,11.34,11.34,11.34,11.34,1563,0
NPV.US,5,20250829,214000,11.35,11.35,11.34,11.34,1398,0
NPV.US,5,20250829,214500,11.335739,11.335739,11.335739,11.335739,440,0
NPV.US,5,20250829,215000,11.36,11.36,11.35,11.35,855,0
NPV.US,5,20250829,215500,11.345,11.36,11.34,11.34,1150,0
NPV.US,5,20250902,153000,11.29,11.3645,11.29,11.335,2504,0
NPV.US,5,20250902,153500,11.31,11.335,11.31,11.335,615,0
NPV.US,5,20250902,154500,11.3551,11.3551,11.3551,11.3551,100,0
NPV.US,5,20250902,155000,11.335,11.36,11.335,11.3599,1801,0
NPV.US,5,20250902,160000,11.3456,11.3456,11.3456,11.3456,1985,0
NPV.US,5,20250902,161000,11.335,11.335,11.335,11.335,102,0
NPV.US,5,20250902,162000,11.34,11.35,11.34,11.35,200,0
NPV.US,5,20250902,162500,11.31,11.31,11.31,11.31,2000,0
NPV.US,5,20250902,164500,11.36,11.36,11.36,11.36,300,0
NPV.US,5,20250902,170500,11.36,11.3603,11.36,11.36,715,0
NPV.US,5,20250902,171000,11.36,11.36,11.36,11.36,100,0
NPV.US,5,20250902,171500,11.3607,11.3607,11.36,11.36,200,0
NPV.US,5,20250902,172500,11.365,11.37,11.365,11.37,1629,0
NPV.US,5,20250902,173000,11.36,11.3672,11.36,11.365,2269,0
NPV.US,5,20250902,173500,11.36,11.36,11.36,11.36,300,0
NPV.US,5,20250902,174000,11.36,11.36,11.346,11.346,400,0
NPV.US,5,20250902,174500,11.34,11.34,11.34,11.34,100,0
NPV.US,5,20250902,175000,11.367,11.367,11.355,11.355,1077,0
NPV.US,5,20250902,175500,11.355,11.355,11.34,11.355,2700,0
NPV.US,5,20250902,180500,11.34,11.355,11.34,11.355,200,0
NPV.US,5,20250902,181000,11.34,11.34,11.31,11.32,6786,0
NPV.US,5,20250902,182000,11.32,11.32,11.32,11.32,180,0
NPV.US,5,20250902,183500,11.315,11.315,11.315,11.315,300,0
NPV.US,5,20250902,184000,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250902,185000,11.31,11.315,11.31,11.315,300,0
NPV.US,5,20250902,190000,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250902,190500,11.31,11.31,11.31,11.31,100,0
NPV.US,5,20250902,191500,11.3195,11.3195,11.3195,11.3195,180,0
NPV.US,5,20250902,192000,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250902,193500,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250902,195000,11.31,11.33,11.31,11.33,1400,0
NPV.US,5,20250902,195500,11.33,11.33,11.33,11.33,100,0
NPV.US,5,20250902,205000,11.3327,11.3327,11.33,11.33,400,0
NPV.US,5,20250902,211000,11.325,11.325,11.32,11.32,3300,0
NPV.US,5,20250902,212000,11.31,11.31,11.31,11.31,200,0
NPV.US,5,20250902,213000,11.32,11.32,11.31,11.31,965,0
NPV.US,5,20250902,214000,11.31,11.31,11.31,11.31,133,0
NPV.US,5,20250902,214500,11.32,11.32,11.3001,11.313,1800,0
NPV.US,5,20250902,215500,11.32,11.32,11.32,11.32,434,0
NPV.US,5,20250903,153000,11.27,11.28,11.27,11.28,330,0
NPV.US,5,20250903,155000,11.27,11.2707,11.2501,11.2501,2625,0
NPV.US,5,20250903,160000,11.275,11.275,11.275,11.275,100,0
NPV.US,5,20250903,161000,11.27,11.2881,11.27,11.2881,5100,0
NPV.US,5,20250903,165500,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,172000,11.27,11.27,11.27,11.27,100,0
NPV.US,5,20250903,174000,11.28,11.29,11.275,11.275,4500,0
NPV.US,5,20250903,174500,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,193000,11.275,11.28,11.275,11.28,200,0
NPV.US,5,20250903,194000,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,195000,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,195500,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,200000,11.28,11.28,11.28,11.28,100,0
NPV.US,5,20250903,201000,11.2652,11.28,11.2652,11.28,218,0
NPV.US,5,20250903,201500,11.275,11.275,11.275,11.275,100,0
NPV.US,5,20250903,205500,11.29,11.29,11.29,11.29,665,0
NPV.US,5,20250903,210500,11.29,11.29,11.29,11.29,200,0
