<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAII.US,5,20250910,193500,9.94,9.94,9.94,9.94,50000,0
PAII.US,5,20250911,164500,9.935,9.935,9.935,9.935,400,0
PAII.US,5,20250911,171000,9.94,9.94,9.94,9.94,50000,0
PAII.US,5,20250911,174500,9.93,9.935,9.93,9.93,58799,0
PAII.US,5,20250911,175500,9.93,9.93,9.925,9.925,100200,0
PAII.US,5,20250911,180000,9.93,9.93,9.93,9.93,50000,0
PAII.US,5,20250911,180500,9.93,9.93,9.93,9.93,149798,0
PAII.US,5,20250911,182500,9.93,9.93,9.93,9.93,150000,0
PAII.US,5,20250911,183500,9.93,9.93,9.93,9.93,500000,0
PAII.US,5,20250911,184000,9.93,9.93,9.93,9.93,50000,0
PAII.US,5,20250911,184500,9.93,9.93,9.93,9.93,1000,0
PAII.US,5,20250911,185000,9.925,9.925,9.925,9.925,1200,0
PAII.US,5,20250911,190000,9.93,9.93,9.93,9.93,100000,0
PAII.US,5,20250911,195000,9.93,9.93,9.93,9.93,481620,0
PAII.US,5,20250911,202000,9.93,9.93,9.93,9.93,100000,0
PAII.US,5,20250911,202500,9.92,9.92,9.92,9.92,1000,0
PAII.US,5,20250911,204000,9.921,9.921,9.92,9.92,1000,0
PAII.US,5,20250911,213000,9.93,9.93,9.93,9.93,25000,0
PAII.US,5,20250912,161500,9.93,9.93,9.93,9.93,100,0
PAII.US,5,20250912,162000,9.93,9.93,9.93,9.93,65602,0
PAII.US,5,20250912,210000,9.93,9.93,9.93,9.93,5606,0
PAII.US,5,20250912,215500,9.92,9.92,9.92,9.92,147,0
PAII.US,5,20250915,161500,9.93,9.93,9.93,9.93,500,0
PAII.US,5,20250915,180000,9.93,9.93,9.93,9.93,5000,0
PAII.US,5,20250915,182500,9.93,9.93,9.93,9.93,19678,0
PAII.US,5,20250915,212500,9.93,9.93,9.93,9.93,298,0
PAII.US,5,20250915,215500,9.94,9.94,9.94,9.94,124,0
PAII.US,5,20250916,212500,9.94,9.94,9.93,9.93,225234,0
PAII.US,5,20250916,213000,9.94,9.94,9.92,9.93,678500,0
PAII.US,5,20250916,213500,9.93,9.93,9.93,9.93,100000,0
PAII.US,5,20250916,214000,9.93,9.93,9.93,9.93,50000,0
PAII.US,5,20250916,215500,9.93,9.93,9.93,9.93,4996,0
PAII.US,5,20250917,153000,9.93,9.93,9.93,9.93,1200,0
PAII.US,5,20250917,162000,9.93,9.93,9.93,9.93,53795,0
PAII.US,5,20250917,185000,9.93,9.93,9.93,9.93,9005,0
PAII.US,5,20250917,194000,9.93,9.93,9.93,9.93,50500,0
PAII.US,5,20250917,194500,9.93,9.93,9.93,9.93,75000,0
PAII.US,5,20250917,201500,9.925,9.925,9.925,9.925,100,0
