<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG_X.US,5,20250829,170000,40.345,40.345,40.345,40.345,200,0
PCG_X.US,5,20250829,171000,40.26,40.26,40.26,40.26,100,0
PCG_X.US,5,20250829,182500,40.21,40.21,40.21,40.21,100,0
PCG_X.US,5,20250829,191000,40.09,40.09,40.09,40.09,4379,0
PCG_X.US,5,20250829,191500,40.06,40.06,40.06,40.06,300,0
PCG_X.US,5,20250829,192000,40.02,40.02,39.96,39.96,4800,0
PCG_X.US,5,20250829,192500,39.99,40.06,39.99,40.06,2200,0
PCG_X.US,5,20250829,193000,40,40,40,40,300,0
PCG_X.US,5,20250829,194000,40.02,40.05,40.02,40.05,500,0
PCG_X.US,5,20250829,195000,39.97,39.97,39.97,39.97,200,0
PCG_X.US,5,20250829,200000,39.87,39.87,39.87,39.87,200,0
PCG_X.US,5,20250829,201500,39.8,39.8,39.8,39.8,300,0
PCG_X.US,5,20250829,202000,39.8,39.8,39.8,39.8,230,0
PCG_X.US,5,20250829,202500,39.7,39.7,39.7,39.7,200,0
PCG_X.US,5,20250829,203000,39.78,39.855,39.77,39.8,8068,0
PCG_X.US,5,20250829,204500,39.96,40.04,39.96,39.97,300,0
PCG_X.US,5,20250829,205000,39.78,39.78,39.78,39.78,200,0
PCG_X.US,5,20250829,211000,39.78,39.78,39.78,39.78,200,0
PCG_X.US,5,20250829,212000,39.8,39.8,39.8,39.8,700,0
PCG_X.US,5,20250829,212500,39.78,39.79,39.78,39.78,300,0
PCG_X.US,5,20250829,213000,39.76,39.78,39.76,39.78,1300,0
PCG_X.US,5,20250829,213500,39.76,39.76,39.74,39.74,1200,0
PCG_X.US,5,20250829,214000,39.74,39.74,39.68,39.71,2620,0
PCG_X.US,5,20250829,214500,39.71,39.71,39.71,39.71,500,0
PCG_X.US,5,20250829,215000,39.65,39.731,39.56,39.63,23443,0
PCG_X.US,5,20250829,215500,39.67,40.05,39.67,40.05,115966,0
PCG_X.US,5,20250902,153000,39.66,39.66,39.66,39.66,1218,0
PCG_X.US,5,20250902,153500,39.9,39.98,39.9,39.98,1200,0
PCG_X.US,5,20250902,154000,40.21,40.21,40.21,40.21,600,0
PCG_X.US,5,20250902,154500,39.85,39.85,39.85,39.85,575,0
PCG_X.US,5,20250902,160000,40.025,40.05,40.025,40.05,2558,0
PCG_X.US,5,20250902,163000,39.8592,39.875,39.8592,39.875,800,0
PCG_X.US,5,20250902,164000,39.75,39.75,39.75,39.75,100,0
PCG_X.US,5,20250902,190500,39.7376,39.7376,39.7376,39.7376,500,0
PCG_X.US,5,20250902,201000,39.78,39.78,39.78,39.78,619,0
PCG_X.US,5,20250902,201500,39.815,39.815,39.815,39.815,100,0
PCG_X.US,5,20250902,203500,39.79,39.79,39.78,39.79,600,0
PCG_X.US,5,20250902,205500,39.8,39.8,39.78,39.78,1400,0
PCG_X.US,5,20250902,210000,39.76,39.76,39.76,39.76,168,0
PCG_X.US,5,20250902,213000,39.74,39.74,39.74,39.74,100,0
PCG_X.US,5,20250902,214500,39.81,39.81,39.78,39.78,405,0
PCG_X.US,5,20250902,215000,39.81,39.81,39.68,39.7,2895,0
PCG_X.US,5,20250903,154000,39.99,40,39.9,39.9,4586,0
PCG_X.US,5,20250903,171000,39.6,39.6,39.6,39.6,2100,0
PCG_X.US,5,20250903,171500,39.6,39.6,39.6,39.6,1940,0
PCG_X.US,5,20250903,172000,39.53,39.53,39.53,39.53,283,0
PCG_X.US,5,20250903,183000,39.6691,39.6691,39.6691,39.6691,505,0
PCG_X.US,5,20250903,194000,39.7299,39.7299,39.7299,39.7299,181,0
PCG_X.US,5,20250903,202500,39.75,39.75,39.75,39.75,100,0
PCG_X.US,5,20250903,203000,39.83,39.83,39.83,39.83,100,0
PCG_X.US,5,20250903,203500,39.84,39.84,39.84,39.84,158,0
PCG_X.US,5,20250903,205000,39.78,39.78,39.78,39.78,300,0
PCG_X.US,5,20250903,205500,39.89,39.89,39.89,39.89,146,0
PCG_X.US,5,20250903,212500,39.87,39.87,39.87,39.87,100,0
PCG_X.US,5,20250903,214500,39.8104,39.9299,39.8104,39.9299,659,0
PCG_X.US,5,20250903,215500,39.99,39.99,39.95,39.97,2579,0
PCG_X.US,5,20250904,154000,40.2299,40.2299,40.2299,40.2299,250,0
PCG_X.US,5,20250904,154500,40.035,40.07,40.035,40.07,200,0
PCG_X.US,5,20250904,155000,40.02,40.02,40.02,40.02,108,0
PCG_X.US,5,20250904,160000,40.02,40.02,40.02,40.02,100,0
PCG_X.US,5,20250904,161000,39.82,39.82,39.81,39.81,500,0
PCG_X.US,5,20250904,172000,39.72,39.72,39.6725,39.6725,3028,0
PCG_X.US,5,20250904,174500,39.58,39.58,39.31,39.42,2149,0
PCG_X.US,5,20250904,183000,39.57,39.57,39.57,39.57,100,0
PCG_X.US,5,20250904,183500,39.5,39.5,39.5,39.5,100,0
PCG_X.US,5,20250904,184000,39.44,39.44,39.44,39.44,125,0
PCG_X.US,5,20250904,193500,39.5,39.5,39.5,39.5,632,0
PCG_X.US,5,20250904,194500,39.6399,39.6399,39.6399,39.6399,186,0
PCG_X.US,5,20250904,202500,39.6099,39.6099,39.6099,39.6099,363,0
PCG_X.US,5,20250904,203000,39.55,39.56,39.55,39.56,720,0
PCG_X.US,5,20250904,205500,39.7299,39.7299,39.7299,39.7299,123,0
PCG_X.US,5,20250904,211000,39.685,39.74,39.685,39.74,850,0
PCG_X.US,5,20250904,211500,39.75,39.75,39.75,39.75,200,0
PCG_X.US,5,20250904,213000,39.73,39.73,39.73,39.73,157,0
PCG_X.US,5,20250904,214500,39.73,39.73,39.73,39.73,1000,0
PCG_X.US,5,20250904,215000,39.75,39.75,39.75,39.75,200,0
PCG_X.US,5,20250905,155000,39.82,39.82,39.81,39.81,354,0
PCG_X.US,5,20250905,160000,39.76,39.76,39.76,39.76,133,0
PCG_X.US,5,20250905,160500,39.76,39.76,39.76,39.76,100,0
PCG_X.US,5,20250905,170500,39.47,39.48,39.47,39.4796,800,0
PCG_X.US,5,20250905,181000,39.56,39.56,39.56,39.56,100,0
PCG_X.US,5,20250905,181500,39.575,39.575,39.575,39.575,277,0
PCG_X.US,5,20250905,182000,39.53,39.53,39.52,39.52,200,0
PCG_X.US,5,20250905,183500,39.54,39.54,39.54,39.54,300,0
PCG_X.US,5,20250905,195500,39.57,39.57,39.5391,39.5391,4236,0
