<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEB_E.US,5,20250829,182000,19.95,19.95,19.95,19.95,165,0
PEB_E.US,5,20250829,182500,20,20,19.97,19.97,200,0
PEB_E.US,5,20250829,183000,20,20,20,20,100,0
PEB_E.US,5,20250829,192500,19.986,19.986,19.986,19.986,100,0
PEB_E.US,5,20250829,193500,19.86,19.86,19.8,19.8,1300,0
PEB_E.US,5,20250829,200000,19.67,19.67,19.67,19.67,100,0
PEB_E.US,5,20250829,203000,19.69,19.69,19.69,19.69,100,0
PEB_E.US,5,20250829,214500,19.63,19.63,19.63,19.63,100,0
PEB_E.US,5,20250829,215000,19.66,19.82,19.66,19.82,432,0
PEB_E.US,5,20250829,215500,19.86,19.86,19.86,19.86,1007,0
PEB_E.US,5,20250902,161000,19.86,19.86,19.86,19.86,315,0
PEB_E.US,5,20250902,181000,19.7847,19.7847,19.7847,19.7847,500,0
PEB_E.US,5,20250902,212500,19.774,19.774,19.774,19.774,400,0
PEB_E.US,5,20250902,215500,19.78,19.78,19.78,19.78,100,0
PEB_E.US,5,20250903,153000,20.11,20.11,20.11,20.11,509,0
PEB_E.US,5,20250903,155000,19.82,19.82,19.8,19.8,1342,0
PEB_E.US,5,20250903,155500,19.7301,19.7301,19.7301,19.7301,1558,0
PEB_E.US,5,20250903,164500,19.88,19.88,19.88,19.88,100,0
PEB_E.US,5,20250903,185500,19.805,19.805,19.805,19.805,103,0
PEB_E.US,5,20250903,193000,19.82,19.82,19.82,19.82,1100,0
PEB_E.US,5,20250903,193500,19.82,19.82,19.82,19.82,332,0
PEB_E.US,5,20250903,200000,19.79,19.79,19.73,19.73,1290,0
PEB_E.US,5,20250903,200500,19.83,19.855,19.83,19.83,1200,0
PEB_E.US,5,20250903,201000,19.83,19.85,19.83,19.85,5101,0
PEB_E.US,5,20250903,211000,19.8034,19.8034,19.8034,19.8034,400,0
PEB_E.US,5,20250903,215500,19.8673,19.8673,19.85,19.85,200,0
PEB_E.US,5,20250904,181000,19.86,19.87,19.64,19.67,3900,0
PEB_E.US,5,20250904,181500,19.67,19.67,19.67,19.67,200,0
PEB_E.US,5,20250904,182500,19.62,19.62,19.59,19.59,702,0
PEB_E.US,5,20250904,200000,19.64,19.64,19.64,19.64,100,0
PEB_E.US,5,20250904,212000,19.64,19.9054,19.54,19.781,2200,0
PEB_E.US,5,20250904,213500,19.76,19.76,19.76,19.76,100,0
PEB_E.US,5,20250904,215500,19.8,19.8,19.8,19.8,101,0
PEB_E.US,5,20250905,161000,19.8,19.85,19.79,19.79,525,0
PEB_E.US,5,20250905,162000,19.8,19.8,19.8,19.8,264,0
PEB_E.US,5,20250905,163500,19.8,19.8,19.8,19.8,740,0
PEB_E.US,5,20250905,170500,19.8499,19.85,19.83,19.85,1074,0
PEB_E.US,5,20250905,192500,19.84,19.85,19.84,19.85,1428,0
PEB_E.US,5,20250905,194500,19.85,19.85,19.85,19.85,200,0
PEB_E.US,5,20250905,201500,19.84,19.84,19.84,19.84,154,0
PEB_E.US,5,20250905,210000,19.81,19.81,19.81,19.81,2950,0
PEB_E.US,5,20250905,211000,19.84,19.84,19.84,19.84,300,0
PEB_E.US,5,20250905,211500,19.84,19.84,19.84,19.84,200,0
PEB_E.US,5,20250905,212500,19.83,19.83,19.83,19.83,200,0
PEB_E.US,5,20250905,215500,19.85,20.09,19.85,20.09,1973,0
PEB_E.US,5,20250908,162500,20.05,20.05,20.05,20.05,100,0
PEB_E.US,5,20250908,163500,20.124,20.124,20.124,20.124,100,0
PEB_E.US,5,20250908,201000,20.1877,20.1877,20.1877,20.1877,100,0
PEB_E.US,5,20250908,202500,20,20,20,20,100,0
PEB_E.US,5,20250908,210000,20.03,20.1018,20,20,957,0
