<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIPE.US,5,20250829,172000,24.31,24.31,24.31,24.31,200,0
PIPE.US,5,20250829,173000,24.31,24.31,24.31,24.31,50000,0
PIPE.US,5,20250829,183000,24.34,24.34,24.34,24.34,100,0
PIPE.US,5,20250903,162000,24.1,24.1,24.1,24.1,50000,0
PIPE.US,5,20250903,162500,24.1,24.1,24.1,24.1,100,0
PIPE.US,5,20250903,165500,24.0716,24.0716,24.0716,24.0716,100,0
PIPE.US,5,20250903,171000,24.05,24.05,24.05,24.05,100,0
PIPE.US,5,20250905,161500,23.95,23.95,23.95,23.95,100,0
PIPE.US,5,20250905,194500,23.86,23.86,23.86,23.86,100,0
PIPE.US,5,20250909,160000,23.9625,23.9625,23.9625,23.9625,232,0
PIPE.US,5,20250912,190000,24.23,24.23,24.23,24.23,150,0
PIPE.US,5,20250917,203000,24.3386,24.3386,24.3386,24.3386,430,0
PIPE.US,5,20250918,175000,24.39,24.39,24.39,24.39,600,0
PIPE.US,5,20250923,155500,24.15,24.15,24.15,24.15,421,0
PIPE.US,5,20250923,173000,24.3399,24.3399,24.3399,24.3399,1417,0
PIPE.US,5,20250923,193500,24.41,24.41,24.41,24.41,100,0
PIPE.US,5,20250923,194500,24.3499,24.3499,24.3499,24.3499,2000,0
PIPE.US,5,20250923,202000,24.34,24.34,24.34,24.34,200,0
PIPE.US,5,20250923,212000,24.32,24.32,24.32,24.32,100,0
PIPE.US,5,20250923,214500,24.33,24.33,24.33,24.33,100,0
PIPE.US,5,20250924,155500,24.5525,24.5525,24.5525,24.5525,230,0
PIPE.US,5,20250925,214000,24.65,24.65,24.65,24.65,100,0
PIPE.US,5,20250926,164500,24.92,24.92,24.92,24.92,200,0
PIPE.US,5,20250926,193500,24.87,24.87,24.87,24.87,100,0
PIPE.US,5,20250929,161000,24.49,24.49,24.49,24.49,100,0
PIPE.US,5,20250929,161500,24.49,24.49,24.49,24.49,100,0
PIPE.US,5,20250929,163500,24.495,24.495,24.495,24.495,100,0
PIPE.US,5,20250929,165500,24.5,24.5,24.49,24.5,2050,0
PIPE.US,5,20250929,175000,24.45,24.45,24.45,24.45,400,0
PIPE.US,5,20250929,211500,24.4835,24.4835,24.4835,24.4835,1022,0
PIPE.US,5,20250929,215500,24.52,24.52,24.52,24.52,3263,0
PIPE.US,5,20250930,182000,24.49,24.49,24.49,24.49,408,0
PIPE.US,5,20250930,213000,24.49,24.49,24.49,24.49,300,0
PIPE.US,5,20251002,162000,24.4412,24.4412,24.4412,24.4412,511,0
PIPE.US,5,20251003,215500,24.41,24.41,24.41,24.41,100,0
PIPE.US,5,20251006,154000,24.41,24.41,24.41,24.41,208,0
PIPE.US,5,20251006,173000,24.2201,24.25,24.22,24.25,300,0
PIPE.US,5,20251007,173000,24.115,24.115,24.115,24.115,100,0
