<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMTU.US,5,20250829,181500,25.7,25.7,25.675,25.675,600,0
PMTU.US,5,20250829,185000,25.6502,25.67,25.65,25.67,800,0
PMTU.US,5,20250829,205000,25.6995,25.6995,25.6995,25.6995,150,0
PMTU.US,5,20250829,214000,25.675,25.675,25.675,25.675,800,0
PMTU.US,5,20250902,183000,25.65,25.65,25.65,25.65,724,0
PMTU.US,5,20250902,203000,25.65,25.65,25.65,25.65,100,0
PMTU.US,5,20250904,154500,25.6,25.6,25.6,25.6,420,0
PMTU.US,5,20250904,162000,25.45,25.51,25.45,25.51,1000,0
PMTU.US,5,20250904,202000,25.6999,25.7,25.6999,25.6999,662,0
PMTU.US,5,20250905,200500,25.65,25.65,25.65,25.65,100,0
PMTU.US,5,20250905,202000,25.65,25.69,25.65,25.6899,670,0
PMTU.US,5,20250905,203000,25.65,25.65,25.65,25.65,100,0
PMTU.US,5,20250905,204500,25.65,25.65,25.65,25.65,100,0
PMTU.US,5,20250905,211500,25.6,25.6,25.6,25.6,100,0
PMTU.US,5,20250905,212500,25.6,25.6,25.6,25.6,100,0
PMTU.US,5,20250905,214500,25.515,25.515,25.515,25.515,100,0
PMTU.US,5,20250905,215000,25.56,25.56,25.56,25.56,100,0
PMTU.US,5,20250905,215500,25.56,25.56,25.52,25.52,600,0
PMTU.US,5,20250908,191000,25.625,25.625,25.625,25.625,500,0
PMTU.US,5,20250908,193500,25.625,25.7,25.625,25.7,300,0
PMTU.US,5,20250908,194500,25.725,25.75,25.725,25.75,500,0
PMTU.US,5,20250909,154000,25.7999,25.8,25.7999,25.8,284,0
PMTU.US,5,20250909,161000,25.675,25.8,25.675,25.7087,3796,0
PMTU.US,5,20250909,164500,25.58,25.58,25.58,25.58,100,0
PMTU.US,5,20250909,170500,25.6096,25.6096,25.58,25.59,500,0
PMTU.US,5,20250909,194000,25.68,25.68,25.68,25.68,120,0
PMTU.US,5,20250910,162500,25.77,25.77,25.77,25.77,100,0
PMTU.US,5,20250910,174500,25.61,25.61,25.59,25.59,400,0
PMTU.US,5,20250910,180000,25.59,25.59,25.59,25.59,611,0
PMTU.US,5,20250910,190500,25.6,25.6,25.6,25.6,328,0
PMTU.US,5,20250910,191500,25.6,25.6,25.6,25.6,254,0
PMTU.US,5,20250910,210000,25.69,25.69,25.69,25.69,300,0
PMTU.US,5,20250912,180000,25.78,25.7899,25.78,25.78,1500,0
PMTU.US,5,20250912,215500,25.7,25.7,25.7,25.7,100,0
PMTU.US,5,20250915,153500,25.6395,25.6395,25.6395,25.6395,100,0
PMTU.US,5,20250915,154500,25.37,25.38,25.36,25.36,500,0
PMTU.US,5,20250915,155500,25.4535,25.4535,25.4535,25.4535,500,0
PMTU.US,5,20250915,210500,25.36,25.3601,25.36,25.3601,200,0
PMTU.US,5,20250915,211500,25.36,25.36,25.36,25.36,100,0
PMTU.US,5,20250915,212000,25.36,25.36,25.36,25.36,300,0
PMTU.US,5,20250915,214500,25.36,25.3601,25.36,25.3601,2032,0
PMTU.US,5,20250915,215000,25.3926,25.3926,25.36,25.3602,1617,0
PMTU.US,5,20250916,153500,25.3814,25.3814,25.36,25.36,402,0
PMTU.US,5,20250916,162000,25.4,25.4,25.4,25.4,775,0
PMTU.US,5,20250916,162500,25.36,25.36,25.36,25.36,100,0
PMTU.US,5,20250916,165500,25.36,25.36,25.36,25.36,100,0
PMTU.US,5,20250916,170000,25.37,25.37,25.37,25.37,100,0
PMTU.US,5,20250916,175000,25.38,25.38,25.38,25.38,100,0
PMTU.US,5,20250916,195000,25.38,25.38,25.38,25.38,200,0
PMTU.US,5,20250916,203500,25.36,25.3602,25.36,25.3602,2000,0
PMTU.US,5,20250916,205500,25.37,25.37,25.37,25.37,100,0
PMTU.US,5,20250916,210000,25.36,25.36,25.36,25.36,100,0
PMTU.US,5,20250916,211500,25.34,25.34,25.3,25.3,837,0
PMTU.US,5,20250917,161000,25.35,25.3646,25.35,25.3646,1794,0
PMTU.US,5,20250917,164000,25.391,25.391,25.391,25.391,100,0
PMTU.US,5,20250917,185000,25.35,25.35,25.35,25.35,100,0
PMTU.US,5,20250917,193500,25.4,25.4,25.4,25.4,437,0
PMTU.US,5,20250917,194000,25.43,25.43,25.43,25.43,100,0
PMTU.US,5,20250917,215000,25.36,25.36,25.36,25.36,176,0
PMTU.US,5,20250918,172500,25.34,25.34,25.34,25.34,100,0
PMTU.US,5,20250918,173000,25.31,25.31,25.3,25.3,369,0
PMTU.US,5,20250918,181000,25.36,25.3683,25.36,25.3683,400,0
PMTU.US,5,20250918,185500,25.37,25.37,25.37,25.37,470,0
PMTU.US,5,20250918,191500,25.35,25.35,25.35,25.35,196,0
PMTU.US,5,20250918,194000,25.35,25.35,25.35,25.35,235,0
PMTU.US,5,20250918,204500,25.31,25.31,25.31,25.31,100,0
PMTU.US,5,20250919,215500,25.33,25.33,25.33,25.33,257,0
PMTU.US,5,20250922,153500,25.3,25.3,25.3,25.3,163,0
PMTU.US,5,20250922,162000,25.307,25.307,25.3,25.3,376,0
PMTU.US,5,20250922,170000,25.3,25.3,25.3,25.3,300,0
PMTU.US,5,20250922,171500,25.287,25.287,25.287,25.287,200,0
PMTU.US,5,20250922,174500,25.3,25.32,25.3,25.32,200,0
PMTU.US,5,20250922,180000,25.2684,25.27,25.26,25.26,590,0
PMTU.US,5,20250922,180500,25.27,25.27,25.27,25.27,200,0
PMTU.US,5,20250922,205500,25.285,25.32,25.285,25.2944,1300,0
PMTU.US,5,20250923,175000,25.2685,25.2685,25.2685,25.2685,100,0
PMTU.US,5,20250923,195500,25.29,25.29,25.26,25.26,390,0
PMTU.US,5,20250923,211000,25.2501,25.29,25.2501,25.29,1021,0
PMTU.US,5,20250924,171500,25.2705,25.2705,25.27,25.2702,724,0
PMTU.US,5,20250924,173500,25.25,25.25,25.25,25.25,100,0
PMTU.US,5,20250924,180500,25.255,25.255,25.255,25.255,400,0
PMTU.US,5,20250924,185500,25.2586,25.2586,25.2586,25.2586,200,0
PMTU.US,5,20250924,190500,25.2599,25.2599,25.25,25.25,200,0
PMTU.US,5,20250924,205000,25.285,25.285,25.285,25.285,200,0
PMTU.US,5,20250925,153500,25.285,25.285,25.285,25.285,100,0
