<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRVS.US,5,20250829,160000,26,26,26,26,251,0
PRVS.US,5,20250829,164500,25.94,25.94,25.94,25.94,100,0
PRVS.US,5,20250829,173500,25.96,25.96,25.96,25.96,100,0
PRVS.US,5,20250829,183000,26,26,26,26,100,0
PRVS.US,5,20250829,211000,25.98,25.98,25.98,25.98,1154,0
PRVS.US,5,20250829,214500,26.01,26.01,26.01,26.01,270,0
PRVS.US,5,20250902,172500,25.65,25.65,25.65,25.65,100,0
PRVS.US,5,20250902,214000,25.7185,25.7185,25.7185,25.7185,125,0
PRVS.US,5,20250902,214500,25.74,25.74,25.74,25.74,119,0
PRVS.US,5,20250903,153000,25.85,25.85,25.85,25.85,200,0
PRVS.US,5,20250903,172500,25.81,25.81,25.81,25.81,100,0
PRVS.US,5,20250903,211000,25.74,25.74,25.74,25.74,100,0
PRVS.US,5,20250904,195000,25.9943,25.9943,25.9943,25.9943,200,0
PRVS.US,5,20250908,180000,26.0742,26.0742,26.0742,26.0742,250,0
PRVS.US,5,20250908,180500,26.07,26.07,26.07,26.07,192,0
PRVS.US,5,20250908,211500,26.0697,26.0697,26.0697,26.0697,153,0
PRVS.US,5,20250909,162000,26.134,26.16,26.134,26.16,616,0
PRVS.US,5,20250909,204500,26.3,26.3,26.3,26.3,100,0
PRVS.US,5,20250909,214000,26.25,26.25,26.25,26.25,400,0
PRVS.US,5,20250910,171500,26.14,26.14,26.14,26.14,100,0
PRVS.US,5,20250910,213000,26.13,26.1399,26.119,26.119,500,0
PRVS.US,5,20250910,214500,26.1595,26.16,26.1595,26.16,461,0
PRVS.US,5,20250911,164000,26.46,26.46,26.46,26.46,100,0
PRVS.US,5,20250911,191000,26.51,26.51,26.51,26.51,100,0
PRVS.US,5,20250911,211500,26.54,26.54,26.5399,26.5399,200,0
PRVS.US,5,20250911,212000,26.53,26.53,26.53,26.53,100,0
PRVS.US,5,20250911,214500,26.56,26.56,26.56,26.56,305,0
PRVS.US,5,20250912,155500,26.524,26.524,26.524,26.524,150,0
PRVS.US,5,20250912,172500,26.44,26.44,26.44,26.44,100,0
PRVS.US,5,20250912,180500,26.42,26.43,26.42,26.43,200,0
PRVS.US,5,20250912,191000,26.44,26.44,26.44,26.44,100,0
PRVS.US,5,20250912,194500,26.46,26.46,26.449,26.455,300,0
PRVS.US,5,20250912,195500,26.46,26.46,26.46,26.46,1500,0
PRVS.US,5,20250912,214500,26.47,26.47,26.47,26.47,400,0
PRVS.US,5,20250915,171000,26.52,26.52,26.52,26.52,100,0
PRVS.US,5,20250915,184500,26.47,26.47,26.47,26.47,100,0
PRVS.US,5,20250915,203500,26.46,26.46,26.46,26.46,100,0
PRVS.US,5,20250915,204500,26.46,26.46,26.46,26.46,100,0
PRVS.US,5,20250915,205000,26.48,26.48,26.48,26.48,200,0
PRVS.US,5,20250915,214500,26.47,26.48,26.47,26.48,200,0
PRVS.US,5,20250916,163500,26.38,26.38,26.38,26.38,120,0
PRVS.US,5,20250916,210500,26.5,26.51,26.5,26.51,1514,0
PRVS.US,5,20250916,214500,26.48,26.48,26.48,26.48,100,0
PRVS.US,5,20250917,201000,26.57,26.57,26.57,26.57,100,0
PRVS.US,5,20250917,202500,26.5605,26.5605,26.5605,26.5605,174,0
PRVS.US,5,20250918,171000,26.67,26.67,26.67,26.67,100,0
PRVS.US,5,20250918,180000,26.6535,26.6535,26.6535,26.6535,250,0
