<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSTL.US,5,20250829,153000,15.74,15.7999,15.74,15.7999,474,0
PSTL.US,5,20250829,153500,15.76,15.76,15.72,15.72,236,0
PSTL.US,5,20250829,154000,15.76,15.76,15.76,15.76,800,0
PSTL.US,5,20250829,154500,15.748,15.765,15.73,15.7323,4900,0
PSTL.US,5,20250829,155500,15.7606,15.7606,15.7606,15.7606,392,0
PSTL.US,5,20250829,160000,15.73,15.745,15.68,15.7,5058,0
PSTL.US,5,20250829,160500,15.71,15.71,15.71,15.71,250,0
PSTL.US,5,20250829,161000,15.69,15.72,15.6801,15.72,937,0
PSTL.US,5,20250829,161500,15.72,15.72,15.72,15.72,300,0
PSTL.US,5,20250829,162000,15.68,15.68,15.64,15.64,1279,0
PSTL.US,5,20250829,162500,15.616,15.6815,15.616,15.6815,1418,0
PSTL.US,5,20250829,163000,15.7,15.71,15.68,15.71,300,0
PSTL.US,5,20250829,163500,15.7,15.72,15.7,15.71,2300,0
PSTL.US,5,20250829,164000,15.68,15.68,15.645,15.645,690,0
PSTL.US,5,20250829,164500,15.665,15.665,15.6502,15.6502,300,0
PSTL.US,5,20250829,165000,15.665,15.665,15.665,15.665,180,0
PSTL.US,5,20250829,165500,15.6999,15.7,15.6999,15.7,1565,0
PSTL.US,5,20250829,170000,15.7,15.7,15.675,15.675,250,0
PSTL.US,5,20250829,170500,15.67,15.67,15.655,15.67,2740,0
PSTL.US,5,20250829,171000,15.65,15.65,15.65,15.65,700,0
PSTL.US,5,20250829,172000,15.65,15.66,15.65,15.66,760,0
PSTL.US,5,20250829,172500,15.65,15.6588,15.65,15.6588,1315,0
PSTL.US,5,20250829,173000,15.65,15.65,15.65,15.65,100,0
PSTL.US,5,20250829,173500,15.66,15.66,15.65,15.66,1688,0
PSTL.US,5,20250829,174000,15.665,15.665,15.665,15.665,150,0
PSTL.US,5,20250829,174500,15.6723,15.685,15.665,15.685,2735,0
PSTL.US,5,20250829,175000,15.66,15.67,15.66,15.66,737,0
PSTL.US,5,20250829,180000,15.67,15.67,15.67,15.67,100,0
PSTL.US,5,20250829,180500,15.67,15.68,15.67,15.68,400,0
PSTL.US,5,20250829,181000,15.69,15.69,15.6705,15.6705,1675,0
PSTL.US,5,20250829,181500,15.69,15.71,15.68,15.71,5470,0
PSTL.US,5,20250829,182000,15.7,15.705,15.7,15.705,334,0
PSTL.US,5,20250829,184000,15.7,15.7,15.69,15.69,211,0
PSTL.US,5,20250829,184500,15.68,15.68,15.68,15.68,100,0
PSTL.US,5,20250829,185000,15.69,15.69,15.69,15.69,110,0
PSTL.US,5,20250829,185500,15.68,15.68,15.68,15.68,100,0
PSTL.US,5,20250829,190000,15.685,15.69,15.685,15.69,600,0
PSTL.US,5,20250829,190500,15.7,15.71,15.7,15.705,760,0
PSTL.US,5,20250829,191000,15.69,15.7,15.69,15.6995,1508,0
PSTL.US,5,20250829,192500,15.695,15.705,15.695,15.705,1832,0
PSTL.US,5,20250829,193000,15.6962,15.705,15.6962,15.705,2028,0
PSTL.US,5,20250829,193500,15.6901,15.702,15.69,15.7,3803,0
PSTL.US,5,20250829,194500,15.7,15.7,15.7,15.7,100,0
PSTL.US,5,20250829,200000,15.69,15.715,15.68,15.715,2346,0
PSTL.US,5,20250829,200500,15.705,15.705,15.705,15.705,1225,0
PSTL.US,5,20250829,201000,15.71,15.73,15.71,15.73,740,0
PSTL.US,5,20250829,201500,15.73,15.73,15.73,15.73,300,0
PSTL.US,5,20250829,202000,15.73,15.735,15.73,15.735,530,0
PSTL.US,5,20250829,202500,15.73,15.75,15.73,15.74,584,0
PSTL.US,5,20250829,203000,15.74,15.74,15.74,15.74,220,0
PSTL.US,5,20250829,203500,15.74,15.74,15.73,15.735,3475,0
PSTL.US,5,20250829,204000,15.735,15.735,15.735,15.735,306,0
PSTL.US,5,20250829,204500,15.73,15.745,15.725,15.745,6001,0
PSTL.US,5,20250829,205000,15.7476,15.7476,15.7476,15.7476,317,0
PSTL.US,5,20250829,205500,15.74,15.74,15.74,15.74,420,0
PSTL.US,5,20250829,210000,15.74,15.74,15.74,15.74,1199,0
PSTL.US,5,20250829,210500,15.7497,15.7497,15.74,15.74,1824,0
PSTL.US,5,20250829,211000,15.74,15.74,15.74,15.74,220,0
PSTL.US,5,20250829,211500,15.73,15.76,15.73,15.75,3176,0
PSTL.US,5,20250829,212000,15.74,15.775,15.7301,15.77,2988,0
PSTL.US,5,20250829,212500,15.77,15.77,15.76,15.77,900,0
PSTL.US,5,20250829,213000,15.77,15.79,15.77,15.78,1471,0
PSTL.US,5,20250829,213500,15.77,15.78,15.77,15.775,1561,0
PSTL.US,5,20250829,214000,15.775,15.785,15.775,15.785,1881,0
PSTL.US,5,20250829,214500,15.785,15.785,15.775,15.785,7518,0
PSTL.US,5,20250829,215000,15.785,15.8,15.78,15.79,6251,0
PSTL.US,5,20250829,215500,15.795,15.84,15.795,15.84,41044,0
PSTL.US,5,20250902,153000,15.8,15.89,15.8,15.84,3566,0
PSTL.US,5,20250902,153500,15.82,15.82,15.82,15.82,200,0
PSTL.US,5,20250902,154000,15.82,15.82,15.82,15.82,334,0
PSTL.US,5,20250902,154500,15.79,15.815,15.76,15.76,670,0
PSTL.US,5,20250902,155500,15.7547,15.79,15.7547,15.79,1051,0
PSTL.US,5,20250902,160000,15.79,15.84,15.79,15.84,2000,0
PSTL.US,5,20250902,160500,15.8494,15.85,15.835,15.835,800,0
PSTL.US,5,20250902,161000,15.85,15.85,15.82,15.82,871,0
PSTL.US,5,20250902,161500,15.83,15.85,15.8,15.825,1064,0
PSTL.US,5,20250902,162000,15.825,15.825,15.795,15.795,3785,0
PSTL.US,5,20250902,162500,15.8,15.8,15.775,15.78,2326,0
PSTL.US,5,20250902,163000,15.78,15.78,15.78,15.78,400,0
PSTL.US,5,20250902,163500,15.78,15.81,15.73,15.8,28231,0
PSTL.US,5,20250902,164000,15.81,15.81,15.78,15.79,5396,0
