<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSMV.US,5,20250829,200000,25.78,25.78,25.78,25.78,100,0
RSMV.US,5,20250829,201000,25.81,25.8351,25.81,25.8351,5693,0
RSMV.US,5,20250902,192500,25.55,25.55,25.55,25.55,563,0
RSMV.US,5,20250902,195500,25.5829,25.5829,25.5829,25.5829,246,0
RSMV.US,5,20250902,200000,25.57,25.57,25.57,25.57,100,0
RSMV.US,5,20250902,200500,25.58,25.59,25.58,25.59,35913,0
RSMV.US,5,20250903,155500,25.71,25.71,25.71,25.71,100,0
RSMV.US,5,20250903,165500,25.7528,25.7528,25.7528,25.7528,254,0
RSMV.US,5,20250903,195500,25.58,25.58,25.58,25.58,37000,0
RSMV.US,5,20250903,200500,25.59,25.59,25.59,25.59,2495,0
RSMV.US,5,20250904,185500,25.83,25.83,25.83,25.83,400,0
RSMV.US,5,20250904,191000,25.85,25.85,25.85,25.85,100,0
RSMV.US,5,20250904,194500,25.86,25.86,25.86,25.86,100,0
RSMV.US,5,20250904,200000,25.91,25.91,25.91,25.91,2103,0
RSMV.US,5,20250904,200500,25.89,25.91,25.89,25.91,2294,0
RSMV.US,5,20250904,202500,25.89,25.89,25.89,25.89,100,0
RSMV.US,5,20250905,195500,25.85,25.85,25.85,25.85,1625,0
RSMV.US,5,20250905,201000,25.84,25.84,25.84,25.84,1055,0
RSMV.US,5,20250908,170000,25.965,25.965,25.965,25.965,2244,0
RSMV.US,5,20250908,184500,25.97,25.97,25.97,25.97,1100,0
RSMV.US,5,20250909,164000,25.97,25.97,25.97,25.97,3256,0
RSMV.US,5,20250909,200000,26.05,26.0656,26.05,26.0656,2164,0
RSMV.US,5,20250909,205500,26.06,26.06,26.06,26.06,200,0
RSMV.US,5,20250909,214000,26.0514,26.0514,26.0514,26.0514,104,0
RSMV.US,5,20250910,184500,26.3,26.3,26.3,26.3,1000,0
RSMV.US,5,20250910,200500,26.31,26.31,26.31,26.31,2783,0
RSMV.US,5,20250911,200500,26.46,26.46,26.46,26.46,10786,0
RSMV.US,5,20250911,210500,26.4628,26.4628,26.4628,26.4628,460,0
RSMV.US,5,20250911,211500,26.48,26.48,26.48,26.48,812,0
RSMV.US,5,20250911,213000,26.49,26.49,26.49,26.49,200,0
RSMV.US,5,20250911,214000,26.5,26.5,26.5,26.5,509,0
RSMV.US,5,20250911,215500,26.46,26.46,26.46,26.46,100,0
RSMV.US,5,20250912,213000,26.4,26.4,26.4,26.4,8108,0
RSMV.US,5,20250912,215500,26.37,26.37,26.37,26.37,800,0
RSMV.US,5,20250915,192500,26.4,26.4,26.4,26.4,100,0
RSMV.US,5,20250915,195500,26.41,26.41,26.41,26.41,100,0
RSMV.US,5,20250915,200500,26.42,26.42,26.42,26.42,11884,0
RSMV.US,5,20250915,201000,26.43,26.43,26.41,26.41,4618,0
RSMV.US,5,20250915,214500,26.45,26.45,26.45,26.45,4535,0
RSMV.US,5,20250915,215000,26.44,26.44,26.44,26.44,100,0
RSMV.US,5,20250916,161500,26.48,26.48,26.48,26.48,100,0
RSMV.US,5,20250916,215500,26.53,26.53,26.53,26.53,4423,0
RSMV.US,5,20250917,161500,26.51,26.51,26.51,26.51,100,0
RSMV.US,5,20250917,195500,26.48,26.5048,26.48,26.5048,1617,0
RSMV.US,5,20250917,204000,26.45,26.45,26.45,26.45,100,0
RSMV.US,5,20250917,205500,26.37,26.4,26.37,26.38,3590,0
RSMV.US,5,20250917,213000,26.53,26.53,26.53,26.53,319,0
RSMV.US,5,20250917,214000,26.55,26.55,26.55,26.55,1945,0
RSMV.US,5,20250917,214500,26.54,26.54,26.54,26.54,300,0
RSMV.US,5,20250917,215500,26.52,26.52,26.52,26.52,100,0
RSMV.US,5,20250918,195500,26.63,26.63,26.63,26.63,2590,0
RSMV.US,5,20250918,203500,26.63,26.63,26.63,26.63,1714,0
