<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGU.US,5,20250829,153000,11.61,11.7099,11.61,11.62,700,0
SGU.US,5,20250829,154500,11.7134,11.7134,11.7134,11.7134,200,0
SGU.US,5,20250829,162000,11.6432,11.6432,11.6432,11.6432,359,0
SGU.US,5,20250829,163500,11.675,11.675,11.675,11.675,424,0
SGU.US,5,20250829,164500,11.67,11.67,11.67,11.67,100,0
SGU.US,5,20250829,171000,11.69,11.71,11.69,11.71,862,0
SGU.US,5,20250829,171500,11.72,11.72,11.6911,11.6911,1721,0
SGU.US,5,20250829,172000,11.69,11.7,11.69,11.7,1399,0
SGU.US,5,20250829,173000,11.7,11.74,11.7,11.74,500,0
SGU.US,5,20250829,174000,11.6708,11.6708,11.6708,11.6708,300,0
SGU.US,5,20250829,181000,11.7,11.7,11.68,11.68,300,0
SGU.US,5,20250829,183000,11.73,11.75,11.72,11.75,1200,0
SGU.US,5,20250829,184000,11.74,11.74,11.74,11.74,100,0
SGU.US,5,20250829,185500,11.7467,11.75,11.745,11.745,1066,0
SGU.US,5,20250829,190000,11.7167,11.7167,11.7167,11.7167,507,0
SGU.US,5,20250829,190500,11.73,11.76,11.73,11.76,400,0
SGU.US,5,20250829,191000,11.74,11.74,11.74,11.74,200,0
SGU.US,5,20250829,192000,11.75,11.785,11.75,11.78,5896,0
SGU.US,5,20250829,192500,11.78,11.79,11.78,11.78,3314,0
SGU.US,5,20250829,194500,11.78,11.8,11.78,11.785,4737,0
SGU.US,5,20250829,195000,11.78,11.78,11.78,11.78,1278,0
SGU.US,5,20250829,195500,11.75,11.75,11.75,11.75,100,0
SGU.US,5,20250829,200500,11.73,11.73,11.6542,11.71,668,0
SGU.US,5,20250829,203000,11.725,11.725,11.725,11.725,100,0
SGU.US,5,20250829,203500,11.665,11.665,11.665,11.665,100,0
SGU.US,5,20250829,204500,11.72,11.72,11.72,11.72,100,0
SGU.US,5,20250829,210500,11.705,11.725,11.705,11.725,200,0
SGU.US,5,20250829,211000,11.69,11.69,11.69,11.69,100,0
SGU.US,5,20250829,211500,11.69,11.69,11.69,11.69,1114,0
SGU.US,5,20250829,212000,11.72,11.72,11.72,11.72,200,0
SGU.US,5,20250829,213000,11.755,11.755,11.755,11.755,100,0
SGU.US,5,20250829,214000,11.685,11.755,11.685,11.755,200,0
SGU.US,5,20250829,215000,11.68,11.7493,11.68,11.69,2261,0
SGU.US,5,20250829,215500,11.68,11.71,11.65,11.65,8291,0
SGU.US,5,20250902,153000,11.6,11.6,11.6,11.6,502,0
SGU.US,5,20250902,153500,11.725,11.725,11.7,11.7,200,0
SGU.US,5,20250902,154000,11.5922,11.5922,11.5922,11.5922,490,0
SGU.US,5,20250902,160500,11.65,11.65,11.65,11.65,370,0
SGU.US,5,20250902,162500,11.7169,11.7169,11.7169,11.7169,100,0
SGU.US,5,20250902,164000,11.7424,11.7424,11.7424,11.7424,1296,0
SGU.US,5,20250902,164500,11.77,11.77,11.76,11.76,2000,0
SGU.US,5,20250902,165000,11.75,11.75,11.75,11.75,500,0
SGU.US,5,20250902,165500,11.7201,11.79,11.7201,11.79,4410,0
SGU.US,5,20250902,170000,11.7707,11.7707,11.7707,11.7707,545,0
SGU.US,5,20250902,170500,11.817,11.817,11.817,11.817,500,0
SGU.US,5,20250902,171000,11.84,11.84,11.77,11.78,1015,0
SGU.US,5,20250902,172000,11.78,11.78,11.78,11.78,2507,0
SGU.US,5,20250902,172500,11.78,11.78,11.78,11.78,100,0
SGU.US,5,20250902,173000,11.81,11.81,11.78,11.78,1104,0
SGU.US,5,20250902,173500,11.7401,11.7401,11.7401,11.7401,200,0
SGU.US,5,20250902,174000,11.79,11.8,11.79,11.79,500,0
SGU.US,5,20250902,175000,11.79,11.8,11.765,11.8,1600,0
SGU.US,5,20250902,175500,11.78,11.78,11.78,11.78,100,0
SGU.US,5,20250902,180500,11.78,11.78,11.78,11.78,1071,0
SGU.US,5,20250902,181000,11.755,11.8299,11.755,11.8299,600,0
SGU.US,5,20250902,181500,11.76,11.76,11.75,11.75,300,0
SGU.US,5,20250902,182500,11.7715,11.7715,11.7715,11.7715,250,0
SGU.US,5,20250902,184000,11.75,11.76,11.75,11.76,300,0
SGU.US,5,20250902,184500,11.76,11.76,11.76,11.76,100,0
SGU.US,5,20250902,185000,11.82,11.82,11.76,11.76,5540,0
SGU.US,5,20250902,185500,11.76,11.785,11.76,11.76,400,0
SGU.US,5,20250902,190000,11.78,11.78,11.75,11.75,300,0
SGU.US,5,20250902,190500,11.75,11.75,11.75,11.75,100,0
SGU.US,5,20250902,191000,11.76,11.79,11.76,11.79,3400,0
SGU.US,5,20250902,191500,11.785,11.785,11.77,11.77,200,0
SGU.US,5,20250902,192000,11.76,11.76,11.76,11.76,100,0
SGU.US,5,20250902,195000,11.775,11.775,11.775,11.775,100,0
SGU.US,5,20250902,200000,11.775,11.775,11.775,11.775,100,0
SGU.US,5,20250902,202000,11.77,11.77,11.77,11.77,100,0
SGU.US,5,20250902,202500,11.77,11.77,11.77,11.77,300,0
SGU.US,5,20250902,203500,11.77,11.775,11.77,11.775,3087,0
SGU.US,5,20250902,204000,11.77,11.77,11.77,11.77,200,0
SGU.US,5,20250902,204500,11.77,11.77,11.77,11.77,1795,0
SGU.US,5,20250902,205500,11.76,11.76,11.76,11.76,200,0
SGU.US,5,20250902,210000,11.76,11.765,11.76,11.765,300,0
SGU.US,5,20250902,210500,11.77,11.79,11.77,11.77,3257,0
SGU.US,5,20250902,211500,11.77,11.79,11.77,11.77,1400,0
SGU.US,5,20250902,212000,11.77,11.77,11.77,11.77,100,0
SGU.US,5,20250902,213000,11.76,11.76,11.76,11.76,200,0
SGU.US,5,20250902,213500,11.77,11.77,11.75,11.75,400,0
SGU.US,5,20250902,214500,11.767,11.77,11.745,11.77,2408,0
SGU.US,5,20250902,215000,11.75,11.77,11.7383,11.7383,800,0
SGU.US,5,20250902,215500,11.775,11.775,11.71,11.71,10272,0
SGU.US,5,20250903,153000,11.6001,11.6001,11.6001,11.6001,258,0
SGU.US,5,20250903,160000,11.75,11.75,11.75,11.75,500,0
SGU.US,5,20250903,161500,11.745,11.745,11.745,11.745,500,0
SGU.US,5,20250903,162500,11.79,11.79,11.78,11.79,1263,0
SGU.US,5,20250903,163000,11.82,11.845,11.82,11.845,1100,0
SGU.US,5,20250903,164000,11.7416,11.7416,11.7416,11.7416,200,0
SGU.US,5,20250903,182500,11.79,11.79,11.79,11.79,200,0
SGU.US,5,20250903,184000,11.81,11.819,11.81,11.819,424,0
SGU.US,5,20250903,185000,11.78,11.8024,11.7706,11.8,2531,0
SGU.US,5,20250903,185500,11.78,11.795,11.771,11.795,300,0
SGU.US,5,20250903,190000,11.82,11.82,11.81,11.815,1336,0
SGU.US,5,20250903,190500,11.856,11.856,11.856,11.856,125,0
SGU.US,5,20250903,191500,11.81,11.85,11.81,11.845,2624,0
SGU.US,5,20250903,193000,11.81,11.81,11.81,11.81,270,0
SGU.US,5,20250903,194000,11.81,11.88,11.81,11.88,1722,0
SGU.US,5,20250903,200000,11.87,11.87,11.85,11.85,700,0
SGU.US,5,20250903,201000,11.85,11.86,11.85,11.86,640,0
SGU.US,5,20250903,202000,11.85,11.85,11.85,11.85,600,0
SGU.US,5,20250903,202500,11.85,11.85,11.85,11.85,100,0
SGU.US,5,20250903,203500,11.85,11.85,11.85,11.85,549,0
SGU.US,5,20250903,204500,11.85,11.85,11.85,11.85,640,0
SGU.US,5,20250903,205500,11.85,11.87,11.85,11.87,946,0
SGU.US,5,20250903,210000,11.85,11.85,11.85,11.85,100,0
SGU.US,5,20250903,210500,11.85,11.8716,11.85,11.8716,750,0
SGU.US,5,20250903,211000,11.85,11.87,11.85,11.87,2189,0
SGU.US,5,20250903,211500,11.85,11.85,11.85,11.85,640,0
SGU.US,5,20250903,212000,11.85,11.85,11.85,11.85,200,0
SGU.US,5,20250903,212500,11.85,11.85,11.85,11.85,700,0
SGU.US,5,20250903,213500,11.84,11.86,11.825,11.84,4224,0
SGU.US,5,20250903,214000,11.825,11.85,11.825,11.85,736,0
SGU.US,5,20250903,214500,11.845,11.89,11.845,11.89,540,0
SGU.US,5,20250903,215000,11.85,11.85,11.85,11.85,900,0
SGU.US,5,20250903,215500,11.82,11.875,11.82,11.83,2153,0
SGU.US,5,20250904,154500,11.835,11.835,11.835,11.835,190,0
SGU.US,5,20250904,163500,11.85,11.85,11.85,11.85,200,0
SGU.US,5,20250904,170000,11.86,11.86,11.83,11.83,467,0
SGU.US,5,20250904,173000,11.84,11.85,11.84,11.84,3510,0
SGU.US,5,20250904,173500,11.815,11.84,11.81,11.81,686,0
SGU.US,5,20250904,174500,11.81,11.81,11.81,11.81,228,0
SGU.US,5,20250904,175000,11.84,11.84,11.84,11.84,100,0
SGU.US,5,20250904,175500,11.85,11.85,11.85,11.85,200,0
SGU.US,5,20250904,180500,11.825,11.825,11.825,11.825,100,0
SGU.US,5,20250904,200000,11.855,11.855,11.855,11.855,100,0
SGU.US,5,20250904,200500,11.85,11.85,11.85,11.85,100,0
SGU.US,5,20250904,201000,11.85,11.85,11.83,11.84,12702,0
SGU.US,5,20250904,201500,11.8368,11.8368,11.83,11.83,1350,0
SGU.US,5,20250904,202000,11.83,11.83,11.79,11.79,1043,0
SGU.US,5,20250904,202500,11.8,11.8,11.77,11.785,1532,0
SGU.US,5,20250904,203000,11.76,11.76,11.76,11.76,200,0
SGU.US,5,20250904,203500,11.76,11.76,11.76,11.76,100,0
SGU.US,5,20250904,204000,11.76,11.85,11.76,11.805,5099,0
SGU.US,5,20250904,204500,11.84,11.84,11.805,11.805,270,0
SGU.US,5,20250904,205000,11.8,11.8,11.8,11.8,200,0
SGU.US,5,20250904,205500,11.8,11.8,11.8,11.8,100,0
SGU.US,5,20250904,210000,11.8,11.8,11.8,11.8,200,0
SGU.US,5,20250904,211000,11.83,11.84,11.82,11.84,900,0
SGU.US,5,20250904,212000,11.85,11.85,11.85,11.85,100,0
SGU.US,5,20250904,212500,11.89,11.89,11.855,11.86,2900,0
SGU.US,5,20250904,213000,11.86,11.86,11.86,11.86,100,0
SGU.US,5,20250904,214000,11.83,11.86,11.83,11.86,4319,0
SGU.US,5,20250904,215000,11.83,11.83,11.83,11.83,855,0
SGU.US,5,20250904,215500,11.83,11.855,11.83,11.83,3433,0
SGU.US,5,20250905,153500,11.88,11.88,11.88,11.88,100,0
SGU.US,5,20250905,155500,11.8566,11.89,11.8566,11.89,600,0
SGU.US,5,20250905,160000,11.835,11.835,11.835,11.835,100,0
SGU.US,5,20250905,160500,11.84,11.84,11.835,11.835,500,0
SGU.US,5,20250905,161000,11.84,11.84,11.84,11.84,100,0
SGU.US,5,20250905,164000,11.84,11.84,11.84,11.84,2700,0
SGU.US,5,20250905,164500,11.865,11.865,11.84,11.84,1975,0
SGU.US,5,20250905,165000,11.84,11.84,11.84,11.84,3977,0
SGU.US,5,20250905,165500,11.84,11.84,11.84,11.84,2432,0
SGU.US,5,20250905,170500,11.83,11.83,11.765,11.765,1564,0
SGU.US,5,20250905,172000,11.76,11.76,11.76,11.76,100,0
SGU.US,5,20250905,173000,11.76,11.76,11.76,11.76,100,0
SGU.US,5,20250905,174500,11.79,11.79,11.79,11.79,101,0
SGU.US,5,20250905,175000,11.77,11.785,11.77,11.785,200,0
SGU.US,5,20250905,182000,11.8,11.8,11.77,11.77,600,0
SGU.US,5,20250905,182500,11.76,11.76,11.76,11.76,800,0
SGU.US,5,20250905,190500,11.775,11.775,11.775,11.775,100,0
SGU.US,5,20250905,200000,11.77,11.77,11.77,11.77,101,0
SGU.US,5,20250905,200500,11.76,11.7708,11.75,11.75,1735,0
