<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNTH.US,5,20250829,153000,28.92,28.92,28.92,28.92,1300,0
SNTH.US,5,20250829,160000,28.92,28.92,28.92,28.92,100,0
SNTH.US,5,20250829,165000,28.78,28.78,28.78,28.78,100,0
SNTH.US,5,20250829,165500,28.82,28.82,28.82,28.82,100,0
SNTH.US,5,20250829,171500,28.8169,28.8169,28.8169,28.8169,520,0
SNTH.US,5,20250829,172500,28.84,28.84,28.84,28.84,4976,0
SNTH.US,5,20250829,185000,28.86,28.8899,28.86,28.8899,1600,0
SNTH.US,5,20250829,190500,28.8042,28.89,28.8042,28.89,300,0
SNTH.US,5,20250829,192500,28.81,28.82,28.81,28.82,686,0
SNTH.US,5,20250829,195000,28.85,28.85,28.85,28.85,717,0
SNTH.US,5,20250829,200000,28.7709,28.8689,28.7655,28.8689,2674,0
SNTH.US,5,20250829,201000,28.85,28.86,28.85,28.86,7062,0
SNTH.US,5,20250829,203000,28.85,28.85,28.85,28.85,300,0
SNTH.US,5,20250829,205500,28.864,28.864,28.864,28.864,300,0
SNTH.US,5,20250829,211500,28.85,28.85,28.85,28.85,142,0
SNTH.US,5,20250829,212500,28.8699,28.8699,28.8699,28.8699,8535,0
SNTH.US,5,20250829,215500,28.82,28.85,28.82,28.84,42976,0
SNTH.US,5,20250902,163500,28.55,28.594,28.55,28.594,475,0
SNTH.US,5,20250902,164000,28.48,28.48,28.48,28.48,200,0
SNTH.US,5,20250902,170500,28.46,28.48,28.44,28.44,3566,0
SNTH.US,5,20250902,171500,28.41,28.41,28.41,28.41,200,0
SNTH.US,5,20250902,173000,28.39,28.39,28.39,28.39,100,0
SNTH.US,5,20250902,180000,28.38,28.38,28.38,28.38,100,0
SNTH.US,5,20250902,182500,28.3593,28.3593,28.3593,28.3593,176,0
SNTH.US,5,20250902,185500,28.43,28.43,28.43,28.43,300,0
SNTH.US,5,20250902,190500,28.435,28.435,28.435,28.435,100,0
SNTH.US,5,20250902,201000,28.494,28.494,28.494,28.494,120,0
SNTH.US,5,20250902,203000,28.46,28.47,28.46,28.47,800,0
SNTH.US,5,20250902,203500,28.46,28.46,28.46,28.46,600,0
SNTH.US,5,20250902,204000,28.46,28.46,28.46,28.46,700,0
SNTH.US,5,20250902,204500,28.46,28.46,28.46,28.46,700,0
SNTH.US,5,20250902,205000,28.5,28.5,28.5,28.5,706,0
SNTH.US,5,20250902,205500,28.49,28.5,28.47,28.47,532,0
SNTH.US,5,20250902,210000,28.48,28.48,28.48,28.48,100,0
SNTH.US,5,20250902,215500,28.59,28.59,28.59,28.59,100,0
SNTH.US,5,20250903,161000,28.67,28.67,28.67,28.67,100,0
SNTH.US,5,20250903,164500,28.7723,28.7723,28.7723,28.7723,357,0
SNTH.US,5,20250903,174000,28.72,28.72,28.72,28.72,100,0
SNTH.US,5,20250903,183500,28.7175,28.7175,28.71,28.71,506,0
SNTH.US,5,20250903,184000,28.67,28.68,28.67,28.68,420,0
SNTH.US,5,20250903,191000,28.68,28.68,28.68,28.68,621,0
SNTH.US,5,20250903,191500,28.719,28.719,28.719,28.719,1627,0
SNTH.US,5,20250903,192500,28.67,28.67,28.67,28.67,100,0
SNTH.US,5,20250903,193500,28.6802,28.6802,28.665,28.665,1842,0
SNTH.US,5,20250903,194000,28.64,28.64,28.64,28.64,500,0
SNTH.US,5,20250903,195500,28.61,28.61,28.61,28.61,127,0
SNTH.US,5,20250903,200000,28.7035,28.7035,28.7035,28.7035,1592,0
SNTH.US,5,20250903,202000,28.63,28.63,28.61,28.62,2495,0
SNTH.US,5,20250903,203500,28.61,28.61,28.58,28.58,500,0
SNTH.US,5,20250903,204000,28.6083,28.6083,28.6083,28.6083,567,0
SNTH.US,5,20250903,204500,28.61,28.6277,28.59,28.59,1704,0
SNTH.US,5,20250903,205000,28.59,28.6209,28.55,28.6209,3500,0
SNTH.US,5,20250903,205500,28.8199,28.8199,28.55,28.6,2991,0
SNTH.US,5,20250903,210000,28.6,28.619,28.6,28.619,1208,0
SNTH.US,5,20250903,210500,28.62,28.64,28.62,28.64,434,0
SNTH.US,5,20250903,211000,28.61,28.61,28.595,28.61,300,0
SNTH.US,5,20250903,211500,28.61,28.63,28.61,28.63,579,0
SNTH.US,5,20250903,212000,28.62,28.62,28.62,28.62,318,0
