<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STXI.US,5,20250829,192000,29.39,29.41,29.39,29.41,200,0
STXI.US,5,20250829,215000,29.39,29.39,29.39,29.39,127,0
STXI.US,5,20250902,161500,29.22,29.22,29.22,29.22,100,0
STXI.US,5,20250902,162500,29.14,29.18,29.14,29.14,674,0
STXI.US,5,20250902,204500,29.02,29.02,29.02,29.02,710,0
STXI.US,5,20250902,214500,29.24,29.24,29.24,29.24,100,0
STXI.US,5,20250903,161500,29.11,29.16,29.11,29.11,974,0
STXI.US,5,20250903,200500,29.1355,29.1355,29.1355,29.1355,232,0
STXI.US,5,20250903,214500,29.17,29.48,29.17,29.48,300,0
STXI.US,5,20250904,153500,29.305,29.305,29.305,29.305,200,0
STXI.US,5,20250904,172000,29.34,29.35,29.34,29.35,341,0
STXI.US,5,20250904,202000,29.41,29.41,29.41,29.41,136,0
STXI.US,5,20250904,210000,29.35,29.35,29.35,29.35,300,0
STXI.US,5,20250904,214500,29.73,29.73,29.73,29.73,200,0
STXI.US,5,20250908,154500,29.645,29.645,29.645,29.645,271,0
STXI.US,5,20250909,185500,29.65,29.65,29.65,29.65,336,0
STXI.US,5,20250909,215500,29.6604,29.6604,29.6604,29.6604,131,0
STXI.US,5,20250910,182000,29.71,29.71,29.71,29.71,100,0
STXI.US,5,20250910,192500,29.666,29.666,29.666,29.666,200,0
STXI.US,5,20250910,205000,29.65,29.65,29.65,29.65,130,0
STXI.US,5,20250910,211500,29.66,29.66,29.66,29.66,300,0
STXI.US,5,20250912,205500,29.89,29.89,29.89,29.89,209,0
STXI.US,5,20250915,161500,29.95,30.01,29.95,29.97,557,0
STXI.US,5,20250915,162000,29.93,29.93,29.93,29.93,100,0
STXI.US,5,20250915,214500,30.21,30.21,30.21,30.21,100,0
STXI.US,5,20250916,153500,30.07,30.07,30.07,30.07,200,0
STXI.US,5,20250916,161500,30,30.07,30,30.06,1264,0
STXI.US,5,20250916,214500,30.86,30.86,30.86,30.86,300,0
STXI.US,5,20250918,164500,30.0052,30.0052,29.99,30.0046,2335,0
STXI.US,5,20250918,192000,30.05,30.05,30.05,30.05,100,0
STXI.US,5,20250918,211500,30.06,30.06,30.06,30.06,121,0
STXI.US,5,20250918,214500,29.7,29.7,29.7,29.7,100,0
