<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFX.US,5,20250829,153000,126.22,127.12,126.12,126.42,28500,0
TFX.US,5,20250829,153500,126.5,126.93,126.35,126.675,11946,0
TFX.US,5,20250829,154000,126.92,126.92,126.51,126.59,3417,0
TFX.US,5,20250829,154500,126.865,127.26,126.6065,126.73,20564,0
TFX.US,5,20250829,155000,126.71,126.76,126.42,126.57,2200,0
TFX.US,5,20250829,155500,126.74,126.94,126.74,126.94,300,0
TFX.US,5,20250829,160000,126.845,126.905,126.81,126.84,1651,0
TFX.US,5,20250829,160500,126.67,126.735,126.1,126.6,3153,0
TFX.US,5,20250829,161000,126.16,126.3,126.07,126.265,1128,0
TFX.US,5,20250829,161500,125.99,125.99,125.73,125.74,1368,0
TFX.US,5,20250829,162000,125.83,126.15,125.8,125.8,2100,0
TFX.US,5,20250829,162500,125.98,126.02,125.76,125.81,1449,0
TFX.US,5,20250829,163000,125.915,126.02,125.915,126.015,798,0
TFX.US,5,20250829,163500,126.04,126.04,125.73,125.97,3900,0
TFX.US,5,20250829,164000,126.125,126.125,126.07,126.095,1610,0
TFX.US,5,20250829,164500,125.95,125.96,125.78,125.78,500,0
TFX.US,5,20250829,165000,125.77,126.34,125.7,126.34,1977,0
TFX.US,5,20250829,165500,126.3,126.56,126.3,126.49,800,0
TFX.US,5,20250829,170000,126.42,126.43,126.36,126.43,1300,0
TFX.US,5,20250829,170500,126.4,126.41,126.22,126.22,634,0
TFX.US,5,20250829,171000,126.29,126.39,126.11,126.11,1802,0
TFX.US,5,20250829,171500,126.06,126.06,125.92,125.92,500,0
TFX.US,5,20250829,172000,125.755,125.755,125.755,125.755,100,0
TFX.US,5,20250829,172500,125.83,126.06,125.83,125.89,1888,0
TFX.US,5,20250829,173000,126,126.15,125.99,125.99,1197,0
TFX.US,5,20250829,173500,126.005,126.27,126.005,126.27,400,0
TFX.US,5,20250829,174000,126.19,126.27,126.19,126.26,1000,0
TFX.US,5,20250829,174500,126.345,126.36,126.27,126.28,661,0
TFX.US,5,20250829,175000,126.25,126.34,126.25,126.275,1254,0
TFX.US,5,20250829,175500,126.34,126.49,126.34,126.4,400,0
TFX.US,5,20250829,180000,126.36,126.36,126.325,126.325,206,0
TFX.US,5,20250829,180500,126.51,126.58,126.51,126.53,847,0
TFX.US,5,20250829,181000,126.4,126.4,126.33,126.33,919,0
TFX.US,5,20250829,181500,126.12,126.12,126.095,126.095,314,0
TFX.US,5,20250829,182000,126.18,126.27,126.18,126.27,1031,0
TFX.US,5,20250829,182500,126.255,126.34,126.255,126.34,252,0
TFX.US,5,20250829,183000,126.36,126.36,126.27,126.3,1070,0
TFX.US,5,20250829,183500,126.38,126.38,126.38,126.38,152,0
TFX.US,5,20250829,184000,126.2902,126.35,126.2902,126.35,674,0
TFX.US,5,20250829,184500,126.34,126.34,126.27,126.28,682,0
TFX.US,5,20250829,185000,126.27,126.27,126.27,126.27,100,0
TFX.US,5,20250829,185500,126.33,126.33,126.33,126.33,139,0
TFX.US,5,20250829,190000,126.33,126.37,126.32,126.3399,2130,0
TFX.US,5,20250829,190500,126.34,126.41,126.34,126.41,400,0
TFX.US,5,20250829,191000,126.39,126.42,126.39,126.42,1765,0
TFX.US,5,20250829,191500,126.46,126.57,126.44,126.54,1101,0
TFX.US,5,20250829,192000,126.55,126.57,126.44,126.44,2300,0
TFX.US,5,20250829,192500,126.345,126.41,126.345,126.41,884,0
TFX.US,5,20250829,193000,126.4,126.49,126.4,126.49,709,0
TFX.US,5,20250829,193500,126.515,126.57,126.515,126.545,910,0
TFX.US,5,20250829,194000,126.54,126.58,126.48,126.49,887,0
TFX.US,5,20250829,194500,126.46,126.46,126.46,126.46,700,0
TFX.US,5,20250829,195000,126.48,126.48,126.43,126.43,300,0
TFX.US,5,20250829,195500,126.45,126.45,126.45,126.45,100,0
TFX.US,5,20250829,200000,126.42,126.42,126.285,126.285,844,0
TFX.US,5,20250829,200500,126.27,126.27,126.06,126.1579,1065,0
TFX.US,5,20250829,201000,126.05,126.12,125.94,125.94,682,0
TFX.US,5,20250829,201500,125.92,125.92,125.92,125.92,100,0
TFX.US,5,20250829,202000,126.06,126.07,125.825,125.825,1856,0
TFX.US,5,20250829,202500,125.9,126.06,125.875,126.06,1347,0
TFX.US,5,20250829,203000,125.99,126.04,125.99,126,700,0
TFX.US,5,20250829,203500,125.98,126.08,125.98,126.04,600,0
TFX.US,5,20250829,204000,126.07,126.07,126.0484,126.06,1233,0
TFX.US,5,20250829,204500,126.065,126.15,126.065,126.12,1100,0
TFX.US,5,20250829,205000,126.09,126.1199,126.06,126.1199,991,0
TFX.US,5,20250829,205500,126.04,126.07,125.99,126.02,1400,0
TFX.US,5,20250829,210000,126,126.05,126,126.05,800,0
TFX.US,5,20250829,210500,126.06,126.1894,126.06,126.16,1813,0
TFX.US,5,20250829,211000,126.18,126.21,126.18,126.18,800,0
TFX.US,5,20250829,211500,126.17,126.17,126.08,126.14,1300,0
TFX.US,5,20250829,212000,126.17,126.2,126.17,126.17,1625,0
TFX.US,5,20250829,212500,126.13,126.13,126.02,126.08,2200,0
TFX.US,5,20250829,213000,126.15,126.15,125.915,125.915,1300,0
TFX.US,5,20250829,213500,125.98,126.19,125.97,126.155,3250,0
TFX.US,5,20250829,214000,126.165,126.19,126.145,126.17,1609,0
TFX.US,5,20250829,214500,126.16,126.33,126.095,126.31,4602,0
TFX.US,5,20250829,215000,126.3275,126.49,126.3275,126.41,4700,0
TFX.US,5,20250829,215500,126.37,126.675,126.37,126.41,102055,0
TFX.US,5,20250902,153000,125.635,126.7,125.33,126.005,15457,0
TFX.US,5,20250902,153500,125.895,125.895,125,125.05,1910,0
TFX.US,5,20250902,154000,125.095,125.38,124.82,124.82,1226,0
TFX.US,5,20250902,154500,124.98,124.98,123.8,124.105,3020,0
TFX.US,5,20250902,155000,124.2123,125.19,124.2123,125.09,2801,0
TFX.US,5,20250902,155500,125.33,125.64,125.305,125.64,700,0
TFX.US,5,20250902,160000,125.635,125.9275,125.635,125.925,816,0
TFX.US,5,20250902,160500,125.93,125.93,125.5,125.58,3635,0
TFX.US,5,20250902,161000,125.46,125.56,125.28,125.28,2501,0
TFX.US,5,20250902,161500,125.49,125.625,125.49,125.57,2100,0
TFX.US,5,20250902,162000,125.42,125.42,125.42,125.42,100,0
TFX.US,5,20250902,162500,125.26,125.43,125.225,125.43,1400,0
TFX.US,5,20250902,163000,125.42,125.475,125.29,125.305,1100,0
TFX.US,5,20250902,163500,125.04,125.045,124.89,125.04,1100,0
TFX.US,5,20250902,164000,125.025,125.12,124.88,125.035,4677,0
TFX.US,5,20250902,164500,125.17,125.17,124.84,125,1100,0
TFX.US,5,20250902,165000,124.93,124.93,124.76,124.8,900,0
TFX.US,5,20250902,165500,124.9,124.9,124.69,124.705,1300,0
TFX.US,5,20250902,170000,124.715,124.72,124.5,124.555,3606,0
TFX.US,5,20250902,170500,124.555,124.64,124.51,124.62,997,0
TFX.US,5,20250902,171000,124.7,124.82,124.695,124.775,2102,0
TFX.US,5,20250902,171500,124.715,124.77,124.67,124.72,1950,0
TFX.US,5,20250902,172000,124.72,124.72,124.6,124.68,2300,0
TFX.US,5,20250902,172500,124.685,124.745,124.61,124.745,2200,0
TFX.US,5,20250902,173000,124.69,124.8,124.69,124.76,4133,0
TFX.US,5,20250902,173500,124.68,124.68,124.475,124.485,1000,0
TFX.US,5,20250902,174000,124.66,124.78,124.65,124.725,2227,0
TFX.US,5,20250902,174500,124.74,124.78,124.67,124.775,1300,0
TFX.US,5,20250902,175000,124.75,125.065,124.75,124.92,16625,0
TFX.US,5,20250902,175500,124.91,124.91,124.82,124.82,500,0
TFX.US,5,20250902,180000,124.87,124.89,124.75,124.84,2255,0
TFX.US,5,20250902,180500,124.85,125.08,124.85,125.08,9076,0
TFX.US,5,20250902,181000,125.1,125.2,125.06,125.175,5559,0
TFX.US,5,20250902,181500,125.25,125.44,125.1,125.1,6914,0
TFX.US,5,20250902,182000,125.125,125.21,125.125,125.21,200,0
TFX.US,5,20250902,182500,125.14,125.14,125.005,125.005,800,0
TFX.US,5,20250902,183000,124.98,125.06,124.97,125,2188,0
TFX.US,5,20250902,183500,125.0225,125.075,124.995,124.995,900,0
TFX.US,5,20250902,184000,124.99,124.99,124.8,124.86,1440,0
TFX.US,5,20250902,184500,124.815,124.86,124.77,124.805,1800,0
TFX.US,5,20250902,185000,124.86,124.87,124.83,124.845,4731,0
TFX.US,5,20250902,185500,124.845,124.98,124.845,124.97,1586,0
TFX.US,5,20250902,190000,125,125.03,124.85,124.97,7149,0
TFX.US,5,20250902,190500,125,125.27,124.9301,125.27,2700,0
TFX.US,5,20250902,191000,125.24,125.31,125.23,125.23,1114,0
TFX.US,5,20250902,191500,125.33,125.34,125.315,125.34,3480,0
TFX.US,5,20250902,192000,125.39,125.43,125.3,125.41,1069,0
TFX.US,5,20250902,192500,125.43,125.585,125.28,125.31,12975,0
TFX.US,5,20250902,193000,125.38,125.545,125.38,125.5,1300,0
TFX.US,5,20250902,193500,125.55,125.59,125.5,125.55,4096,0
TFX.US,5,20250902,194000,125.5,125.53,125.45,125.51,1471,0
TFX.US,5,20250902,194500,125.515,125.55,125.42,125.44,2002,0
TFX.US,5,20250902,195000,125.52,125.63,125.52,125.575,5961,0
TFX.US,5,20250902,195500,125.52,125.59,125.52,125.59,901,0
TFX.US,5,20250902,200000,125.575,125.64,125.56,125.635,6681,0
TFX.US,5,20250902,200500,125.635,125.635,125.55,125.605,2175,0
TFX.US,5,20250902,201000,125.52,125.56,125.52,125.56,648,0
TFX.US,5,20250902,201500,125.5625,125.5725,125.38,125.4025,1300,0
TFX.US,5,20250902,202000,125.405,125.46,125.21,125.245,1901,0
TFX.US,5,20250902,202500,125.28,125.42,125.245,125.42,2371,0
TFX.US,5,20250902,203000,125.37,125.69,125.37,125.6,42651,0
TFX.US,5,20250902,203500,125.58,125.64,125.58,125.62,2237,0
TFX.US,5,20250902,204000,125.62,125.62,125.5125,125.545,2746,0
TFX.US,5,20250902,204500,125.545,125.545,125.4499,125.485,5736,0
TFX.US,5,20250902,205000,125.54,125.65,125.54,125.58,3727,0
TFX.US,5,20250902,205500,125.58,125.63,125.51,125.51,3892,0
TFX.US,5,20250902,210000,125.53,125.59,125.5,125.54,2862,0
TFX.US,5,20250902,210500,125.59,125.635,125.59,125.615,3926,0
TFX.US,5,20250902,211000,125.6175,125.69,125.59,125.69,9213,0
TFX.US,5,20250902,211500,125.651,125.92,125.635,125.89,6212,0
