<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGLB.US,5,20250829,210000,25.56,25.61,25.56,25.61,600,0
TGLB.US,5,20250902,153000,25.23,25.23,25.23,25.23,100,0
TGLB.US,5,20250902,155500,25.3856,25.3856,25.3856,25.3856,166,0
TGLB.US,5,20250902,162500,25.4,25.4,25.4,25.4,200,0
TGLB.US,5,20250902,165000,25.395,25.395,25.395,25.395,100,0
TGLB.US,5,20250902,173500,25.3,25.32,25.3,25.32,600,0
TGLB.US,5,20250903,215500,25.5195,25.5195,25.5195,25.5195,100,0
TGLB.US,5,20250904,173500,25.66,25.66,25.66,25.66,100,0
TGLB.US,5,20250904,201500,25.7299,25.7299,25.7299,25.7299,950,0
TGLB.US,5,20250904,204500,25.7,25.7,25.7,25.7,1000,0
TGLB.US,5,20250905,195500,25.695,25.695,25.695,25.695,500,0
TGLB.US,5,20250908,210000,25.95,25.95,25.95,25.95,100,0
TGLB.US,5,20250909,153500,25.94,25.94,25.94,25.94,1083,0
TGLB.US,5,20250909,162500,25.94,25.94,25.94,25.94,7700,0
TGLB.US,5,20250909,171500,25.89,25.89,25.89,25.89,785,0
TGLB.US,5,20250909,172500,25.9195,25.9195,25.9065,25.9065,1022,0
TGLB.US,5,20250909,173500,25.89,25.89,25.89,25.89,2517,0
TGLB.US,5,20250909,174000,25.9,25.9,25.895,25.895,200,0
TGLB.US,5,20250909,201000,25.95,25.95,25.95,25.95,1068,0
TGLB.US,5,20250909,201500,25.95,25.95,25.95,25.95,815,0
TGLB.US,5,20250909,203500,25.95,25.95,25.95,25.95,276,0
TGLB.US,5,20250909,204000,25.95,25.96,25.95,25.96,770,0
TGLB.US,5,20250909,204500,25.97,25.97,25.97,25.97,172,0
TGLB.US,5,20250909,212500,25.96,25.96,25.96,25.96,509,0
TGLB.US,5,20250909,213000,25.96,25.96,25.96,25.96,100,0
TGLB.US,5,20250909,214000,25.97,25.97,25.97,25.97,100,0
TGLB.US,5,20250909,214500,25.96,25.96,25.96,25.96,106,0
TGLB.US,5,20250909,215000,25.96,25.96,25.94,25.94,1566,0
TGLB.US,5,20250910,153000,25.99,25.99,25.99,25.99,4196,0
TGLB.US,5,20250910,153500,26,26,26,26,1872,0
TGLB.US,5,20250910,154000,26.05,26.05,26.05,26.05,195,0
TGLB.US,5,20250910,165000,26.05,26.05,26.05,26.05,2080,0
TGLB.US,5,20250910,174000,26.05,26.05,26.05,26.05,100,0
TGLB.US,5,20250910,213000,25.92,25.92,25.92,25.92,238,0
TGLB.US,5,20250912,154000,26.09,26.09,26.09,26.09,107,0
TGLB.US,5,20250912,195500,26.055,26.055,26.055,26.055,100,0
TGLB.US,5,20250912,203500,26.08,26.08,26.08,26.08,100,0
TGLB.US,5,20250912,204000,26.08,26.08,26.08,26.08,100,0
TGLB.US,5,20250912,205000,26.09,26.09,26.09,26.09,100,0
TGLB.US,5,20250912,205500,26.08,26.08,26.08,26.08,100,0
TGLB.US,5,20250915,181500,26.1,26.14,26.1,26.14,2313,0
TGLB.US,5,20250916,154000,26.12,26.12,26.12,26.12,153,0
TGLB.US,5,20250916,195500,26.1299,26.1299,26.1299,26.1299,200,0
TGLB.US,5,20250917,170500,26.09,26.09,26.09,26.09,176,0
TGLB.US,5,20250918,204000,26.395,26.395,26.395,26.395,100,0
TGLB.US,5,20250918,205500,26.42,26.42,26.42,26.42,100,0
TGLB.US,5,20250919,155500,26.315,26.315,26.315,26.315,400,0
TGLB.US,5,20250919,173000,26.29,26.29,26.29,26.29,100,0
TGLB.US,5,20250919,212500,26.355,26.355,26.355,26.355,100,0
TGLB.US,5,20250919,213500,26.36,26.36,26.36,26.36,200,0
TGLB.US,5,20250922,202500,26.39,26.39,26.39,26.39,500,0
TGLB.US,5,20250924,181000,26.15,26.15,26.15,26.15,190,0
TGLB.US,5,20250925,194000,25.985,26,25.985,26,1500,0
TGLB.US,5,20250929,174500,26.2213,26.2213,26.2213,26.2213,3823,0
TGLB.US,5,20250929,175500,26.2106,26.2295,26.2106,26.2106,3665,0
TGLB.US,5,20250929,190000,26.2,26.2,26.2,26.2,200,0
TGLB.US,5,20250930,160500,26.19,26.19,26.19,26.19,100,0
TGLB.US,5,20250930,163500,26.17,26.17,26.17,26.17,200,0
TGLB.US,5,20251001,182500,26.3289,26.3289,26.3289,26.3289,227,0
TGLB.US,5,20251001,215500,26.34,26.34,26.34,26.34,400,0
TGLB.US,5,20251002,212500,26.45,26.45,26.45,26.45,1998,0
TGLB.US,5,20251003,173000,26.55,26.55,26.55,26.55,100,0
TGLB.US,5,20251003,194000,26.5359,26.5359,26.5359,26.5359,1000,0
TGLB.US,5,20251003,200500,26.44,26.44,26.44,26.44,100,0
TGLB.US,5,20251003,215000,26.49,26.49,26.49,26.49,2000,0
TGLB.US,5,20251006,170000,26.48,26.48,26.48,26.48,600,0
TGLB.US,5,20251006,180500,26.48,26.48,26.48,26.48,600,0
TGLB.US,5,20251006,183000,26.5,26.5,26.5,26.5,100,0
TGLB.US,5,20251006,205500,26.54,26.54,26.54,26.54,100,0
TGLB.US,5,20251007,162500,26.46,26.46,26.46,26.46,5500,0
TGLB.US,5,20251007,165500,26.41,26.435,26.41,26.435,200,0
TGLB.US,5,20251007,193000,26.335,26.3599,26.335,26.335,2000,0
TGLB.US,5,20251007,202500,26.3584,26.3584,26.3584,26.3584,758,0
TGLB.US,5,20251009,153000,26.51,26.51,26.51,26.51,500,0
TGLB.US,5,20251009,154000,26.5,26.62,26.5,26.62,2764,0
TGLB.US,5,20251009,154500,26.43,26.43,26.43,26.43,100,0
TGLB.US,5,20251010,203000,25.86,25.895,25.86,25.895,300,0
TGLB.US,5,20251010,204000,25.88,25.88,25.87,25.87,300,0
TGLB.US,5,20251010,204500,25.865,25.865,25.865,25.865,150,0
TGLB.US,5,20251010,205000,25.845,25.845,25.84,25.84,300,0
TGLB.US,5,20251010,205500,25.825,25.825,25.8,25.8,400,0
TGLB.US,5,20251014,153000,25.66,25.66,25.66,25.66,238,0
TGLB.US,5,20251014,155000,25.61,25.61,25.61,25.61,119,0
TGLB.US,5,20251014,201500,26.029,26.029,26.029,26.029,100,0
TGLB.US,5,20251016,154000,26.1272,26.1272,26.1272,26.1272,575,0
TGLB.US,5,20251016,165500,26.15,26.15,26.15,26.15,100,0
TGLB.US,5,20251017,205500,25.89,25.89,25.89,25.89,100,0
TGLB.US,5,20251020,165000,26.09,26.09,26.09,26.09,100,0
TGLB.US,5,20251020,185500,26.1,26.1,26.1,26.1,100,0
TGLB.US,5,20251020,202500,26.12,26.12,26.12,26.12,350,0
TGLB.US,5,20251020,213500,26.1,26.1,26.1,26.1,100,0
TGLB.US,5,20251023,203500,26.1,26.1,26.1,26.1,100,0
TGLB.US,5,20251027,153000,26.4,26.4001,26.4,26.4001,244,0
TGLB.US,5,20251031,193500,26.21,26.2101,26.21,26.2101,200,0
TGLB.US,5,20251103,182500,26.19,26.19,26.19,26.19,4000,0
TGLB.US,5,20251103,204000,26.16,26.16,26.16,26.16,474,0
TGLB.US,5,20251103,204500,26.16,26.16,26.16,26.16,326,0
TGLB.US,5,20251103,214000,26.15,26.15,26.15,26.15,400,0
TGLB.US,5,20251107,153500,25.5,25.5,25.5,25.5,100,0
TGLB.US,5,20251107,182500,25.4481,25.4481,25.4481,25.4481,100,0
TGLB.US,5,20251111,160000,26.11,26.11,26.11,26.11,700,0
TGLB.US,5,20251113,164500,26,26,26,26,100,0
TGLB.US,5,20251120,181000,24.965,24.99,24.965,24.99,300,0
TGLB.US,5,20251203,153000,26.04,26.04,26.04,26.04,1509,0
TGLB.US,5,20251203,180000,26.09,26.09,26.09,26.09,100,0
TGLB.US,5,20251203,181500,26.1,26.1,26.1,26.1,300,0
TGLB.US,5,20251203,184500,26.1,26.1,26.1,26.1,300,0
TGLB.US,5,20251203,185500,26.1,26.1,26.1,26.1,300,0
TGLB.US,5,20251204,153500,26.26,26.26,26.22,26.22,1000,0
TGLB.US,5,20251204,171000,26.28,26.28,26.28,26.28,3813,0
TGLB.US,5,20251204,214000,26.237,26.237,26.237,26.237,135,0
TGLB.US,5,20251205,164000,26.44,26.44,26.44,26.44,100,0
TGLB.US,5,20251208,205500,26.34,26.34,26.34,26.34,100,0
TGLB.US,5,20251210,153500,26.22,26.22,26.22,26.22,200,0
TGLB.US,5,20251210,195500,26.24,26.24,26.24,26.24,100,0
TGLB.US,5,20251212,215500,26.17,26.17,26.17,26.17,100,0
TGLB.US,5,20251215,215500,26.12,26.12,26.12,26.12,100,0
TGLB.US,5,20251216,154000,26.01,26.01,26.01,26.01,100,0
TGLB.US,5,20251223,204500,26.425,26.425,26.425,26.425,750,0
TGLB.US,5,20251223,215000,26.445,26.445,26.445,26.445,100,0
TGLB.US,5,20251226,174000,26.4421,26.4421,26.4421,26.4421,165,0
TGLB.US,5,20251226,180500,26.44,26.44,26.44,26.44,263,0
TGLB.US,5,20251226,182500,26.41,26.41,26.4,26.4,1083,0
TGLB.US,5,20251226,184500,26.42,26.42,26.4,26.4,539,0
TGLB.US,5,20251226,192500,26.4,26.4225,26.37,26.4225,1454,0
TGLB.US,5,20251226,201500,26.42,26.435,26.3,26.38,5100,0
TGLB.US,5,20251226,214000,26.38,26.38,26.38,26.38,276,0
TGLB.US,5,20251229,180000,26.28,26.2801,26.28,26.2801,392,0
TGLB.US,5,20251229,181000,26.26,26.2804,26.26,26.2804,537,0
TGLB.US,5,20251229,183500,26.28,26.28,26.28,26.28,100,0
TGLB.US,5,20251230,172500,26.4101,26.4101,26.36,26.4101,3038,0
TGLB.US,5,20251230,174500,26.38,26.38,26.38,26.38,378,0
TGLB.US,5,20251230,194500,26.36,26.385,26.35,26.35,1700,0
TGLB.US,5,20251230,204500,26.34,26.34,26.34,26.34,293,0
TGLB.US,5,20251230,215500,26.26,26.2804,26.24,26.24,3680,0
TGLB.US,5,20251231,155500,26.245,26.27,26.245,26.27,400,0
TGLB.US,5,20260105,165000,26.55,26.5501,26.55,26.5501,950,0
TGLB.US,5,20260105,170500,26.57,26.57,26.57,26.57,376,0
TGLB.US,5,20260106,174500,26.545,26.55,26.545,26.55,700,0
TGLB.US,5,20260106,180000,26.57,26.57,26.57,26.57,100,0
TGLB.US,5,20260107,161500,26.55,26.55,26.55,26.55,500,0
TGLB.US,5,20260108,174000,26.4801,26.4801,26.4801,26.4801,200,0
TGLB.US,5,20260108,214000,26.59,26.59,26.59,26.59,1000,0
TGLB.US,5,20260114,153500,26.5896,26.5896,26.5896,26.5896,500,0
TGLB.US,5,20260116,153000,26.63,26.63,26.63,26.63,300,0
TGLB.US,5,20260116,165000,26.555,26.56,26.55,26.56,1695,0
TGLB.US,5,20260120,164500,26.33,26.76,26.33,26.76,24603,0
TGLB.US,5,20260120,165500,26.3,26.3,26.3,26.3,500,0
TGLB.US,5,20260120,171500,26.3,26.3,26.3,26.3,500,0
TGLB.US,5,20260120,200500,26.69,26.69,26.69,26.69,100,0
TGLB.US,5,20260120,213000,26.11,26.1121,26.11,26.1121,1049,0
TGLB.US,5,20260121,153500,26.25,26.25,26.25,26.25,1000,0
