<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIMB.US,5,20250829,153000,21.38,21.38,21.35,21.35,1851,0
TIMB.US,5,20250829,153500,21.37,21.4,21.37,21.39,3590,0
TIMB.US,5,20250829,154000,21.38,21.38,21.33,21.35,3667,0
TIMB.US,5,20250829,154500,21.35,21.36,21.35,21.36,490,0
TIMB.US,5,20250829,155000,21.37,21.37,21.34,21.34,5256,0
TIMB.US,5,20250829,155500,21.33,21.34,21.33,21.33,400,0
TIMB.US,5,20250829,160000,21.3226,21.365,21.3226,21.34,5369,0
TIMB.US,5,20250829,160500,21.34,21.34,21.3,21.3,1769,0
TIMB.US,5,20250829,161000,21.3,21.35,21.3,21.35,1051,0
TIMB.US,5,20250829,161500,21.34,21.35,21.34,21.34,1161,0
TIMB.US,5,20250829,162000,21.35,21.405,21.35,21.405,570,0
TIMB.US,5,20250829,162500,21.38,21.38,21.28,21.28,2630,0
TIMB.US,5,20250829,163000,21.28,21.31,21.28,21.29,2520,0
TIMB.US,5,20250829,163500,21.3,21.3,21.28,21.28,1533,0
TIMB.US,5,20250829,164000,21.28,21.28,21.21,21.22,10198,0
TIMB.US,5,20250829,164500,21.22,21.23,21.22,21.23,934,0
TIMB.US,5,20250829,165000,21.23,21.24,21.22,21.22,1350,0
TIMB.US,5,20250829,165500,21.23,21.23,21.22,21.23,2100,0
TIMB.US,5,20250829,170000,21.22,21.22,21.21,21.22,600,0
TIMB.US,5,20250829,170500,21.21,21.28,21.19,21.27,3587,0
TIMB.US,5,20250829,171000,21.26,21.26,21.24,21.24,2122,0
TIMB.US,5,20250829,171500,21.255,21.255,21.24,21.25,958,0
TIMB.US,5,20250829,172000,21.26,21.29,21.26,21.28,1510,0
TIMB.US,5,20250829,172500,21.26,21.27,21.23,21.23,1152,0
TIMB.US,5,20250829,173000,21.22,21.22,21.22,21.22,700,0
TIMB.US,5,20250829,173500,21.2,21.205,21.2,21.2,1011,0
TIMB.US,5,20250829,174000,21.19,21.19,21.15,21.165,2492,0
TIMB.US,5,20250829,174500,21.17,21.175,21.17,21.17,1424,0
TIMB.US,5,20250829,175000,21.16,21.16,21.15,21.15,500,0
TIMB.US,5,20250829,175500,21.135,21.135,21.13,21.13,210,0
TIMB.US,5,20250829,180000,21.13,21.13,21.11,21.11,950,0
TIMB.US,5,20250829,180500,21.11,21.135,21.11,21.135,2600,0
TIMB.US,5,20250829,181000,21.12,21.12,21.12,21.12,320,0
TIMB.US,5,20250829,181500,21.12,21.13,21.12,21.125,2927,0
TIMB.US,5,20250829,182000,21.12,21.12,21.115,21.12,930,0
TIMB.US,5,20250829,182500,21.12,21.13,21.11,21.11,1700,0
TIMB.US,5,20250829,183000,21.12,21.12,21.1192,21.1192,677,0
TIMB.US,5,20250829,183500,21.12,21.12,21.12,21.12,360,0
TIMB.US,5,20250829,184000,21.11,21.11,21.1,21.1,650,0
TIMB.US,5,20250829,184500,21.1157,21.12,21.08,21.08,1128,0
TIMB.US,5,20250829,185000,21.08,21.08,21.08,21.08,100,0
TIMB.US,5,20250829,185500,21.09,21.09,21.09,21.09,100,0
TIMB.US,5,20250829,190000,21.07,21.08,21.07,21.07,1600,0
TIMB.US,5,20250829,190500,21.06,21.06,21.06,21.06,754,0
TIMB.US,5,20250829,191000,21.055,21.055,21.04,21.04,3797,0
TIMB.US,5,20250829,191500,21.04,21.04,21.03,21.035,1527,0
TIMB.US,5,20250829,192000,21.04,21.05,21.035,21.035,1710,0
TIMB.US,5,20250829,192500,21.04,21.05,21.035,21.05,710,0
TIMB.US,5,20250829,193000,21.04,21.05,21.02,21.02,2840,0
TIMB.US,5,20250829,193500,21.03,21.04,21.0295,21.0295,2035,0
TIMB.US,5,20250829,194000,21.02,21.025,21.01,21.01,1250,0
TIMB.US,5,20250829,194500,21.01,21.01,21,21,1240,0
TIMB.US,5,20250829,195000,20.9965,21.01,20.995,21.01,1030,0
TIMB.US,5,20250829,195500,21.01,21.025,21.01,21.01,1868,0
TIMB.US,5,20250829,200000,21.0185,21.02,21.01,21.01,2035,0
TIMB.US,5,20250829,200500,21.02,21.02,20.99,20.99,1456,0
TIMB.US,5,20250829,201000,20.99,21,20.99,21,1230,0
TIMB.US,5,20250829,201500,21,21,21,21,1430,0
TIMB.US,5,20250829,202000,21,21.01,21,21.0001,400,0
TIMB.US,5,20250829,202500,21,21,21,21,100,0
TIMB.US,5,20250829,203000,21,21.01,20.98,20.99,3100,0
TIMB.US,5,20250829,203500,20.98,21.025,20.98,21.025,2650,0
TIMB.US,5,20250829,204000,21.04,21.06,21.03,21.06,2100,0
TIMB.US,5,20250829,204500,21.05,21.05,21.03,21.03,2116,0
TIMB.US,5,20250829,205000,21.04,21.07,21.04,21.06,4369,0
TIMB.US,5,20250829,205500,21.06,21.064,21.06,21.06,2048,0
TIMB.US,5,20250829,210000,21.05,21.055,21.02,21.025,3220,0
TIMB.US,5,20250829,210500,21.04,21.04,21.01,21.01,1520,0
TIMB.US,5,20250829,211000,21.03,21.04,21.03,21.04,6208,0
TIMB.US,5,20250829,211500,21.035,21.05,21.035,21.05,3422,0
TIMB.US,5,20250829,212000,21.06,21.07,21.06,21.07,1881,0
TIMB.US,5,20250829,212500,21.07,21.08,21.06,21.07,3484,0
TIMB.US,5,20250829,213000,21.065,21.08,21.06,21.07,5495,0
TIMB.US,5,20250829,213500,21.055,21.07,21.055,21.06,1591,0
TIMB.US,5,20250829,214000,21.07,21.07,21.04,21.04,5480,0
TIMB.US,5,20250829,214500,21.043,21.05,21.03,21.05,3100,0
TIMB.US,5,20250829,215000,21.03,21.0767,21.03,21.065,2944,0
TIMB.US,5,20250829,215500,21.08,21.15,21.06,21.15,65041,0
TIMB.US,5,20250902,153000,20.725,20.81,20.71,20.81,4830,0
TIMB.US,5,20250902,153500,20.81,20.9,20.81,20.87,15145,0
TIMB.US,5,20250902,154000,20.87,20.88,20.78,20.81,10751,0
TIMB.US,5,20250902,154500,20.8,20.845,20.795,20.845,3486,0
TIMB.US,5,20250902,155000,20.85,20.955,20.85,20.955,515319,0
TIMB.US,5,20250902,155500,20.97,20.99,20.885,20.885,13514,0
TIMB.US,5,20250902,160000,20.955,21.02,20.955,21.01,5569,0
TIMB.US,5,20250902,160500,21.005,21.02,20.99,21.015,4821,0
TIMB.US,5,20250902,161000,21.01,21.03,20.99,21.01,8385,0
TIMB.US,5,20250902,161500,21.015,21.045,21,21.01,13563,0
TIMB.US,5,20250902,162000,21.01,21.045,20.99,21.03,12969,0
TIMB.US,5,20250902,162500,21.03,21.04,21.01,21.01,14149,0
TIMB.US,5,20250902,163000,21.01,21.03,20.99,21.02,16004,0
TIMB.US,5,20250902,163500,21.03,21.05,20.93,20.94,6610,0
TIMB.US,5,20250902,164000,20.96,20.96,20.93,20.96,6081,0
TIMB.US,5,20250902,164500,20.97,21,20.97,21,4208,0
TIMB.US,5,20250902,165000,20.99,20.99,20.96,20.97,2560,0
TIMB.US,5,20250902,165500,20.97,20.98,20.97,20.98,1300,0
TIMB.US,5,20250902,170000,20.98,21.01,20.98,20.99,3773,0
TIMB.US,5,20250902,170500,20.97,20.97,20.94,20.94,2066,0
TIMB.US,5,20250902,171000,20.935,20.95,20.93,20.94,3643,0
TIMB.US,5,20250902,171500,20.95,20.98,20.92,20.98,3200,0
TIMB.US,5,20250902,172000,20.98,20.98,20.95,20.96,5665,0
TIMB.US,5,20250902,172500,20.97,20.985,20.96,20.96,2557,0
TIMB.US,5,20250902,173000,20.97,20.97,20.92,20.92,3403,0
TIMB.US,5,20250902,173500,20.9,20.9,20.89,20.895,565,0
TIMB.US,5,20250902,174000,20.87,20.88,20.865,20.88,1190,0
TIMB.US,5,20250902,174500,20.88,20.9,20.88,20.8925,1291,0
TIMB.US,5,20250902,175000,20.89,20.89,20.86,20.86,1800,0
TIMB.US,5,20250902,175500,20.865,20.88,20.865,20.88,1110,0
TIMB.US,5,20250902,180000,20.88,20.88,20.86,20.87,1095,0
TIMB.US,5,20250902,180500,20.86,20.87,20.86,20.87,715,0
TIMB.US,5,20250902,181000,20.88,20.89,20.86,20.89,2060,0
TIMB.US,5,20250902,181500,20.9,20.9,20.85,20.85,3421,0
TIMB.US,5,20250902,182000,20.845,20.845,20.82,20.82,1400,0
TIMB.US,5,20250902,182500,20.81,20.81,20.8,20.805,1340,0
TIMB.US,5,20250902,183000,20.81,20.81,20.805,20.81,1316,0
TIMB.US,5,20250902,183500,20.82,20.83,20.82,20.82,1100,0
TIMB.US,5,20250902,184000,20.81,20.82,20.81,20.82,1460,0
TIMB.US,5,20250902,184500,20.82,20.83,20.8,20.8,1965,0
TIMB.US,5,20250902,185000,20.81,20.81,20.78,20.78,1695,0
TIMB.US,5,20250902,185500,20.78,20.78,20.77,20.775,2314,0
TIMB.US,5,20250902,190000,20.775,20.78,20.75,20.75,3301,0
TIMB.US,5,20250902,190500,20.75,20.75,20.74,20.74,2000,0
TIMB.US,5,20250902,191000,20.745,20.745,20.73,20.74,1200,0
TIMB.US,5,20250902,191500,20.74,20.76,20.74,20.76,3439,0
TIMB.US,5,20250902,192000,20.76,20.76,20.74,20.745,4358,0
TIMB.US,5,20250902,192500,20.74,20.74,20.715,20.72,6829,0
TIMB.US,5,20250902,193000,20.72,20.77,20.72,20.77,1907,0
TIMB.US,5,20250902,193500,20.8,20.85,20.8,20.85,500,0
TIMB.US,5,20250902,194000,20.845,20.8553,20.845,20.8553,270,0
TIMB.US,5,20250902,194500,20.84,20.85,20.83,20.84,3379,0
TIMB.US,5,20250902,195000,20.85,20.85,20.85,20.85,600,0
TIMB.US,5,20250902,195500,20.845,20.845,20.83,20.83,625,0
TIMB.US,5,20250902,200000,20.82,20.83,20.82,20.82,2159,0
TIMB.US,5,20250902,200500,20.815,20.815,20.775,20.775,2262,0
TIMB.US,5,20250902,201000,20.77,20.78,20.77,20.78,800,0
TIMB.US,5,20250902,201500,20.79,20.79,20.78,20.78,1518,0
TIMB.US,5,20250902,202000,20.78,20.78,20.76,20.76,2550,0
TIMB.US,5,20250902,202500,20.76,20.78,20.75,20.78,1564,0
TIMB.US,5,20250902,203000,20.78,20.78,20.76,20.76,1278,0
TIMB.US,5,20250902,203500,20.75,20.76,20.75,20.755,1626,0
