<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TV.US,5,20250829,153000,2.8,2.8,2.7507,2.755,22643,0
TV.US,5,20250829,153500,2.755,2.755,2.73,2.74,11353,0
TV.US,5,20250829,154000,2.74,2.74,2.735,2.735,2583,0
TV.US,5,20250829,154500,2.735,2.75,2.735,2.745,11175,0
TV.US,5,20250829,155000,2.74,2.745,2.738,2.745,5040,0
TV.US,5,20250829,155500,2.745,2.765,2.745,2.76,17705,0
TV.US,5,20250829,160000,2.765,2.769,2.74,2.745,38643,0
TV.US,5,20250829,160500,2.745,2.75,2.73,2.7464,16012,0
TV.US,5,20250829,161000,2.75,2.765,2.75,2.765,9004,0
TV.US,5,20250829,161500,2.765,2.7651,2.7646,2.765,2750,0
TV.US,5,20250829,162000,2.76,2.77,2.76,2.77,9722,0
TV.US,5,20250829,162500,2.7647,2.77,2.76,2.765,37282,0
TV.US,5,20250829,163000,2.77,2.77,2.76,2.765,12093,0
TV.US,5,20250829,163500,2.765,2.77,2.765,2.765,3507,0
TV.US,5,20250829,164000,2.77,2.7799,2.765,2.765,30318,0
TV.US,5,20250829,164500,2.765,2.77,2.765,2.765,6627,0
TV.US,5,20250829,165000,2.765,2.775,2.765,2.775,11341,0
TV.US,5,20250829,165500,2.7747,2.775,2.7745,2.775,4518,0
TV.US,5,20250829,170000,2.7751,2.7751,2.76,2.76,17577,0
TV.US,5,20250829,170500,2.765,2.77,2.755,2.765,29687,0
TV.US,5,20250829,171000,2.765,2.775,2.765,2.7707,24759,0
TV.US,5,20250829,171500,2.77,2.77,2.755,2.755,9923,0
TV.US,5,20250829,172000,2.76,2.76,2.75,2.75,1720,0
TV.US,5,20250829,172500,2.755,2.755,2.755,2.755,200,0
TV.US,5,20250829,173000,2.755,2.765,2.7511,2.755,24213,0
TV.US,5,20250829,173500,2.755,2.755,2.7519,2.7548,900,0
TV.US,5,20250829,174000,2.755,2.76,2.755,2.76,2298,0
TV.US,5,20250829,174500,2.7599,2.765,2.7599,2.765,18755,0
TV.US,5,20250829,175000,2.765,2.7651,2.765,2.765,2100,0
TV.US,5,20250829,175500,2.765,2.765,2.7511,2.755,11449,0
TV.US,5,20250829,180000,2.76,2.76,2.755,2.755,8001,0
TV.US,5,20250829,180500,2.755,2.755,2.755,2.755,1138,0
TV.US,5,20250829,181000,2.755,2.755,2.75,2.755,12460,0
TV.US,5,20250829,181500,2.755,2.755,2.755,2.755,1175,0
TV.US,5,20250829,182000,2.75,2.755,2.75,2.755,2184,0
TV.US,5,20250829,182500,2.755,2.76,2.75,2.76,3213,0
TV.US,5,20250829,183000,2.76,2.77,2.76,2.7635,8764,0
TV.US,5,20250829,183500,2.77,2.77,2.765,2.77,1116,0
TV.US,5,20250829,184000,2.765,2.77,2.765,2.77,300,0
TV.US,5,20250829,184500,2.7699,2.775,2.755,2.755,38646,0
TV.US,5,20250829,185000,2.759,2.77,2.759,2.77,16401,0
TV.US,5,20250829,185500,2.765,2.765,2.765,2.765,100,0
TV.US,5,20250829,190000,2.76,2.76,2.755,2.755,3775,0
TV.US,5,20250829,190500,2.755,2.76,2.755,2.755,1869,0
TV.US,5,20250829,191000,2.755,2.755,2.755,2.755,300,0
TV.US,5,20250829,191500,2.7599,2.7599,2.755,2.755,1769,0
TV.US,5,20250829,192000,2.7528,2.76,2.7528,2.755,794,0
TV.US,5,20250829,192500,2.755,2.755,2.75,2.755,999,0
TV.US,5,20250829,193000,2.755,2.76,2.755,2.755,1766,0
TV.US,5,20250829,193500,2.755,2.755,2.755,2.755,400,0
TV.US,5,20250829,194000,2.755,2.755,2.755,2.755,900,0
TV.US,5,20250829,194500,2.76,2.76,2.7535,2.7535,948,0
TV.US,5,20250829,195000,2.7589,2.7589,2.7554,2.7554,1167,0
TV.US,5,20250829,195500,2.755,2.755,2.75,2.755,3693,0
TV.US,5,20250829,200000,2.755,2.755,2.75,2.755,2180,0
TV.US,5,20250829,200500,2.755,2.755,2.755,2.755,900,0
