<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TY.US,5,20250829,160000,33.57,33.5701,33.54,33.54,1168,0
TY.US,5,20250829,160500,33.3,33.3,33.3,33.3,708,0
TY.US,5,20250829,162000,33.56,33.56,33.43,33.43,342,0
TY.US,5,20250829,162500,33.5,33.53,33.5,33.53,800,0
TY.US,5,20250829,163000,33.57,33.575,33.57,33.57,1841,0
TY.US,5,20250829,164000,33.57,33.57,33.57,33.57,175,0
TY.US,5,20250829,170000,33.49,33.49,33.49,33.49,300,0
TY.US,5,20250829,172000,33.6,33.71,33.57,33.57,1079,0
TY.US,5,20250829,173500,33.57,33.57,33.57,33.57,221,0
TY.US,5,20250829,175000,33.58,33.58,33.57,33.57,451,0
TY.US,5,20250829,180500,33.64,33.64,33.64,33.64,100,0
TY.US,5,20250829,181000,33.59,33.5901,33.59,33.59,1400,0
TY.US,5,20250829,182000,33.6105,33.6105,33.6105,33.6105,461,0
TY.US,5,20250829,183000,33.58,33.5801,33.53,33.53,2986,0
TY.US,5,20250829,185500,33.62,33.62,33.62,33.62,305,0
TY.US,5,20250829,190000,33.57,33.57,33.57,33.57,200,0
TY.US,5,20250829,190500,33.64,33.655,33.57,33.57,600,0
TY.US,5,20250829,191000,33.57,33.57,33.57,33.57,168,0
TY.US,5,20250829,191500,33.56,33.56,33.53,33.53,506,0
TY.US,5,20250829,192500,33.51,33.51,33.51,33.51,100,0
TY.US,5,20250829,193000,33.51,33.51,33.51,33.51,100,0
TY.US,5,20250829,195000,33.545,33.58,33.545,33.57,1208,0
TY.US,5,20250829,200500,33.57,33.57,33.57,33.57,100,0
TY.US,5,20250829,201000,33.57,33.57,33.57,33.57,100,0
TY.US,5,20250829,202000,33.57,33.57,33.57,33.57,164,0
TY.US,5,20250829,203000,33.57,33.57,33.57,33.57,203,0
TY.US,5,20250829,205000,33.57,33.57,33.57,33.57,175,0
TY.US,5,20250829,205500,33.54,33.54,33.54,33.54,200,0
TY.US,5,20250829,210500,33.589,33.589,33.54,33.54,300,0
TY.US,5,20250829,212000,33.58,33.58,33.57,33.57,500,0
TY.US,5,20250829,212500,33.5,33.56,33.475,33.56,2614,0
TY.US,5,20250829,213500,33.5269,33.55,33.5269,33.55,546,0
TY.US,5,20250829,214000,33.56,33.57,33.56,33.56,400,0
TY.US,5,20250829,214500,33.5469,33.57,33.53,33.57,1640,0
TY.US,5,20250829,215000,33.53,33.53,33.5,33.53,1200,0
TY.US,5,20250829,215500,33.525,33.555,33.525,33.54,1167,0
TY.US,5,20250902,153000,33.285,33.285,33.2,33.2,297,0
TY.US,5,20250902,153500,33.3294,33.3294,33.31,33.31,500,0
TY.US,5,20250902,160500,33.38,33.41,33.38,33.41,1229,0
TY.US,5,20250902,162500,33.36,33.36,33.36,33.36,100,0
TY.US,5,20250902,163000,33.43,33.43,33.43,33.43,300,0
TY.US,5,20250902,163500,33.42,33.42,33.42,33.42,100,0
TY.US,5,20250902,164000,33.36,33.36,33.3,33.3182,2140,0
TY.US,5,20250902,165000,33.31,33.31,33.3,33.31,582,0
TY.US,5,20250902,170000,33.34,33.35,33.34,33.35,200,0
TY.US,5,20250902,170500,33.28,33.32,33.28,33.32,1800,0
TY.US,5,20250902,171500,33.28,33.28,33.28,33.28,194,0
TY.US,5,20250902,172000,33.28,33.28,33.28,33.28,174,0
TY.US,5,20250902,172500,33.265,33.265,33.265,33.265,100,0
TY.US,5,20250902,173000,33.2601,33.2718,33.26,33.26,1888,0
TY.US,5,20250902,173500,33.175,33.27,33.175,33.175,400,0
TY.US,5,20250902,174000,33.175,33.175,33.175,33.175,100,0
TY.US,5,20250902,175500,33.26,33.27,33.26,33.27,586,0
TY.US,5,20250902,180500,33.25,33.26,33.25,33.26,1218,0
TY.US,5,20250902,181500,33.27,33.27,33.27,33.27,100,0
TY.US,5,20250902,183500,33.29,33.29,33.25,33.25,1725,0
TY.US,5,20250902,184000,33.3018,33.3018,33.3018,33.3018,180,0
TY.US,5,20250902,185000,33.3,33.3,33.3,33.3,102,0
TY.US,5,20250902,185500,33.285,33.285,33.285,33.285,100,0
TY.US,5,20250902,190000,33.31,33.31,33.3,33.31,1387,0
TY.US,5,20250902,190500,33.31,33.31,33.29,33.29,300,0
