<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UHAL.US,5,20250829,153000,56.54,56.54,56.54,56.54,100,0
UHAL.US,5,20250829,154000,56.99,57,56.96,56.96,300,0
UHAL.US,5,20250829,155000,56.77,56.77,56.66,56.66,200,0
UHAL.US,5,20250829,155500,56.64,56.64,56.63,56.63,300,0
UHAL.US,5,20250829,160000,56.63,56.63,56.53,56.53,423,0
UHAL.US,5,20250829,161500,56.33,56.33,56.33,56.33,100,0
UHAL.US,5,20250829,162000,56.25,56.42,56.25,56.42,435,0
UHAL.US,5,20250829,162500,56.455,56.455,56.455,56.455,100,0
UHAL.US,5,20250829,164500,56.56,56.59,56.56,56.59,582,0
UHAL.US,5,20250829,165000,56.547,56.57,56.5,56.57,799,0
UHAL.US,5,20250829,165500,56.58,56.665,56.58,56.665,778,0
UHAL.US,5,20250829,170000,56.62,56.62,56.61,56.62,612,0
UHAL.US,5,20250829,170500,56.62,56.62,56.61,56.62,806,0
UHAL.US,5,20250829,171000,56.61,56.61,56.6,56.6,300,0
UHAL.US,5,20250829,172000,56.57,56.57,56.55,56.556,300,0
UHAL.US,5,20250829,172500,56.62,56.62,56.62,56.62,100,0
UHAL.US,5,20250829,173000,56.62,56.675,56.61,56.675,3560,0
UHAL.US,5,20250829,173500,56.73,56.78,56.69,56.78,740,0
UHAL.US,5,20250829,174500,56.715,56.74,56.65,56.65,1480,0
UHAL.US,5,20250829,175000,56.66,56.66,56.66,56.66,100,0
UHAL.US,5,20250829,175500,56.695,56.695,56.695,56.695,100,0
UHAL.US,5,20250829,180000,56.75,56.77,56.75,56.77,200,0
UHAL.US,5,20250829,180500,56.755,56.755,56.755,56.755,131,0
UHAL.US,5,20250829,181000,56.69,56.72,56.69,56.72,400,0
UHAL.US,5,20250829,181500,56.68,56.68,56.63,56.63,600,0
UHAL.US,5,20250829,183500,56.74,56.74,56.74,56.74,100,0
UHAL.US,5,20250829,184000,56.69,56.69,56.68,56.68,300,0
UHAL.US,5,20250829,184500,56.62,56.63,56.6,56.6,400,0
UHAL.US,5,20250829,185500,56.62,56.62,56.62,56.62,200,0
UHAL.US,5,20250829,190000,56.625,56.625,56.58,56.61,439,0
UHAL.US,5,20250829,190500,56.64,56.675,56.64,56.675,320,0
UHAL.US,5,20250829,191000,56.675,56.675,56.64,56.64,400,0
UHAL.US,5,20250829,191500,56.64,56.645,56.64,56.645,400,0
UHAL.US,5,20250829,192000,56.612,56.612,56.612,56.612,273,0
UHAL.US,5,20250829,193000,56.605,56.85,56.605,56.85,10800,0
UHAL.US,5,20250829,193500,57,57,56.9964,56.9964,200,0
UHAL.US,5,20250829,194000,57.035,57.035,56.9047,56.95,1159,0
UHAL.US,5,20250829,194500,56.97,57.02,56.96,57.02,400,0
UHAL.US,5,20250829,195000,57.07,57.07,57.07,57.07,120,0
UHAL.US,5,20250829,195500,57.05,57.06,56.98,56.98,700,0
UHAL.US,5,20250829,200500,56.87,56.87,56.87,56.87,300,0
UHAL.US,5,20250829,201000,56.88,56.88,56.88,56.88,100,0
UHAL.US,5,20250829,201500,56.9,56.9,56.9,56.9,100,0
UHAL.US,5,20250829,202000,56.9,57.08,56.9,57.08,4400,0
UHAL.US,5,20250829,202500,57.15,57.22,57.15,57.22,600,0
UHAL.US,5,20250829,203500,57.25,57.28,57.25,57.28,300,0
UHAL.US,5,20250829,204500,57.255,57.315,57.255,57.315,652,0
UHAL.US,5,20250829,205000,57.3,57.325,57.17,57.17,1288,0
UHAL.US,5,20250829,205500,57.19,57.19,57.13,57.14,698,0
UHAL.US,5,20250829,210000,57.14,57.145,57.135,57.135,600,0
UHAL.US,5,20250829,210500,57.18,57.215,57.18,57.18,600,0
UHAL.US,5,20250829,211000,57.175,57.175,57.14,57.14,200,0
UHAL.US,5,20250829,211500,57.1173,57.1173,57.09,57.1,325,0
UHAL.US,5,20250829,212000,57.1,57.14,57.1,57.14,500,0
UHAL.US,5,20250829,212500,57.13,57.13,57.055,57.055,820,0
UHAL.US,5,20250829,213000,57.055,57.055,57.055,57.055,250,0
UHAL.US,5,20250829,213500,57.0575,57.15,57.0575,57.11,2042,0
UHAL.US,5,20250829,214000,57.11,57.14,57.11,57.14,900,0
UHAL.US,5,20250829,214500,57.11,57.27,57.11,57.27,3580,0
UHAL.US,5,20250829,215000,57.32,57.42,57.32,57.39,3832,0
UHAL.US,5,20250829,215500,57.42,57.58,57.42,57.55,20305,0
