<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSDM.US,5,20250829,153000,76.285,76.3,76.26,76.26,415,0
VSDM.US,5,20250829,153500,76.285,76.285,76.285,76.285,347,0
VSDM.US,5,20250829,155500,76.29,76.29,76.29,76.29,132,0
VSDM.US,5,20250829,161500,76.31,76.315,76.3,76.3,600,0
VSDM.US,5,20250829,170000,76.3,76.3,76.3,76.3,1400,0
VSDM.US,5,20250829,171000,76.3,76.3,76.3,76.3,257,0
VSDM.US,5,20250829,171500,76.28,76.28,76.28,76.28,900,0
VSDM.US,5,20250829,190000,76.29,76.29,76.29,76.29,100,0
VSDM.US,5,20250829,191500,76.305,76.305,76.305,76.305,1187,0
VSDM.US,5,20250829,192000,76.3005,76.305,76.3005,76.305,701,0
VSDM.US,5,20250829,192500,76.305,76.305,76.305,76.305,131,0
VSDM.US,5,20250829,194500,76.3,76.31,76.3,76.3,28500,0
VSDM.US,5,20250829,201000,76.31,76.31,76.31,76.31,100,0
VSDM.US,5,20250829,202500,76.31,76.31,76.31,76.31,300,0
VSDM.US,5,20250829,203000,76.31,76.31,76.31,76.31,1500,0
VSDM.US,5,20250829,204500,76.31,76.31,76.31,76.31,116,0
VSDM.US,5,20250829,215500,76.31,76.31,76.3,76.31,400,0
VSDM.US,5,20250902,153000,76.09,76.09,76.05,76.05,463,0
VSDM.US,5,20250902,155000,76.05,76.05,76.05,76.05,100,0
VSDM.US,5,20250902,155500,76.07,76.07,76.07,76.07,100,0
VSDM.US,5,20250902,160000,76.04,76.04,76.04,76.04,4000,0
VSDM.US,5,20250902,160500,76.04,76.04,76.04,76.04,100,0
VSDM.US,5,20250902,161000,76.04,76.05,76.04,76.05,600,0
VSDM.US,5,20250902,161500,76.055,76.055,76.055,76.055,1500,0
VSDM.US,5,20250902,162500,76.05,76.05,76.05,76.05,700,0
VSDM.US,5,20250902,163000,76.05,76.05,76.05,76.05,100,0
VSDM.US,5,20250902,164500,76.05,76.06,76.05,76.06,1300,0
VSDM.US,5,20250902,165000,76.065,76.065,76.065,76.065,124,0
VSDM.US,5,20250902,170500,76.07,76.07,76.07,76.07,409,0
VSDM.US,5,20250902,171000,76.07,76.07,76.07,76.07,100,0
VSDM.US,5,20250902,173500,76.06,76.06,76.06,76.06,324,0
VSDM.US,5,20250902,174000,76.0743,76.0743,76.06,76.06,2813,0
VSDM.US,5,20250902,174500,76.07,76.07,76.07,76.07,184,0
VSDM.US,5,20250902,175000,76.07,76.0743,76.07,76.0743,1229,0
VSDM.US,5,20250902,175500,76.07,76.07,76.07,76.07,100,0
VSDM.US,5,20250902,180000,76.07,76.07,76.06,76.06,715,0
VSDM.US,5,20250902,180500,76.07,76.07,76.07,76.07,100,0
VSDM.US,5,20250902,183000,76.07,76.07,76.06,76.06,3600,0
VSDM.US,5,20250902,184000,76.05,76.05,76.05,76.05,100,0
VSDM.US,5,20250902,185000,76.06,76.07,76.06,76.07,1605,0
VSDM.US,5,20250902,190000,76.0699,76.0699,76.05,76.05,5000,0
VSDM.US,5,20250902,192000,76.07,76.13,76.07,76.13,2823,0
VSDM.US,5,20250902,192500,76.13,76.13,76.13,76.13,278,0
VSDM.US,5,20250902,193500,76.115,76.115,76.115,76.115,200,0
VSDM.US,5,20250902,195000,76.1184,76.1184,76.1153,76.1184,300,0
VSDM.US,5,20250902,195500,76.114,76.13,76.114,76.13,431,0
VSDM.US,5,20250902,200000,76.1314,76.1314,76.125,76.125,215,0
VSDM.US,5,20250902,201000,76.13,76.13,76.125,76.125,200,0
VSDM.US,5,20250902,201500,76.1314,76.14,76.125,76.125,483,0
VSDM.US,5,20250902,202000,76.125,76.125,76.125,76.125,171,0
VSDM.US,5,20250902,202500,76.14,76.14,76.125,76.125,200,0
VSDM.US,5,20250902,203000,76.125,76.14,76.125,76.14,398,0
VSDM.US,5,20250902,204500,76.1139,76.1139,76.1139,76.1139,200,0
