<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WT.US,5,20250829,153000,13.7,13.7,13.67,13.69,6271,0
WT.US,5,20250829,153500,13.68,13.68,13.62,13.635,7315,0
WT.US,5,20250829,154000,13.64,13.66,13.64,13.655,13196,0
WT.US,5,20250829,154500,13.655,13.655,13.625,13.63,7751,0
WT.US,5,20250829,155000,13.63,13.64,13.6,13.6,11319,0
WT.US,5,20250829,155500,13.595,13.595,13.58,13.595,11986,0
WT.US,5,20250829,160000,13.595,13.605,13.55,13.56,14945,0
WT.US,5,20250829,160500,13.555,13.5593,13.53,13.535,13451,0
WT.US,5,20250829,161000,13.54,13.545,13.525,13.53267,6261,0
WT.US,5,20250829,161500,13.535,13.535,13.51,13.51,3630,0
WT.US,5,20250829,162000,13.515,13.52,13.46,13.465,19742,0
WT.US,5,20250829,162500,13.465,13.48,13.45,13.48,9462,0
WT.US,5,20250829,163000,13.485,13.51,13.47,13.51,15244,0
WT.US,5,20250829,163500,13.51,13.5125,13.48,13.48,8390,0
WT.US,5,20250829,164000,13.48,13.495,13.47,13.47,12561,0
WT.US,5,20250829,164500,13.48,13.48,13.45,13.455,17530,0
WT.US,5,20250829,165000,13.45,13.455,13.44,13.455,10084,0
WT.US,5,20250829,165500,13.45,13.49,13.45,13.49,9870,0
WT.US,5,20250829,170000,13.495,13.52,13.49,13.49,16973,0
WT.US,5,20250829,170500,13.5,13.535,13.5,13.535,11395,0
WT.US,5,20250829,171000,13.53,13.535,13.5,13.52,7102,0
WT.US,5,20250829,171500,13.52,13.52,13.5,13.52,2280,0
WT.US,5,20250829,172000,13.529,13.529,13.5,13.515,4825,0
WT.US,5,20250829,172500,13.51,13.51,13.5,13.51,1448,0
WT.US,5,20250829,173000,13.51,13.515,13.49,13.515,10293,0
WT.US,5,20250829,173500,13.51,13.52,13.51,13.52,966,0
WT.US,5,20250829,174000,13.515,13.515,13.49,13.495,5974,0
WT.US,5,20250829,174500,13.495,13.51,13.49,13.5,4738,0
WT.US,5,20250829,175000,13.5,13.51,13.49,13.505,3617,0
WT.US,5,20250829,175500,13.5,13.515,13.5,13.5,12851,0
WT.US,5,20250829,180000,13.5,13.515,13.5,13.515,2805,0
WT.US,5,20250829,180500,13.515,13.525,13.5,13.52,5737,0
WT.US,5,20250829,181000,13.52,13.53,13.51,13.52,5261,0
