<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XMAY.US,5,20250902,171500,33.8,33.8,33.8,33.8,126,0
XMAY.US,5,20250903,195500,33.861,33.861,33.861,33.861,124,0
XMAY.US,5,20250903,210500,33.85,33.85,33.85,33.85,208,0
XMAY.US,5,20250904,194500,33.95,33.95,33.95,33.95,3970,0
XMAY.US,5,20250904,200500,33.941,33.941,33.94,33.9401,2700,0
XMAY.US,5,20250905,155000,34.04,34.04,34.04,34.04,600,0
XMAY.US,5,20250905,155500,34.04,34.04,34.03,34.0399,5524,0
XMAY.US,5,20250905,164500,33.96,33.96,33.96,33.96,122,0
XMAY.US,5,20250905,214000,33.98,33.98,33.98,33.98,292,0
XMAY.US,5,20250908,173500,34.03,34.03,34.03,34.03,5000,0
XMAY.US,5,20250909,164500,34.05,34.05,34.05,34.05,141,0
XMAY.US,5,20250909,203500,34.0001,34.0001,34.0001,34.0001,118,0
XMAY.US,5,20250910,153000,34.07,34.07,34.07,34.07,4600,0
XMAY.US,5,20250910,162000,34.085,34.085,34.085,34.085,536,0
XMAY.US,5,20250910,164000,34.07,34.07,34.07,34.07,100,0
XMAY.US,5,20250911,164500,34.09,34.09,34.09,34.09,100,0
XMAY.US,5,20250912,175000,34.12,34.12,34.12,34.12,3517,0
XMAY.US,5,20250915,153500,34.1366,34.1366,34.1366,34.1366,1663,0
XMAY.US,5,20250915,212500,34.13,34.13,34.13,34.13,300,0
XMAY.US,5,20250916,182000,34.123,34.123,34.123,34.123,100,0
XMAY.US,5,20250916,214500,34.111,34.111,34.111,34.111,293,0
XMAY.US,5,20250917,165500,34.12,34.12,34.12,34.12,2700,0
XMAY.US,5,20250917,201000,34.13,34.13,34.12,34.12,201,0
XMAY.US,5,20250918,214500,34.16,34.16,34.1599,34.1599,200,0
XMAY.US,5,20250922,182500,34.19,34.19,34.18,34.18,1600,0
XMAY.US,5,20250923,163500,34.18,34.181,34.18,34.181,2167,0
XMAY.US,5,20250923,215000,34.15,34.15,34.15,34.15,500,0
XMAY.US,5,20250924,200500,34.12,34.12,34.12,34.12,120,0
XMAY.US,5,20250924,212000,34.1101,34.1101,34.1101,34.1101,270,0
XMAY.US,5,20250925,153000,34.1,34.1,34.1,34.1,10000,0
XMAY.US,5,20250929,153000,34.26,34.26,34.26,34.26,100,0
XMAY.US,5,20250929,175000,34.2,34.2,34.2,34.2,100,0
XMAY.US,5,20250929,193500,34.19,34.19,34.19,34.19,100,0
XMAY.US,5,20250930,160000,34.06,34.06,34.06,34.06,1036,0
XMAY.US,5,20250930,200000,34.2,34.2,34.2,34.2,7000,0
XMAY.US,5,20250930,200500,34.195,34.2,34.195,34.2,2000,0
XMAY.US,5,20250930,215000,34.24,34.24,34.2399,34.2399,264,0
XMAY.US,5,20251001,153000,34.23,34.23,34.23,34.23,2000,0
XMAY.US,5,20251001,182500,34.24,34.24,34.24,34.24,500,0
XMAY.US,5,20251002,173000,34.2391,34.2391,34.2391,34.2391,100,0
XMAY.US,5,20251002,190500,34.241,34.275,34.241,34.275,800,0
XMAY.US,5,20251002,210500,34.251,34.251,34.251,34.251,100,0
XMAY.US,5,20251003,172500,34.29,34.29,34.29,34.29,1895,0
XMAY.US,5,20251003,194500,34.27,34.27,34.27,34.27,4484,0
XMAY.US,5,20251003,195000,34.25,34.25,34.25,34.25,100,0
XMAY.US,5,20251003,205500,34.2627,34.2627,34.2627,34.2627,500,0
XMAY.US,5,20251006,170000,34.27,34.271,34.27,34.27,822,0
XMAY.US,5,20251006,180500,34.285,34.285,34.285,34.285,156,0
XMAY.US,5,20251006,184000,34.285,34.285,34.285,34.285,155,0
XMAY.US,5,20251006,185000,34.285,34.285,34.285,34.285,135,0
XMAY.US,5,20251006,185500,34.2895,34.2895,34.2895,34.2895,168,0
XMAY.US,5,20251006,193000,34.29,34.29,34.29,34.29,100,0
XMAY.US,5,20251007,211000,34.2505,34.2505,34.2505,34.2505,915,0
XMAY.US,5,20251007,215000,34.24,34.24,34.24,34.24,100,0
XMAY.US,5,20251008,160000,34.28,34.28,34.25,34.25,10100,0
XMAY.US,5,20251008,160500,34.26,34.26,34.26,34.26,100,0
XMAY.US,5,20251008,163000,34.27,34.27,34.27,34.27,100,0
XMAY.US,5,20251008,174000,34.27,34.27,34.27,34.27,100,0
XMAY.US,5,20251008,181000,34.275,34.275,34.275,34.275,100,0
XMAY.US,5,20251008,181500,34.28,34.28,34.28,34.28,112,0
XMAY.US,5,20251008,190500,34.28,34.28,34.28,34.28,100,0
XMAY.US,5,20251008,204000,34.28,34.28,34.28,34.28,100,0
XMAY.US,5,20251008,215500,34.29,34.29,34.29,34.29,100,0
XMAY.US,5,20251009,161500,34.27,34.27,34.27,34.27,100,0
XMAY.US,5,20251010,153000,34.3,34.3,34.3,34.3,14874,0
XMAY.US,5,20251010,165500,34.28,34.28,34.28,34.28,100,0
XMAY.US,5,20251010,170500,34.22,34.22,34.22,34.22,100,0
XMAY.US,5,20251010,172500,34.18,34.18,34.18,34.18,1000,0
XMAY.US,5,20251013,162000,34.17,34.17,34.17,34.17,100,0
XMAY.US,5,20251013,194500,34.1901,34.2009,34.19,34.2009,3900,0
XMAY.US,5,20251014,173500,34.1525,34.1525,34.1525,34.1525,293,0
XMAY.US,5,20251014,213500,34.2,34.2,34.2,34.2,100,0
XMAY.US,5,20251015,153500,34.231,34.231,34.231,34.231,300,0
XMAY.US,5,20251015,163000,34.26,34.26,34.26,34.26,324,0
XMAY.US,5,20251015,184500,34.21,34.21,34.21,34.21,300,0
XMAY.US,5,20251015,190000,34.2,34.2,34.2,34.2,200,0
XMAY.US,5,20251015,190500,34.17,34.17,34.17,34.17,100,0
XMAY.US,5,20251016,161500,34.25,34.25,34.25,34.25,106,0
XMAY.US,5,20251016,164500,34.22,34.22,34.22,34.22,600,0
XMAY.US,5,20251016,170500,34.22,34.22,34.22,34.22,100,0
XMAY.US,5,20251016,172500,34.21,34.21,34.21,34.21,100,0
XMAY.US,5,20251016,174500,34.19,34.19,34.19,34.19,300,0
XMAY.US,5,20251016,182000,34.17,34.17,34.17,34.17,100,0
XMAY.US,5,20251016,182500,34.16,34.16,34.16,34.16,1200,0
XMAY.US,5,20251017,161500,34.15,34.15,34.15,34.15,600,0
XMAY.US,5,20251017,171000,34.13,34.13,34.13,34.13,100,0
XMAY.US,5,20251020,160000,34.3248,34.3248,34.3248,34.3248,220,0
XMAY.US,5,20251020,160500,34.301,34.301,34.301,34.301,100,0
XMAY.US,5,20251020,193500,34.321,34.321,34.321,34.321,146,0
