<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZKH.US,5,20250829,161500,2.89,2.89,2.89,2.89,174,0
ZKH.US,5,20250829,165000,2.86,2.86,2.8,2.86,7122,0
ZKH.US,5,20250829,170000,2.84,2.86,2.84,2.86,4610,0
ZKH.US,5,20250829,170500,2.87,2.9,2.87,2.9,700,0
ZKH.US,5,20250829,171000,2.9,2.9,2.9,2.9,400,0
ZKH.US,5,20250829,172000,2.86,2.88,2.86,2.88,300,0
ZKH.US,5,20250829,172500,2.86,2.86,2.86,2.86,200,0
ZKH.US,5,20250829,173000,2.88,2.88,2.86,2.86,317,0
ZKH.US,5,20250829,173500,2.87,2.87,2.86,2.87,1919,0
ZKH.US,5,20250829,174000,2.86,2.885,2.86,2.8797,2296,0
ZKH.US,5,20250829,174500,2.89,2.89,2.86,2.86,2210,0
ZKH.US,5,20250829,175000,2.87,2.87,2.85,2.85,400,0
ZKH.US,5,20250829,175500,2.865,2.865,2.865,2.865,100,0
ZKH.US,5,20250829,180000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,180500,2.865,2.865,2.865,2.865,200,0
ZKH.US,5,20250829,181000,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250829,181500,2.85,2.865,2.85,2.86,300,0
ZKH.US,5,20250829,182000,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250829,182500,2.85,2.865,2.85,2.865,300,0
ZKH.US,5,20250829,183000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,183500,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,184500,2.86,2.86,2.86,2.86,300,0
ZKH.US,5,20250829,185000,2.87,2.875,2.87,2.875,1300,0
ZKH.US,5,20250829,185500,2.875,2.875,2.87,2.87,1167,0
ZKH.US,5,20250829,190500,2.865,2.865,2.85,2.85,200,0
ZKH.US,5,20250829,191500,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,192000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,192500,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250829,193000,2.865,2.865,2.865,2.865,100,0
ZKH.US,5,20250829,193500,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,194000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250829,194500,2.865,2.865,2.865,2.865,100,0
ZKH.US,5,20250829,195500,2.865,2.865,2.865,2.865,100,0
ZKH.US,5,20250829,200000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,200500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250829,201500,2.865,2.865,2.865,2.865,200,0
ZKH.US,5,20250829,202500,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250829,203000,2.87,2.87,2.87,2.87,200,0
ZKH.US,5,20250829,204000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250829,204500,2.88,2.88,2.87,2.87,398,0
ZKH.US,5,20250829,205500,2.88,2.88,2.87,2.87,200,0
ZKH.US,5,20250829,210000,2.87,2.87,2.87,2.87,200,0
ZKH.US,5,20250829,210500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250829,211000,2.87,2.87,2.87,2.87,300,0
ZKH.US,5,20250829,211500,2.875,2.875,2.875,2.875,100,0
ZKH.US,5,20250829,212000,2.87,2.87,2.87,2.87,436,0
ZKH.US,5,20250829,212500,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250829,213000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250829,215500,2.87,2.87,2.85,2.85,2150,0
ZKH.US,5,20250902,155000,2.8595,2.8595,2.7,2.79,18885,0
ZKH.US,5,20250902,155500,2.81,2.82,2.81,2.82,600,0
ZKH.US,5,20250902,160000,2.85,2.86,2.85,2.86,600,0
ZKH.US,5,20250902,163500,2.87,2.87,2.87,2.87,1225,0
ZKH.US,5,20250902,170000,2.9,2.9,2.9,2.9,228,0
ZKH.US,5,20250902,180000,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250902,180500,2.85,2.85,2.85,2.85,400,0
ZKH.US,5,20250902,181000,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250902,182000,2.86,2.86,2.86,2.86,200,0
ZKH.US,5,20250902,183000,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250902,183500,2.86,2.86,2.86,2.86,460,0
ZKH.US,5,20250902,184000,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250902,185000,2.86,2.86,2.86,2.86,550,0
ZKH.US,5,20250902,185500,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250902,191500,2.86,2.86,2.86,2.86,500,0
ZKH.US,5,20250902,192000,2.85,2.86,2.85,2.86,200,0
ZKH.US,5,20250902,194500,2.85,2.85,2.85,2.85,200,0
ZKH.US,5,20250902,195000,2.855,2.855,2.855,2.855,276,0
ZKH.US,5,20250902,195500,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250902,200000,2.85,2.85,2.85,2.85,300,0
ZKH.US,5,20250902,200500,2.86,2.86,2.86,2.86,200,0
ZKH.US,5,20250902,201000,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250902,205500,2.875,2.875,2.87,2.87,200,0
ZKH.US,5,20250902,210000,2.8754,2.8754,2.8754,2.8754,105,0
ZKH.US,5,20250902,211000,2.87,2.87,2.86,2.86,1311,0
ZKH.US,5,20250902,212000,2.86,2.86,2.86,2.86,500,0
ZKH.US,5,20250902,212500,2.86,2.86,2.86,2.86,400,0
ZKH.US,5,20250902,213500,2.845,2.845,2.845,2.845,100,0
ZKH.US,5,20250902,214000,2.86,2.86,2.86,2.86,200,0
ZKH.US,5,20250902,214500,2.86,2.86,2.845,2.86,700,0
ZKH.US,5,20250903,154000,2.8024,2.8024,2.8024,2.8024,200,0
ZKH.US,5,20250903,155000,2.81,2.81,2.81,2.81,1271,0
ZKH.US,5,20250903,170000,2.92,2.92,2.92,2.92,600,0
ZKH.US,5,20250903,170500,2.92,2.92,2.92,2.92,178,0
ZKH.US,5,20250903,171000,2.9,2.9,2.9,2.9,100,0
ZKH.US,5,20250903,172000,2.91,2.91,2.9,2.9,600,0
ZKH.US,5,20250903,172500,2.89,2.89,2.89,2.89,100,0
ZKH.US,5,20250903,174500,2.83,2.83,2.83,2.83,100,0
ZKH.US,5,20250903,180000,2.855,2.855,2.855,2.855,100,0
ZKH.US,5,20250903,180500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,181500,2.86,2.87,2.86,2.87,800,0
ZKH.US,5,20250903,182500,2.87,2.87,2.87,2.87,900,0
ZKH.US,5,20250903,185500,2.84,2.86,2.84,2.86,200,0
ZKH.US,5,20250903,190000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,191000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,191500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,192000,2.87,2.87,2.87,2.87,550,0
ZKH.US,5,20250903,193000,2.87,2.87,2.87,2.87,1000,0
ZKH.US,5,20250903,193500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,194500,2.87,2.87,2.85,2.85,200,0
ZKH.US,5,20250903,195000,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250903,195500,2.88,2.88,2.85,2.85,200,0
ZKH.US,5,20250903,200000,2.88,2.88,2.88,2.88,100,0
ZKH.US,5,20250903,200500,2.88,2.88,2.86,2.86,300,0
ZKH.US,5,20250903,201000,2.88,2.88,2.88,2.88,600,0
ZKH.US,5,20250903,203500,2.88,2.88,2.88,2.88,1500,0
ZKH.US,5,20250903,204000,2.88,2.88,2.88,2.88,300,0
ZKH.US,5,20250903,210500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,211000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250903,211500,2.87,2.87,2.85,2.85,200,0
ZKH.US,5,20250903,212000,2.87,2.88,2.87,2.88,500,0
ZKH.US,5,20250903,213500,2.88,2.88,2.88,2.88,300,0
ZKH.US,5,20250903,214500,2.87,2.88,2.87,2.88,200,0
ZKH.US,5,20250903,215000,2.88,2.88,2.88,2.88,700,0
ZKH.US,5,20250904,175500,2.92,2.96,2.86,2.86,507,0
ZKH.US,5,20250904,181500,2.85,2.85,2.85,2.85,1171,0
ZKH.US,5,20250904,184500,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250904,185000,2.86,2.87,2.86,2.87,200,0
ZKH.US,5,20250904,185500,2.87,2.87,2.868,2.868,320,0
ZKH.US,5,20250904,190000,2.85,2.865,2.85,2.8504,350,0
ZKH.US,5,20250904,192000,2.85,2.85,2.85,2.85,100,0
ZKH.US,5,20250904,203000,2.87,2.87,2.87,2.87,400,0
ZKH.US,5,20250904,203500,2.88,2.88,2.88,2.88,1131,0
ZKH.US,5,20250904,211000,2.8807,2.8807,2.88,2.88,785,0
ZKH.US,5,20250904,212000,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250904,212500,2.87,2.87,2.87,2.87,100,0
ZKH.US,5,20250904,214000,2.86,2.86,2.86,2.86,100,0
ZKH.US,5,20250904,214500,2.865,2.865,2.865,2.865,200,0
ZKH.US,5,20250904,215500,2.86,2.86,2.85,2.86,300,0
