<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZNOV.US,5,20250829,182000,26.23,26.23,26.19,26.19,530,0
ZNOV.US,5,20250829,215500,26.28,26.28,26.28,26.28,100,0
ZNOV.US,5,20250902,160000,26.18,26.18,26.18,26.18,122,0
ZNOV.US,5,20250902,162000,26.1401,26.1401,26.1401,26.1401,214,0
ZNOV.US,5,20250902,172500,26.16,26.16,26.16,26.16,460,0
ZNOV.US,5,20250902,175500,26.13,26.18,26.13,26.17,2300,0
ZNOV.US,5,20250902,185500,26.1601,26.1601,26.1601,26.1601,669,0
ZNOV.US,5,20250902,212500,26.17,26.17,26.17,26.17,722,0
ZNOV.US,5,20250902,215500,26.23,26.23,26.23,26.23,300,0
ZNOV.US,5,20250903,161500,26.195,26.195,26.195,26.195,154,0
ZNOV.US,5,20250903,181000,26.19,26.19,26.18,26.18,1000,0
ZNOV.US,5,20250903,181500,26.18,26.2,26.17,26.2,2900,0
ZNOV.US,5,20250904,161000,26.23,26.23,26.23,26.23,393,0
ZNOV.US,5,20250904,162000,26.2493,26.2493,26.2493,26.2493,126,0
ZNOV.US,5,20250904,172500,26.23,26.23,26.23,26.23,1736,0
ZNOV.US,5,20250904,173500,26.23,26.23,26.23,26.23,553,0
ZNOV.US,5,20250904,175500,26.2599,26.2599,26.1901,26.1901,8209,0
ZNOV.US,5,20250904,181000,26.23,26.23,26.23,26.23,150,0
ZNOV.US,5,20250904,184000,26.2046,26.2046,26.2046,26.2046,143,0
ZNOV.US,5,20250904,191500,26.201,26.201,26.201,26.201,700,0
ZNOV.US,5,20250904,192500,26.2001,26.2001,26.2001,26.2001,527,0
ZNOV.US,5,20250904,194500,26.26,26.26,26.26,26.26,300,0
ZNOV.US,5,20250904,214500,26.21,26.21,26.2,26.2,200,0
ZNOV.US,5,20250905,161000,26.3,26.3,26.3,26.3,22703,0
ZNOV.US,5,20250905,200500,26.23,26.23,26.23,26.23,200,0
ZNOV.US,5,20250905,212000,26.25,26.25,26.25,26.25,3227,0
ZNOV.US,5,20250908,171000,26.2899,26.2899,26.27,26.27,2188,0
ZNOV.US,5,20250908,184500,26.22,26.22,26.22,26.22,134,0
ZNOV.US,5,20250908,192000,26.255,26.255,26.255,26.255,199,0
ZNOV.US,5,20250908,201000,26.22,26.22,26.22,26.22,257,0
