<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECF_A.US,5,20250902,155000,21.45,21.45,21.45,21.45,800,0
ECF_A.US,5,20250902,215000,21.52,21.52,21.5,21.5,863,0
ECF_A.US,5,20250904,183000,21.5755,21.5755,21.5755,21.5755,198,0
ECF_A.US,5,20250904,195000,21.58,21.58,21.58,21.58,100,0
ECF_A.US,5,20250904,195500,21.58,21.58,21.58,21.58,100,0
ECF_A.US,5,20250905,155000,21.63,21.65,21.63,21.65,300,0
ECF_A.US,5,20250905,155500,21.64,21.65,21.64,21.65,300,0
ECF_A.US,5,20250905,171500,21.594,21.594,21.594,21.594,100,0
ECF_A.US,5,20250905,203500,21.61,21.62,21.61,21.61,554,0
ECF_A.US,5,20250905,204000,21.535,21.535,21.535,21.535,231,0
ECF_A.US,5,20250905,205500,21.6199,21.6199,21.6199,21.6199,100,0
ECF_A.US,5,20250905,210500,21.62,21.62,21.62,21.62,300,0
ECF_A.US,5,20250905,215500,21.64,21.7024,21.64,21.7024,200,0
ECF_A.US,5,20250908,154000,21.72,21.72,21.72,21.72,400,0
ECF_A.US,5,20250908,154500,21.72,21.72,21.72,21.72,899,0
ECF_A.US,5,20250908,162500,21.84,21.93,21.84,21.93,800,0
ECF_A.US,5,20250908,174500,22,22,22,22,100,0
ECF_A.US,5,20250908,214000,21.99,21.99,21.99,21.99,100,0
ECF_A.US,5,20250909,154000,21.99,21.99,21.99,21.99,100,0
ECF_A.US,5,20250909,205500,21.9,21.9,21.9,21.9,100,0
ECF_A.US,5,20250909,210500,21.85,21.85,21.85,21.85,123,0
ECF_A.US,5,20250909,214500,21.75,21.75,21.75,21.75,277,0
ECF_A.US,5,20250910,154000,21.95,22.1182,21.95,22.1182,300,0
ECF_A.US,5,20250910,160500,22.0577,22.0577,22.0577,22.0577,500,0
ECF_A.US,5,20250910,182500,22.02,22.02,22.02,22.02,100,0
ECF_A.US,5,20250910,194000,21.9511,21.9511,21.9511,21.9511,444,0
ECF_A.US,5,20250910,195000,21.95,21.95,21.95,21.95,450,0
ECF_A.US,5,20250910,215500,22.075,22.075,22.075,22.075,100,0
ECF_A.US,5,20250911,163500,22.15,22.3,22.15,22.3,2055,0
ECF_A.US,5,20250911,172000,22.6,22.6,22.6,22.6,100,0
ECF_A.US,5,20250911,195500,22.4196,22.4196,22.4196,22.4196,100,0
ECF_A.US,5,20250915,211000,22.55,22.57,22.4,22.4,400,0
ECF_A.US,5,20250915,215000,22.385,22.385,22.385,22.385,200,0
ECF_A.US,5,20250916,215500,22.5,22.5,22.5,22.5,100,0
ECF_A.US,5,20250917,172000,22,22.1,21.87,21.92,2100,0
ECF_A.US,5,20250917,190500,22.22,22.22,22.22,22.22,100,0
ECF_A.US,5,20250917,191500,22.43,22.43,22.43,22.43,100,0
ECF_A.US,5,20250918,154500,22.22,22.22,22.22,22.22,100,0
ECF_A.US,5,20250918,161500,22.26,22.26,22.18,22.1801,2600,0
ECF_A.US,5,20250918,163500,22.17,22.18,22.17,22.18,200,0
ECF_A.US,5,20250918,174500,22.053,22.228,22.053,22.228,824,0
ECF_A.US,5,20250918,215500,22.39,22.41,22.39,22.41,200,0
ECF_A.US,5,20250923,211500,21.71,21.72,21.71,21.72,299,0
