<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVV.US,5,20250829,153000,10.33,10.33,10.33,10.33,340,0
EVV.US,5,20250829,153500,10.32,10.32,10.3,10.3,500,0
EVV.US,5,20250829,154000,10.315,10.33,10.3,10.33,5100,0
EVV.US,5,20250829,154500,10.31,10.3199,10.31,10.31,493,0
EVV.US,5,20250829,155000,10.31,10.31,10.29,10.3,9151,0
EVV.US,5,20250829,155500,10.2965,10.2965,10.27,10.27,6273,0
EVV.US,5,20250829,160000,10.2899,10.2899,10.28,10.28,800,0
EVV.US,5,20250829,160500,10.28,10.28,10.27,10.28,1844,0
EVV.US,5,20250829,161000,10.28,10.2879,10.27,10.27,7581,0
EVV.US,5,20250829,161500,10.28,10.28,10.28,10.28,1100,0
EVV.US,5,20250829,162500,10.28,10.29,10.28,10.29,500,0
EVV.US,5,20250829,163000,10.28,10.2855,10.28,10.2855,4000,0
EVV.US,5,20250829,163500,10.29,10.29,10.29,10.29,500,0
EVV.US,5,20250829,164000,10.284,10.29,10.284,10.29,2650,0
EVV.US,5,20250829,164500,10.2889,10.2889,10.28,10.285,10971,0
EVV.US,5,20250829,165500,10.2888,10.2888,10.2888,10.2888,1500,0
EVV.US,5,20250829,170000,10.285,10.2889,10.285,10.2889,200,0
EVV.US,5,20250829,170500,10.2889,10.2899,10.2835,10.2835,1198,0
EVV.US,5,20250829,171000,10.2822,10.289,10.28,10.289,1912,0
EVV.US,5,20250829,171500,10.29,10.29,10.29,10.29,414,0
EVV.US,5,20250829,172500,10.281,10.281,10.281,10.281,173,0
EVV.US,5,20250829,173500,10.285,10.285,10.285,10.285,100,0
EVV.US,5,20250829,174000,10.29,10.29,10.2801,10.29,1259,0
EVV.US,5,20250829,174500,10.285,10.285,10.285,10.285,166,0
EVV.US,5,20250829,175000,10.2846,10.2899,10.2801,10.2899,965,0
EVV.US,5,20250829,175500,10.285,10.285,10.284237,10.284237,718,0
EVV.US,5,20250829,180000,10.29,10.29,10.29,10.29,4298,0
EVV.US,5,20250829,180500,10.29,10.29,10.28,10.29,950,0
EVV.US,5,20250829,181000,10.29,10.31,10.29,10.31,3348,0
EVV.US,5,20250829,181500,10.31,10.31,10.31,10.31,5495,0
EVV.US,5,20250829,182000,10.31,10.31,10.3001,10.31,500,0
EVV.US,5,20250829,182500,10.31,10.31,10.305,10.31,400,0
EVV.US,5,20250829,183000,10.31,10.31,10.305,10.305,4718,0
EVV.US,5,20250829,183500,10.305,10.31,10.305,10.31,305,0
EVV.US,5,20250829,184000,10.305,10.305,10.305,10.305,100,0
EVV.US,5,20250829,184500,10.31,10.31,10.305,10.305,200,0
EVV.US,5,20250829,185000,10.305,10.305,10.305,10.305,200,0
EVV.US,5,20250829,185500,10.305,10.305,10.305,10.305,300,0
EVV.US,5,20250829,190000,10.309,10.309,10.3,10.305,2507,0
EVV.US,5,20250829,190500,10.3099,10.31,10.3,10.31,2641,0
EVV.US,5,20250829,191000,10.305,10.305,10.305,10.305,200,0
EVV.US,5,20250829,191500,10.305,10.305,10.305,10.305,200,0
EVV.US,5,20250829,192000,10.305,10.305,10.305,10.305,200,0
EVV.US,5,20250829,192500,10.3091,10.3091,10.3,10.3,1200,0
EVV.US,5,20250829,193000,10.31,10.31,10.31,10.31,300,0
EVV.US,5,20250829,193500,10.305,10.3058,10.3003,10.3058,7007,0
EVV.US,5,20250829,194000,10.305,10.305,10.305,10.305,700,0
EVV.US,5,20250829,194500,10.31,10.31,10.3099,10.31,4000,0
EVV.US,5,20250829,195000,10.315,10.315,10.315,10.315,200,0
EVV.US,5,20250829,195500,10.315,10.3199,10.315,10.315,3302,0
EVV.US,5,20250829,200000,10.3167,10.3167,10.3167,10.3167,268,0
EVV.US,5,20250829,201500,10.3194,10.3199,10.3019,10.31,5344,0
EVV.US,5,20250829,202000,10.31,10.3104,10.31,10.3104,5746,0
EVV.US,5,20250829,202500,10.3183,10.3184,10.3009,10.31,3863,0
EVV.US,5,20250829,203500,10.3013,10.312904,10.3013,10.31,8138,0
EVV.US,5,20250829,204000,10.3183,10.3183,10.31,10.3165,3293,0
EVV.US,5,20250829,205000,10.31,10.31,10.3021,10.3021,866,0
EVV.US,5,20250829,205500,10.3177,10.3177,10.3177,10.3177,111,0
EVV.US,5,20250829,210500,10.31,10.315,10.31,10.315,700,0
EVV.US,5,20250829,211000,10.3128,10.3135,10.3128,10.3135,362,0
EVV.US,5,20250829,212000,10.3142,10.315,10.3027,10.3027,9471,0
EVV.US,5,20250829,212500,10.301,10.305,10.301,10.305,2428,0
EVV.US,5,20250829,213000,10.305,10.305,10.305,10.305,2000,0
EVV.US,5,20250829,213500,10.305,10.305,10.3,10.3,7101,0
EVV.US,5,20250829,214000,10.3,10.305,10.3,10.3,1400,0
EVV.US,5,20250829,214500,10.305,10.305,10.3,10.3,9585,0
EVV.US,5,20250829,215000,10.305,10.32,10.305,10.32,1101,0
EVV.US,5,20250829,215500,10.32,10.33,10.31,10.32,12292,0
EVV.US,5,20250902,153000,10.2413,10.2413,10.24,10.24,5389,0
EVV.US,5,20250902,153500,10.2401,10.2663,10.24,10.24,1806,0
EVV.US,5,20250902,154000,10.245,10.245,10.21,10.22,4620,0
EVV.US,5,20250902,154500,10.225,10.23,10.22,10.22,3600,0
EVV.US,5,20250902,155000,10.2306,10.24,10.22,10.22,6672,0
EVV.US,5,20250902,155500,10.23,10.25,10.23,10.24,8415,0
EVV.US,5,20250902,160000,10.26,10.26,10.24,10.24,808,0
EVV.US,5,20250902,160500,10.2486,10.2486,10.24,10.24,1100,0
EVV.US,5,20250902,161500,10.24,10.24,10.24,10.24,100,0
EVV.US,5,20250902,162000,10.25,10.25,10.25,10.25,4774,0
EVV.US,5,20250902,163000,10.255,10.255,10.255,10.255,200,0
EVV.US,5,20250902,164000,10.25,10.25,10.25,10.25,2804,0
EVV.US,5,20250902,164500,10.25,10.25,10.24,10.24,14128,0
EVV.US,5,20250902,165000,10.25,10.2599,10.25,10.255,1145,0
EVV.US,5,20250902,165500,10.255,10.26,10.255,10.255,1279,0
EVV.US,5,20250902,170000,10.2599,10.2599,10.2599,10.2599,232,0
EVV.US,5,20250902,170500,10.26,10.26,10.26,10.26,1200,0
EVV.US,5,20250902,171000,10.27,10.28,10.27,10.2788,2100,0
EVV.US,5,20250902,171500,10.28,10.3,10.28,10.29,5291,0
EVV.US,5,20250902,172000,10.28,10.28,10.28,10.28,292,0
EVV.US,5,20250902,172500,10.28,10.28,10.28,10.28,312,0
EVV.US,5,20250902,173000,10.2837,10.2837,10.2792,10.2808,1780,0
EVV.US,5,20250902,174500,10.28,10.28,10.27,10.275,12376,0
EVV.US,5,20250902,175000,10.2794,10.2794,10.275,10.275,253,0
EVV.US,5,20250902,175500,10.275,10.275,10.275,10.275,400,0
EVV.US,5,20250902,180000,10.275,10.275,10.265,10.265,15905,0
EVV.US,5,20250902,180500,10.265,10.265,10.265,10.265,6740,0
EVV.US,5,20250902,181000,10.27,10.27,10.265,10.265,300,0
EVV.US,5,20250902,181500,10.265,10.285,10.265,10.285,1647,0
EVV.US,5,20250902,182000,10.285,10.285,10.285,10.285,308,0
EVV.US,5,20250902,182500,10.281,10.285,10.28,10.285,1075,0
EVV.US,5,20250902,183000,10.285,10.295,10.285,10.295,1814,0
EVV.US,5,20250902,183500,10.295,10.2972,10.2942,10.295,1871,0
EVV.US,5,20250902,184000,10.2989,10.2989,10.295,10.295,409,0
EVV.US,5,20250902,184500,10.295,10.2999,10.295,10.2999,1650,0
EVV.US,5,20250902,185000,10.3,10.305,10.29,10.29,7001,0
EVV.US,5,20250902,185500,10.295,10.295,10.295,10.295,200,0
EVV.US,5,20250902,190000,10.3,10.3,10.285,10.285,3475,0
EVV.US,5,20250902,190500,10.29,10.29,10.29,10.29,200,0
EVV.US,5,20250902,191000,10.29,10.29,10.285,10.285,300,0
EVV.US,5,20250902,191500,10.29,10.29,10.29,10.29,420,0
EVV.US,5,20250902,192000,10.29,10.29,10.29,10.29,100,0
EVV.US,5,20250902,192500,10.29,10.295,10.29,10.295,400,0
EVV.US,5,20250902,193000,10.295,10.3,10.295,10.3,1329,0
EVV.US,5,20250902,193500,10.3,10.3,10.295,10.295,420,0
EVV.US,5,20250902,194000,10.3,10.3,10.2942,10.3,545,0
EVV.US,5,20250902,194500,10.3,10.305,10.3,10.3,2000,0
EVV.US,5,20250902,195000,10.295,10.2965,10.295,10.295,3326,0
EVV.US,5,20250902,195500,10.295,10.295,10.295,10.295,300,0
EVV.US,5,20250902,200000,10.2999,10.3,10.295,10.295,2983,0
EVV.US,5,20250902,200500,10.2901,10.295,10.2901,10.295,3361,0
EVV.US,5,20250902,201000,10.295,10.295,10.295,10.295,283,0
EVV.US,5,20250902,201500,10.29,10.2901,10.285,10.285,3726,0
EVV.US,5,20250902,202000,10.29,10.305,10.285,10.305,23763,0
EVV.US,5,20250902,202500,10.3099,10.3099,10.3099,10.3099,300,0
EVV.US,5,20250902,203000,10.3057,10.3057,10.3001,10.3001,721,0
EVV.US,5,20250902,203500,10.3001,10.3001,10.3001,10.3001,600,0
EVV.US,5,20250902,204000,10.305,10.3051,10.3,10.305,3761,0
EVV.US,5,20250902,204500,10.3089,10.3089,10.2989,10.2989,2350,0
EVV.US,5,20250902,205000,10.2942,10.2989,10.2942,10.2989,1245,0
EVV.US,5,20250902,210500,10.3,10.3,10.295,10.295,300,0
EVV.US,5,20250902,211500,10.2999,10.305,10.295,10.295,9524,0
EVV.US,5,20250902,212000,10.295,10.295,10.295,10.295,100,0
EVV.US,5,20250902,212500,10.295,10.3087,10.295,10.3,2696,0
EVV.US,5,20250902,213500,10.3,10.3,10.3,10.3,2306,0
EVV.US,5,20250902,214000,10.2965,10.3,10.29,10.299,4936,0
EVV.US,5,20250902,214500,10.295,10.31,10.295,10.31,5901,0
EVV.US,5,20250902,215000,10.3,10.31,10.3,10.31,3900,0
EVV.US,5,20250902,215500,10.31,10.32,10.29,10.29,20587,0
EVV.US,5,20250903,153000,10.29,10.29,10.29,10.29,205,0
EVV.US,5,20250903,155000,10.2998,10.32,10.28,10.289,15548,0
EVV.US,5,20250903,160000,10.2856,10.2856,10.2856,10.2856,200,0
EVV.US,5,20250903,160500,10.3,10.3,10.3,10.3,100,0
EVV.US,5,20250903,161000,10.295,10.295,10.295,10.295,2700,0
EVV.US,5,20250903,161500,10.29,10.295,10.2846,10.2854,5491,0
EVV.US,5,20250903,162000,10.2855,10.3,10.2835,10.3,7238,0
EVV.US,5,20250903,162500,10.3,10.3,10.29,10.297,1048,0
EVV.US,5,20250903,163000,10.3,10.3,10.3,10.3,1061,0
EVV.US,5,20250903,163500,10.2979,10.2979,10.2979,10.2979,167,0
EVV.US,5,20250903,164000,10.2992,10.3065,10.2992,10.305,1194,0
EVV.US,5,20250903,164500,10.3001,10.31,10.3001,10.31,5276,0
EVV.US,5,20250903,165500,10.305,10.3069,10.305,10.3069,5774,0
EVV.US,5,20250903,170000,10.3099,10.3099,10.305,10.3099,2294,0
EVV.US,5,20250903,170500,10.305,10.305,10.305,10.305,148,0
EVV.US,5,20250903,171500,10.305,10.305,10.3005,10.3005,567,0
EVV.US,5,20250903,172000,10.3058,10.3058,10.3058,10.3058,110,0
EVV.US,5,20250903,172500,10.3035,10.3055,10.3035,10.3055,1693,0
EVV.US,5,20250903,173000,10.31,10.32,10.31,10.315,1913,0
EVV.US,5,20250903,173500,10.3155,10.32,10.3103,10.315,2033,0
EVV.US,5,20250903,174000,10.3191,10.32,10.305,10.305,5349,0
EVV.US,5,20250903,174500,10.305,10.305,10.305,10.305,875,0
EVV.US,5,20250903,175000,10.305,10.3087,10.3002,10.305,2692,0
EVV.US,5,20250903,175500,10.305,10.305,10.3,10.305,3112,0
EVV.US,5,20250903,180000,10.3001,10.305,10.3001,10.305,310,0
EVV.US,5,20250903,180500,10.3,10.31,10.3,10.31,400,0
EVV.US,5,20250903,181000,10.3001,10.31,10.3001,10.31,14215,0
EVV.US,5,20250903,182500,10.3001,10.31,10.3001,10.31,209,0
EVV.US,5,20250903,183500,10.3087,10.3087,10.3028,10.305,5500,0
EVV.US,5,20250903,184000,10.305,10.305,10.305,10.305,1100,0
EVV.US,5,20250903,184500,10.3059,10.315,10.305,10.315,13863,0
EVV.US,5,20250903,185000,10.3172,10.3198,10.3172,10.3198,3691,0
EVV.US,5,20250903,185500,10.3161,10.32,10.3161,10.32,1016,0
EVV.US,5,20250903,191000,10.315,10.3199,10.3142,10.3142,1536,0
EVV.US,5,20250903,192000,10.3198,10.3198,10.3101,10.3101,2000,0
EVV.US,5,20250903,192500,10.315,10.315,10.315,10.315,300,0
EVV.US,5,20250903,193000,10.3188,10.3188,10.315,10.3188,1081,0
EVV.US,5,20250903,193500,10.3188,10.32,10.315,10.3199,8068,0
EVV.US,5,20250903,194000,10.315,10.315,10.3101,10.315,5108,0
EVV.US,5,20250903,194500,10.3156,10.3181,10.31,10.315,12983,0
EVV.US,5,20250903,195000,10.315,10.3172,10.31,10.31,881,0
EVV.US,5,20250903,195500,10.31,10.315,10.305,10.305,786,0
EVV.US,5,20250903,200500,10.31,10.31,10.31,10.31,200,0
EVV.US,5,20250903,201000,10.3,10.3088,10.3,10.3,2558,0
EVV.US,5,20250903,201500,10.303,10.32,10.303,10.32,7500,0
EVV.US,5,20250903,202500,10.315,10.32,10.315,10.32,300,0
EVV.US,5,20250903,203500,10.31,10.31,10.31,10.31,777,0
EVV.US,5,20250903,204000,10.3044,10.31,10.3044,10.31,2017,0
EVV.US,5,20250903,204500,10.31,10.31,10.3094,10.3094,2106,0
EVV.US,5,20250903,205000,10.31,10.32,10.3063,10.32,5600,0
EVV.US,5,20250903,205500,10.315,10.32,10.315,10.32,4174,0
EVV.US,5,20250903,210000,10.315,10.3299,10.31,10.3299,4802,0
EVV.US,5,20250903,210500,10.325,10.3299,10.32,10.325,3592,0
EVV.US,5,20250903,211000,10.325,10.3254,10.32,10.32,2472,0
EVV.US,5,20250903,211500,10.325,10.325,10.32,10.32,1088,0
EVV.US,5,20250903,212000,10.325,10.325,10.32,10.32,7964,0
EVV.US,5,20250903,212500,10.3203,10.325,10.32,10.325,2806,0
EVV.US,5,20250903,213000,10.32,10.32,10.315,10.32,7996,0
EVV.US,5,20250903,213500,10.3218,10.3218,10.32,10.32,293,0
EVV.US,5,20250903,214000,10.32,10.33,10.3113,10.32,9488,0
EVV.US,5,20250903,214500,10.325,10.325,10.32,10.325,1210,0
