<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OGEN.US,5,20250829,153000,1.11,1.11,1.11,1.11,100,0
OGEN.US,5,20250829,153500,1.1,1.1,1.08,1.08,2844,0
OGEN.US,5,20250829,154000,1.094,1.094,1.0919,1.0919,2243,0
OGEN.US,5,20250829,155500,1.105,1.105,1.105,1.105,250,0
OGEN.US,5,20250829,160000,1.1,1.1,1.1,1.1,102,0
OGEN.US,5,20250829,161500,1.09,1.09,1.09,1.09,300,0
OGEN.US,5,20250829,163500,1.09,1.09,1.0805,1.0807,8500,0
OGEN.US,5,20250829,164000,1.085,1.085,1.085,1.085,100,0
OGEN.US,5,20250829,164500,1.0846,1.0846,1.07,1.07,5180,0
OGEN.US,5,20250829,172000,1.07,1.07,1.07,1.07,100,0
OGEN.US,5,20250829,172500,1.0798,1.0799,1.0798,1.0799,517,0
OGEN.US,5,20250829,174000,1.0785,1.0785,1.0785,1.0785,500,0
OGEN.US,5,20250829,174500,1.078,1.078,1.078,1.078,400,0
OGEN.US,5,20250829,175000,1.0798,1.0798,1.0798,1.0798,187,0
OGEN.US,5,20250829,180500,1.075,1.075,1.075,1.075,100,0
OGEN.US,5,20250829,181000,1.0799,1.0799,1.0799,1.0799,505,0
OGEN.US,5,20250829,181500,1.08,1.08,1.08,1.08,160,0
OGEN.US,5,20250829,183000,1.08,1.08,1.08,1.08,118,0
OGEN.US,5,20250829,183500,1.0798,1.0798,1.075,1.075,1100,0
OGEN.US,5,20250829,184000,1.075,1.075,1.075,1.075,340,0
OGEN.US,5,20250829,185500,1.08,1.08,1.08,1.08,500,0
OGEN.US,5,20250829,190500,1.07,1.07,1.07,1.07,100,0
OGEN.US,5,20250829,191500,1.075,1.075,1.075,1.075,946,0
OGEN.US,5,20250829,194000,1.07,1.07,1.07,1.07,100,0
OGEN.US,5,20250829,194500,1.07,1.07,1.07,1.07,1185,0
OGEN.US,5,20250829,200500,1.075,1.075,1.075,1.075,150,0
OGEN.US,5,20250829,201500,1.07,1.075,1.07,1.075,200,0
OGEN.US,5,20250829,203500,1.0797,1.08,1.07,1.08,3530,0
OGEN.US,5,20250829,204000,1.08,1.08,1.08,1.08,100,0
OGEN.US,5,20250829,204500,1.08,1.08,1.08,1.08,200,0
OGEN.US,5,20250829,210000,1.0799,1.0799,1.07,1.075,655,0
OGEN.US,5,20250829,211000,1.07,1.075,1.07,1.07,4160,0
OGEN.US,5,20250829,213000,1.0699,1.07,1.0699,1.07,450,0
OGEN.US,5,20250829,213500,1.06,1.06,1.06,1.06,100,0
OGEN.US,5,20250829,214000,1.065,1.0699,1.03,1.056,45401,0
OGEN.US,5,20250829,214500,1.0303,1.0488,1.03,1.0488,19496,0
OGEN.US,5,20250829,215000,1.04,1.04,1.04,1.04,1608,0
OGEN.US,5,20250829,215500,1.05,1.0683,1.03,1.03,12009,0
OGEN.US,5,20250902,153000,1.05,1.05,1.04,1.04,6186,0
OGEN.US,5,20250902,153500,1.045,1.045,1.03,1.03,7707,0
OGEN.US,5,20250902,154000,1.0381,1.0381,1.0381,1.0381,400,0
OGEN.US,5,20250902,154500,1.03,1.03,1.03,1.03,200,0
OGEN.US,5,20250902,155000,1.03,1.04,1.03,1.04,1021,0
OGEN.US,5,20250902,155500,1.04,1.04,1.04,1.04,100,0
OGEN.US,5,20250902,160000,1.0338,1.035,1.0338,1.035,600,0
OGEN.US,5,20250902,160500,1.035,1.0398,1.035,1.0398,384,0
OGEN.US,5,20250902,161000,1.035,1.0398,1.0301,1.0398,3060,0
OGEN.US,5,20250902,162000,1.035,1.04,1.03,1.04,1000,0
OGEN.US,5,20250902,163500,1.035,1.05,1.035,1.05,4148,0
OGEN.US,5,20250902,164000,1.05,1.05,1.05,1.05,200,0
OGEN.US,5,20250902,164500,1.045,1.045,1.045,1.045,100,0
OGEN.US,5,20250902,165000,1.0691,1.0695,1.0501,1.0688,3260,0
OGEN.US,5,20250902,165500,1.0699,1.0699,1.05,1.06,1623,0
OGEN.US,5,20250902,170000,1.06,1.07,1.06,1.07,11500,0
OGEN.US,5,20250902,170500,1.04,1.04,1.04,1.04,182,0
OGEN.US,5,20250902,171000,1.0301,1.043,1.0301,1.043,476,0
OGEN.US,5,20250902,171500,1.0383,1.0463,1.0336,1.0336,622,0
OGEN.US,5,20250902,172000,1.03,1.03,1.03,1.03,500,0
OGEN.US,5,20250902,172500,1.035485,1.035485,1.035485,1.035485,1000,0
OGEN.US,5,20250902,173000,1.04,1.04,1.04,1.04,100,0
OGEN.US,5,20250902,173500,1.0499,1.0499,1.0499,1.0499,465,0
OGEN.US,5,20250902,174000,1.04,1.04,1.04,1.04,1262,0
OGEN.US,5,20250902,174500,1.04,1.04,1.04,1.04,109,0
OGEN.US,5,20250902,175000,1.03,1.03,1.03,1.03,100,0
OGEN.US,5,20250902,180000,1.0301,1.0301,1.01,1.02,14932,0
OGEN.US,5,20250902,180500,1.0397,1.0397,1.0397,1.0397,2500,0
OGEN.US,5,20250902,181000,1.03,1.03,1.03,1.03,110,0
OGEN.US,5,20250902,181500,1.0346,1.0346,1.0346,1.0346,192,0
OGEN.US,5,20250902,182500,1.0234,1.0234,1.0234,1.0234,250,0
OGEN.US,5,20250902,183000,1.03,1.03,1.03,1.03,100,0
OGEN.US,5,20250902,183500,1.03,1.04,1.03,1.0392,765,0
OGEN.US,5,20250902,184500,1.03,1.035,1.03,1.035,808,0
OGEN.US,5,20250902,185000,1.035,1.035,1.035,1.035,100,0
OGEN.US,5,20250902,191500,1.035,1.035,1.035,1.035,109,0
OGEN.US,5,20250902,192500,1.035,1.04,1.035,1.04,10000,0
OGEN.US,5,20250902,193500,1.035,1.035,1.035,1.035,100,0
OGEN.US,5,20250902,194500,1.0339,1.04,1.0315,1.04,751,0
OGEN.US,5,20250902,195000,1.035,1.035,1.03,1.03,1869,0
OGEN.US,5,20250902,200000,1.03,1.03,1.03,1.03,1195,0
OGEN.US,5,20250902,200500,1.03,1.03,1.025,1.025,4800,0
OGEN.US,5,20250902,202500,1.03,1.03,1.03,1.03,2000,0
OGEN.US,5,20250902,203000,1.0289,1.0295,1.0289,1.0295,708,0
OGEN.US,5,20250902,204000,1.03,1.0399,1.03,1.0399,3000,0
OGEN.US,5,20250902,205000,1.035,1.035,1.035,1.035,325,0
OGEN.US,5,20250902,210000,1.03,1.03,1.03,1.03,100,0
OGEN.US,5,20250902,211000,1.04,1.05,1.04,1.04,1570,0
OGEN.US,5,20250902,213000,1.0399,1.0399,1.0399,1.0399,866,0
OGEN.US,5,20250902,215000,1.0381,1.04,1.0316,1.038,6952,0
OGEN.US,5,20250902,215500,1.045,1.05,1.0399,1.05,1221,0
OGEN.US,5,20250903,153000,1.06,1.06,1.05,1.05,1916,0
OGEN.US,5,20250903,153500,1.0506,1.06,1.05,1.06,5176,0
OGEN.US,5,20250903,154000,1.06,1.06,1.06,1.06,4019,0
OGEN.US,5,20250903,154500,1.0503,1.0503,1.0503,1.0503,500,0
OGEN.US,5,20250903,155500,1.06,1.06,1.06,1.06,1939,0
OGEN.US,5,20250903,160000,1.059,1.059,1.059,1.059,250,0
OGEN.US,5,20250903,160500,1.0554,1.06,1.0554,1.06,1856,0
OGEN.US,5,20250903,161000,1.0554,1.0554,1.0554,1.0554,2000,0
OGEN.US,5,20250903,161500,1.0554,1.0565,1.0554,1.0565,3798,0
OGEN.US,5,20250903,162000,1.0554,1.0599,1.055,1.0599,7759,0
OGEN.US,5,20250903,163000,1.0596,1.0596,1.055,1.055,278,0
OGEN.US,5,20250903,164000,1.0596,1.0596,1.0596,1.0596,225,0
OGEN.US,5,20250903,165000,1.06,1.06,1.0554,1.0597,1525,0
OGEN.US,5,20250903,165500,1.0501,1.0501,1.0501,1.0501,2849,0
OGEN.US,5,20250903,171000,1.0595,1.0595,1.0595,1.0595,100,0
OGEN.US,5,20250903,172000,1.0587,1.06,1.0587,1.06,2514,0
OGEN.US,5,20250903,172500,1.0515,1.0515,1.0515,1.0515,334,0
OGEN.US,5,20250903,173000,1.055,1.06,1.055,1.06,2149,0
OGEN.US,5,20250903,173500,1.0565,1.0565,1.0565,1.0565,1899,0
OGEN.US,5,20250903,174000,1.05,1.0519,1.05,1.05,458,0
OGEN.US,5,20250903,175500,1.05,1.05,1.05,1.05,1800,0
OGEN.US,5,20250903,180500,1.055,1.055,1.055,1.055,939,0
OGEN.US,5,20250903,181500,1.0556,1.0556,1.0556,1.0556,1000,0
OGEN.US,5,20250903,184000,1.05,1.0597,1.05,1.0582,400,0
OGEN.US,5,20250903,185500,1.059,1.06,1.055,1.055,6156,0
OGEN.US,5,20250903,190000,1.055,1.055,1.0506,1.0506,3105,0
OGEN.US,5,20250903,190500,1.0597,1.0597,1.0597,1.0597,140,0
OGEN.US,5,20250903,191000,1.06,1.06,1.06,1.06,3610,0
OGEN.US,5,20250903,192500,1.0601,1.0601,1.0601,1.0601,966,0
OGEN.US,5,20250903,193000,1.065,1.065,1.065,1.065,200,0
OGEN.US,5,20250903,193500,1.07,1.07,1.07,1.07,750,0
OGEN.US,5,20250903,194000,1.06,1.06,1.06,1.06,100,0
OGEN.US,5,20250903,194500,1.0697,1.0697,1.0697,1.0697,100,0
OGEN.US,5,20250903,195000,1.0698,1.0698,1.06,1.06,1462,0
OGEN.US,5,20250903,200000,1.06,1.06,1.06,1.06,208,0
OGEN.US,5,20250903,200500,1.07,1.07,1.07,1.07,857,0
OGEN.US,5,20250903,201500,1.0697,1.0697,1.0697,1.0697,500,0
OGEN.US,5,20250903,202500,1.06,1.06,1.06,1.06,100,0
OGEN.US,5,20250903,203000,1.0699,1.0699,1.0699,1.0699,200,0
OGEN.US,5,20250903,204000,1.0699,1.0699,1.0699,1.0699,5000,0
OGEN.US,5,20250903,204500,1.06,1.06,1.06,1.06,100,0
OGEN.US,5,20250903,210500,1.06,1.06,1.06,1.06,100,0
OGEN.US,5,20250903,211500,1.06,1.06,1.06,1.06,1688,0
OGEN.US,5,20250903,213000,1.06,1.06,1.055,1.06,1959,0
OGEN.US,5,20250903,214000,1.0515,1.0515,1.0515,1.0515,358,0
OGEN.US,5,20250903,214500,1.055,1.055,1.055,1.055,1400,0
OGEN.US,5,20250903,215000,1.06,1.06,1.055,1.055,313,0
OGEN.US,5,20250903,215500,1.06,1.07,1.06,1.07,847,0
OGEN.US,5,20250904,153000,1.07,1.08,1.05,1.07,8623,0
OGEN.US,5,20250904,153500,1.07,1.07,1.06,1.06,2115,0
OGEN.US,5,20250904,154000,1.0507,1.06,1.0507,1.06,10100,0
OGEN.US,5,20250904,155000,1.0592,1.0592,1.0592,1.0592,1200,0
