<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVNX.US,D,20250602,000000,20.9,21.37,19.7154,21.35,16618,0
CVNX.US,D,20250603,000000,21.7862,22.5688,21.671,22.41,18172,0
CVNX.US,D,20250604,000000,22.11,23.37,22,23.12,9821,0
CVNX.US,D,20250605,000000,22.82,23.53,22.41,22.95,9826,0
CVNX.US,D,20250606,000000,23.7,23.7,22.5,22.65,5482,0
CVNX.US,D,20250609,000000,21.5,22.44,21.1,22.44,10621,0
CVNX.US,D,20250610,000000,22.532,23,21.2487,22.13,9128,0
CVNX.US,D,20250611,000000,21.88,22.55,21.86,22.4,3477,0
CVNX.US,D,20250612,000000,21.7682,21.8,19.4977,19.57,21835,0
CVNX.US,D,20250613,000000,17.9273,18.64,16.6401,16.88,35700,0
CVNX.US,D,20250616,000000,17.56,17.56,15.429,15.97,59782,0
CVNX.US,D,20250617,000000,15.74,16.56,15.74,16.52,38195,0
CVNX.US,D,20250618,000000,16.5,18.06,16.46,18.06,31629,0
CVNX.US,D,20250620,000000,18.7925,19.37,18.105,19.32,24638,0
CVNX.US,D,20250623,000000,18.73,19.77,17.69,19.48,29292,0
CVNX.US,D,20250624,000000,20,20.33,19.65,19.82,19077,0
CVNX.US,D,20250625,000000,20.21,20.23,18.4606,18.92,21463,0
CVNX.US,D,20250626,000000,18.6294,18.81,17.71,17.82,20459,0
CVNX.US,D,20250627,000000,17.87,19.32,17.76,19.32,8197,0
CVNX.US,D,20250630,000000,19.91,21.56,19.8,21.56,32344,0
CVNX.US,D,20250701,000000,21.36,22,20.83,21.27,18708,0
CVNX.US,D,20250702,000000,21.9599,22.7184,21.506,22.35,9014,0
CVNX.US,D,20250703,000000,22.36,22.83,21.8312,22.83,9708,0
CVNX.US,D,20250707,000000,22.85,24.23,22.6401,23.77,14348,0
CVNX.US,D,20250708,000000,24.65,24.65,22.16,22.58,24957,0
CVNX.US,D,20250709,000000,22.2,23.2956,22.05,23.24,5921,0
CVNX.US,D,20250710,000000,23.16,23.92,22.25,22.25,19309,0
CVNX.US,D,20250711,000000,22.5,23,21.81,22.29,15338,0
CVNX.US,D,20250714,000000,22.03,23.47,21.93,22.57,15684,0
CVNX.US,D,20250715,000000,22.09,23,20,23,10495,0
CVNX.US,D,20250716,000000,22.6769,23.5,22.6769,23.1494,12533,0
CVNX.US,D,20250717,000000,23.4,23.79,22.12,22.3476,13288,0
CVNX.US,D,20250718,000000,22.28,22.3,21.1001,22.2922,8432,0
CVNX.US,D,20250721,000000,21.65,22.0842,21.5,21.8571,8566,0
CVNX.US,D,20250722,000000,21.01,22.24,20.42,21.77,10345,0
CVNX.US,D,20250723,000000,21.0285,21.67,20.4,21.6481,17115,0
CVNX.US,D,20250724,000000,21.6523,21.6523,19.5,19.57,14734,0
CVNX.US,D,20250725,000000,20.8,21.2,19.92,20.3113,21538,0
CVNX.US,D,20250728,000000,20.59,21.25,20.59,20.895,11258,0
CVNX.US,D,20250729,000000,21.76,21.76,19.9,20.9308,15684,0
CVNX.US,D,20250730,000000,20.62,21.2984,20.02,20.5998,54757,0
CVNX.US,D,20250731,000000,27.64,30.3,25.66,27.87,93695,0
CVNX.US,D,20250801,000000,25.66,25.9401,23.83,24.4669,32127,0
CVNX.US,D,20250804,000000,24.26,24.5,22.3501,23.3994,18494,0
CVNX.US,D,20250805,000000,23.86,24.5399,21.41,22.0178,14982,0
CVNX.US,D,20250806,000000,21.99,22.6137,21.65,22.61,13050,0
CVNX.US,D,20250807,000000,23.81,24.2937,22.1,22.8461,34979,0
CVNX.US,D,20250808,000000,22.29,22.29,20.834,21.3,32698,0
CVNX.US,D,20250811,000000,21.31,21.91,20.8,21.2601,17302,0
CVNX.US,D,20250812,000000,21.76,22.3,20.2,21.2088,27756,0
CVNX.US,D,20250813,000000,21.1,22.0144,21.1,21.8265,15936,0
CVNX.US,D,20250814,000000,21.64,21.67,19.83,20.9963,16572,0
CVNX.US,D,20250815,000000,20.69,21.94,20.38,21.7862,14067,0
CVNX.US,D,20250818,000000,22,23.44,22,22.9487,23874,0
CVNX.US,D,20250819,000000,22.68,22.68,20.7102,20.9987,19586,0
CVNX.US,D,20250820,000000,19.49,20.7467,17.94,20.3791,33052,0
CVNX.US,D,20250821,000000,19.915,20.4906,19.85,20.3231,6674,0
CVNX.US,D,20250822,000000,20.05,23.07,19.97,22.3953,41819,0
CVNX.US,D,20250825,000000,22.49,23.84,22.3585,23.1025,29402,0
CVNX.US,D,20250826,000000,22.85,24.38,22.6467,24.2303,25384,0
CVNX.US,D,20250827,000000,24.44,24.483,23.54,23.8834,16247,0
CVNX.US,D,20250828,000000,24.36,24.99,24.165,24.9275,7946,0
CVNX.US,D,20250829,000000,24.4,24.4615,23.53,24.2208,15936,0
CVNX.US,D,20250902,000000,22.739,23.85,22.5,23.5301,14947,0
CVNX.US,D,20250903,000000,23.49,24.0228,22.645,22.9647,6346,0
CVNX.US,D,20250904,000000,23.575,24.11,22.4072,24.0486,6893,0
CVNX.US,D,20250905,000000,24.6032,24.6032,22.14,23.8097,9577,0
CVNX.US,D,20250908,000000,23.53,24.94,23.355,24.1388,18497,0
CVNX.US,D,20250909,000000,24.51,24.7599,23.67,24.5518,14941,0
CVNX.US,D,20250910,000000,25.06,25.25,23.2,23.3721,13818,0
CVNX.US,D,20250911,000000,23.46,23.46,21.6786,21.8803,16722,0
CVNX.US,D,20250912,000000,21.51,23.75,21.42,22.7141,21881,0
CVNX.US,D,20250915,000000,22.71,23.63,22.703,23.1272,5948,0
CVNX.US,D,20250916,000000,23.26,23.2689,22.44,23.1209,14065,0
CVNX.US,D,20250917,000000,23.68,24.98,23.5671,24.705,44556,0
CVNX.US,D,20250918,000000,25.5,27.1853,24.55,24.7987,53275,0
CVNX.US,D,20250919,000000,25.8,26.5826,25.22,26.5671,19191,0
CVNX.US,D,20250922,000000,25.79,26.6261,25.54,26.4971,10549,0
CVNX.US,D,20250923,000000,26.56,26.84,24.42,24.6577,23541,0
CVNX.US,D,20250924,000000,24.761,24.761,23.48,24.2128,14423,0
CVNX.US,D,20250925,000000,22.37,24.65,21.78,23.7353,33223,0
CVNX.US,D,20250926,000000,23.62,23.62,22.45,23.4228,7070,0
CVNX.US,D,20250929,000000,23.98,26.71,23.83,26.3323,34727,0
CVNX.US,D,20250930,000000,26.39,26.59,24.26,24.5066,37630,0
CVNX.US,D,20251001,000000,25.98,27.25,25.18,26.7275,22048,0
CVNX.US,D,20251002,000000,27.18,27.18,25.7487,26.33,20147,0
CVNX.US,D,20251003,000000,26.5,26.5,23.75,24.1077,18797,0
CVNX.US,D,20251006,000000,24.22,24.29,22.8,23.2869,21060,0
CVNX.US,D,20251007,000000,23.6499,24.06,22.29,23.2707,26089,0
CVNX.US,D,20251008,000000,23.62,23.62,22.2,22.2273,21533,0
CVNX.US,D,20251009,000000,21.98,22.1,20.4548,21.8097,25215,0
CVNX.US,D,20251010,000000,22.24,22.3315,18.2501,18.3517,53897,0
CVNX.US,D,20251013,000000,18.455,19.35,18.455,19.2156,13328,0
CVNX.US,D,20251014,000000,17.82,20.3609,17.488187,19.79,16059,0
CVNX.US,D,20251015,000000,21.12,22,20.67,21.1618,12682,0
CVNX.US,D,20251016,000000,21.25,21.85,19.5778,19.815,8710,0
CVNX.US,D,20251017,000000,18.74,18.8617,17.68,18.29,12562,0
CVNX.US,D,20251020,000000,18.45,19.25,17.62,18.955,9637,0
CVNX.US,D,20251021,000000,20.25,21.1466,19.19,20.985,31760,0
CVNX.US,D,20251022,000000,20.5,20.5,15.8,17.6329,128964,0
CVNX.US,D,20251023,000000,16.1,19.0699,16.1,19.0699,34788,0
CVNX.US,D,20251024,000000,19.72,20.97,19.72,20.232,100805,0
CVNX.US,D,20251027,000000,20.89,21.68,20.06,20.6609,91005,0
CVNX.US,D,20251028,000000,22,22.74,21.25,21.4605,99789,0
CVNX.US,D,20251029,000000,21.64,22.52,20.05,20.72,231432,0
CVNX.US,D,20251030,000000,15.62,17.25,14.5,15.07,254042,0
CVNX.US,D,20251031,000000,15.35,15.35,14.1748,15.23,63606,0
CVNX.US,D,20251103,000000,14.84,17.6893,14.8,17.5891,112467,0
CVNX.US,D,20251104,000000,16.35,16.7,15.15,15.1798,41589,0
CVNX.US,D,20251105,000000,15.05,16.9199,14.96,15.041,51210,0
CVNX.US,D,20251106,000000,14.47,15.12,13.14,13.2435,57924,0
CVNX.US,D,20251107,000000,12.91,14.5999,12.62,14.3604,49203,0
CVNX.US,D,20251110,000000,14.91,16.56,14.91,16.1813,25845,0
CVNX.US,D,20251111,000000,16.351,16.85,15.7856,16.5851,22032,0
CVNX.US,D,20251112,000000,17.6,18.3526,16.71,16.7999,37788,0
CVNX.US,D,20251113,000000,16.295,16.636,15.29,15.7495,22812,0
CVNX.US,D,20251114,000000,14.4,16.87,14.4,15.7085,25756,0
CVNX.US,D,20251117,000000,15.61,17.19,15.14,16.1111,39493,0
CVNX.US,D,20251118,000000,16.1,16.5,14.955,15.6831,21923,0
CVNX.US,D,20251119,000000,16.1372,16.8156,15.79,16.8156,20731,0
CVNX.US,D,20251120,000000,16.88,17.8,14.8355,15.1006,29407,0
CVNX.US,D,20251121,000000,15.604,16.22,14.7,14.8602,33420,0
CVNX.US,D,20251124,000000,15.88,17.14,15.88,16.7719,27079,0
CVNX.US,D,20251125,000000,17.0985,18.77,16.64,18.7019,29225,0
CVNX.US,D,20251126,000000,19.27,20.128,18.7051,19.4991,30114,0
CVNX.US,D,20251128,000000,20.05,21.3273,20.05,21.0835,19136,0
CVNX.US,D,20251201,000000,20.84,22.165,20.66,21.3816,26204,0
CVNX.US,D,20251202,000000,21.98,23.0156,20.96,22.1376,28517,0
CVNX.US,D,20251203,000000,21.77,24.33,21.77,23.6089,37256,0
CVNX.US,D,20251204,000000,23.48,24.245,22.565,24.0634,21384,0
CVNX.US,D,20251205,000000,24.205,25,24.1227,24.1938,81491,0
CVNX.US,D,20251208,000000,28,30.81,27.1426,29.923,220438,0
CVNX.US,D,20251209,000000,29.65,31.315,28.69,31.0354,58670,0
CVNX.US,D,20251210,000000,31.19,33.4254,30.933,32.578,50671,0
CVNX.US,D,20251211,000000,32.23,33.565,32.09,32.94,38947,0
CVNX.US,D,20251212,000000,32.79,34.99,30.5601,30.8329,41258,0
CVNX.US,D,20251215,000000,32.09,32.16,29.51,29.8781,29165,0
CVNX.US,D,20251216,000000,30.0484,31.919,30.0484,30.8688,27823,0
CVNX.US,D,20251217,000000,31.3696,31.65,29.53,29.534,17255,0
CVNX.US,D,20251218,000000,30.1049,32.27,30.09,32.0944,61654,0
CVNX.US,D,20251219,000000,32.19,33.25,29.77,30.0381,34091,0
CVNX.US,D,20251222,000000,29.63,30.9,27.165,27.46,95699,0
CVNX.US,D,20251223,000000,27.48,28.325,26.44,28.1105,17991,0
CVNX.US,D,20251224,000000,28.41,28.93,28.41,28.6981,8378,0
CVNX.US,D,20251226,000000,28.78,28.78,28.04,28.2161,28009,0
CVNX.US,D,20251229,000000,28.4,28.4,26.9752,27.545,14728,0
CVNX.US,D,20251230,000000,27.14,27.5896,27.05,27.0609,14391,0
CVNX.US,D,20251231,000000,26.8416,26.88,26.0101,26.13,10209,0
CVNX.US,D,20260102,000000,26.03,26.031,22.21,23.2897,40304,0
CVNX.US,D,20260105,000000,23.61,27.34,23.61,26.8708,38548,0
CVNX.US,D,20260106,000000,27.24,28.2868,26.5,28.2868,17914,0
CVNX.US,D,20260107,000000,28.62,29.81,28.205,29.5274,14819,0
CVNX.US,D,20260108,000000,28.91,30.005,27.1,28.3547,29611,0
CVNX.US,D,20260109,000000,29.2,31.21,29.09,31.0724,23939,0
CVNX.US,D,20260112,000000,30.34,32,30.24,31.1528,10944,0
CVNX.US,D,20260113,000000,32.06,32.06,30.03,31.5925,27156,0
CVNX.US,D,20260114,000000,31.0245,32.2,29.31,30.2806,18357,0
CVNX.US,D,20260115,000000,32.21,32.21,30.14,30.5426,11375,0
CVNX.US,D,20260116,000000,29.68,30.7,28.01,28.1428,14995,0
CVNX.US,D,20260120,000000,26.8,28.925,26.8,27.9935,13301,0
CVNX.US,D,20260121,000000,28.13,29.82,28.13,29.6955,10538,0
CVNX.US,D,20260122,000000,30.64,32.95,30.64,32.95,29654,0
CVNX.US,D,20260123,000000,32.93,33.4484,30.52,31.8861,22068,0
