<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IONZ.US,D,20250624,000000,115.44,121.93,114.84,121.93,354.0000000708,0
IONZ.US,D,20250625,000000,116.1,137.711,116.1,137.711,5331.5000010663,0
IONZ.US,D,20250626,000000,129.84,129.84,112.2,116.791,25391.333338411598,0
IONZ.US,D,20250627,000000,116.04,127.5,112.86,121.035,8851.8333351037,0
IONZ.US,D,20250630,000000,113.7,115.5,98.22,104.22,92218.333351777,0
IONZ.US,D,20250701,000000,107.16,120.12,106.08,118.082,28090.1666722847,0
IONZ.US,D,20250702,000000,112.86,114.78,90.0666,91.14,89264.0000178528,0
IONZ.US,D,20250703,000000,93.18,97.02,88.02,92.52,36163.0000072326,0
IONZ.US,D,20250707,000000,81.42,97.8,80.1,89.28,45030.5000090061,0
IONZ.US,D,20250708,000000,84.06,90.84,79.08,89.22,47789.0000095578,0
IONZ.US,D,20250709,000000,86.88,91.8,81.0006,87.24,37130.166674092696,0
IONZ.US,D,20250710,000000,88.5,91.38,84.6,85.74,26122.6666718912,0
IONZ.US,D,20250711,000000,89.64,101.28,87.6,101.119,28240.5000056481,0
IONZ.US,D,20250714,000000,98.64,103.38,96.84,98.04,33393.8333400121,0
IONZ.US,D,20250715,000000,97.8,104.34,95.16,102.96,19352.3333372038,0
IONZ.US,D,20250716,000000,99.48,105.66,92.31,92.5782,69661.0000139322,0
IONZ.US,D,20250717,000000,92.46,93.96,87,87.1464,43067.5000086135,0
IONZ.US,D,20250718,000000,87,90,76.26,80.7054,110054.16668867749,0
IONZ.US,D,20250721,000000,78.9,87.78,76.44,87.78,102159.33335376519,0
IONZ.US,D,20250722,000000,88.14,99.72,88.14,96.8214,77457.1666821581,0
IONZ.US,D,20250723,000000,94.14,97.8,90,91.4292,39054.6666744776,0
IONZ.US,D,20250724,000000,92.94,95.5194,85.56,88.3668,42756.0000085512,0
IONZ.US,D,20250725,000000,87.3,92.3994,87.24,91.2,40590.3333414514,0
IONZ.US,D,20250728,000000,88.08,98.58,85.8,94.4442,28364.0000056728,0
IONZ.US,D,20250729,000000,91.38,103.5,86.8998,102.42,54295.166677525696,0
IONZ.US,D,20250730,000000,100.44,109.5,96.2556,106.12,50142.6666766952,0
IONZ.US,D,20250731,000000,99.36,107.46,93.96,106.423,87278.50001745569,0
IONZ.US,D,20250801,000000,114.24,120.06,110.1,115.38,87508.50001750169,0
IONZ.US,D,20250804,000000,109.56,113.58,100.08,104.76,50045.8333433425,0
IONZ.US,D,20250805,000000,101.4,103.184,91.62,93.4122,154099.0000308198,0
IONZ.US,D,20250806,000000,87.9,99,87.9,97.02,135691.5000271383,0
IONZ.US,D,20250807,000000,107.58,108.9,95.484,100.529,154763.333364286,0
IONZ.US,D,20250808,000000,98.46,101.039,91.26,93.72,226848.8333787031,0
IONZ.US,D,20250811,000000,94.68,95.2656,71.6946,80.1594,369885.6667406438,0
IONZ.US,D,20250812,000000,79.86,88.038,79.8,86.7,85548.83335044309,0
IONZ.US,D,20250813,000000,86.34,95.82,84.66,93.9162,81429.00001628579,0
IONZ.US,D,20250814,000000,97.56,102.72,94.32,94.509,84940.1666836547,0
IONZ.US,D,20250815,000000,95.46,102,95.46,98.16,78786.3333490906,0
IONZ.US,D,20250818,000000,99.42,103.98,97.2,97.7832,70748.6666808164,0
IONZ.US,D,20250819,000000,101.039,116.04,99.7974,114.84,104750.8333542835,0
IONZ.US,D,20250820,000000,110.46,127.5,110.46,115.08,173514.0000347028,0
IONZ.US,D,20250821,000000,112.56,117,111.48,112.886,63825.3333460984,0
IONZ.US,D,20250822,000000,113.7,115.38,96.12,96.66,86389.0000172778,0
IONZ.US,D,20250825,000000,97.68,102.9,96.84,102.12,47414.0000094828,0
IONZ.US,D,20250826,000000,101.28,102.114,90.6,90.9972,99388.1666865443,0
IONZ.US,D,20250827,000000,90.36,90.9576,82.7346,88.08,110756.0000221512,0
IONZ.US,D,20250828,000000,87,87.0594,78.66,80.46,190458.1667047583,0
IONZ.US,D,20250829,000000,82.92,85.386,80.4,81.9,146564.6666959796,0
IONZ.US,D,20250902,000000,88.8,91.68,81,81.24,188714.8333710763,0
IONZ.US,D,20250903,000000,82.26,90.12,80.64,88.62,127684.1666922035,0
IONZ.US,D,20250904,000000,87.9,89.5386,79.92,83.76,205353.6667077374,0
IONZ.US,D,20250905,000000,82.2,90.06,81.42,85.08,158545.8333650425,0
IONZ.US,D,20250908,000000,84,90.6,82.08,88.26,70485.8333474305,0
IONZ.US,D,20250909,000000,86.22,88.05,74.28,75.66,169434.1667005535,0
IONZ.US,D,20250910,000000,74.28,76.74,71.232,75.84,153652.5000307305,0
IONZ.US,D,20250911,000000,74.58,77.22,64.35,65.04,337025.33340073837,0
IONZ.US,D,20250912,000000,64.02,64.08,40.08,41.52,3781924.1674230513,0
IONZ.US,D,20250915,000000,39.12,40.56,34.86,36,2203470.3337740274,0
IONZ.US,D,20250916,000000,36.3,38.34,31.4472,32.1,1808590.8336950515,0
IONZ.US,D,20250917,000000,31.14,33.3,27.84,28.8,4768649.834287063,0
IONZ.US,D,20250918,000000,26.04,28.8,24.4806,27.54,5588774.667784422,0
IONZ.US,D,20250919,000000,28.38,28.38,23.88,24.54,8020866.334937506,0
IONZ.US,D,20250922,000000,26.28,27.48,22.68,23.46,8178406.834969014,0
IONZ.US,D,20250923,000000,22.14,23.76,20.8272,21.42,10384361.668743538,0
IONZ.US,D,20250924,000000,21.36,23.7,20.94,22.02,10540058.835441345,0
IONZ.US,D,20250925,000000,23.64,26.16,22.98,24.66,14571319.836247597,0
IONZ.US,D,20250926,000000,25.2,27.48,23.94,26.1,11905541.002381107,0
IONZ.US,D,20250929,000000,25.02,29.16,24.84,28.38,6807644.501361528,0
IONZ.US,D,20250930,000000,28.98,31.53,27.66,30.72,7180087.8347693505,0
IONZ.US,D,20251001,000000,30.78,31.98,27.33,29.04,8005784.668267823,0
IONZ.US,D,20251002,000000,27.57,27.7716,23.1,23.16,10096420.16868595,0
IONZ.US,D,20251003,000000,22.32,23.7,20.28,20.4,12969483.502593895,0
IONZ.US,D,20251006,000000,21.21,21.3,17.1,17.34,15525407.003105082,0
IONZ.US,D,20251007,000000,16.5,18.78,15.6,17.1,22330295.004466057,0
IONZ.US,D,20251008,000000,17.25,19.98,16.02,19.2,17508619.336835057,0
IONZ.US,D,20251009,000000,18.9,19.56,17.28,17.46,13169358.835967205,0
IONZ.US,D,20251010,000000,17.76,20.52,17.58,20.46,21463614.504292723,0
IONZ.US,D,20251013,000000,18.48,19.32,12.4806,13.8,23088767.17128442,0
IONZ.US,D,20251014,000000,14.76,15.96,14.22,15.42,12236825.835780699,0
IONZ.US,D,20251015,000000,14.52,18.1134,14.4,17.28,11792477.335691828,0
IONZ.US,D,20251016,000000,16.8,20.7,16.74,20.64,12658342.169198334,0
IONZ.US,D,20251017,000000,20.76,23.4,20.52,22.2,13360361.669338739,0
IONZ.US,D,20251020,000000,20.4,25.2516,20.4,24.3,7909543.834915242,0
IONZ.US,D,20251021,000000,23.94,26.5128,23.52,24.66,7563166.834845967,0
IONZ.US,D,20251022,000000,25.8,30.6594,24.78,27.96,7951277.668256922,0
IONZ.US,D,20251023,000000,22.56,26.34,20.46,23.88,13708927.502741786,0
IONZ.US,D,20251024,000000,21.6,23.3394,19.98,22.92,6674888.834668311,0
IONZ.US,D,20251027,000000,21.06,21.54,19.2,21.12,7344635.501468927,0
IONZ.US,D,20251028,000000,21.18,24.99,20.0328,24.9,6506049.667967876,0
IONZ.US,D,20251029,000000,23.52,24.24,20.6568,21.42,6252672.001250534,0
IONZ.US,D,20251030,000000,22.68,23.4672,20.94,22.02,4588719.500917744,0
IONZ.US,D,20251031,000000,21.54,22.2,20.028,20.4,4035343.1674737353,0
IONZ.US,D,20251103,000000,20.37,24.18,20.22,22.92,4015038.5008030077,0
IONZ.US,D,20251104,000000,25.02,27.1104,23.94,26.82,4876276.834308589,0
IONZ.US,D,20251105,000000,25.08,27.18,23.82,24.78,5281996.667723066,0
IONZ.US,D,20251106,000000,23.16,25.92,21.6,22.8,8148819.16829643,0
IONZ.US,D,20251107,000000,24.9,27.84,21.3,21.3,8248159.168316298,0
IONZ.US,D,20251110,000000,21.9,24.54,21.48,24.12,5348551.834403044,0
IONZ.US,D,20251111,000000,24.72,25.5,23.52,24.84,3912271.8341157874,0
IONZ.US,D,20251112,000000,24.54,28.98,23.82,28.2,4651888.500930377,0
IONZ.US,D,20251113,000000,29.58,35.34,29.22,34.02,6330318.16793273,0
IONZ.US,D,20251114,000000,37.53,37.68,28.8132,31.2,8504451.668367557,0
IONZ.US,D,20251117,000000,31.74,32.76,28.44,30.24,4737893.500947579,0
IONZ.US,D,20251118,000000,31.02,31.14,27.1716,28.62,4529400.50090588,0
IONZ.US,D,20251119,000000,28.44,30.63,26.7,30,2726263.0005452526,0
IONZ.US,D,20251120,000000,29.04,38.94,27.9,38.52,5876582.167841983,0
IONZ.US,D,20251121,000000,34.98,43.6806,34.86,36.72,6101313.834553596,0
IONZ.US,D,20251124,000000,35.04,35.52,27,28.02,3256964.1673180596,0
IONZ.US,D,20251125,000000,28.2,30.8988,26.52,27.54,2775213.667221709,0
IONZ.US,D,20251126,000000,26.94,28.6206,26.0388,27.54,1524085.1669714837,0
IONZ.US,D,20251128,000000,26.58,26.76,24.06,24.78,1765799.6670198266,0
IONZ.US,D,20251201,000000,25.2,27.3228,25.086,26.76,1900212.167046709,0
IONZ.US,D,20251202,000000,26.16,27.1092,24.39,26.8974,1828075.3336989484,0
IONZ.US,D,20251203,000000,26.88,28.8,24.7194,24.96,2302302.833793794,0
IONZ.US,D,20251204,000000,24.84,25.26,18.12,18.6,6636653.167993997,0
IONZ.US,D,20251205,000000,19.2,21.06,18.96,19.92,3765622.3340864577,0
IONZ.US,D,20251208,000000,19.02,20.88,18.36,18.72,1995968.333732527,0
IONZ.US,D,20251209,000000,18.9,19.65,17.84,18.7,987763,0
IONZ.US,D,20251210,000000,19.25,20.81,19.225,20.5,1277286,0
IONZ.US,D,20251211,000000,20.13,22.5096,19.49,19.77,1929219,0
IONZ.US,D,20251212,000000,20.16,22.28,19.49,21.32,1263088,0
IONZ.US,D,20251215,000000,21,25.6896,20.74,24.96,1258780,0
IONZ.US,D,20251216,000000,23.72,23.7332,20.8001,21.03,2173362,0
IONZ.US,D,20251217,000000,20.49,24.27,18.93,24.17,2581911,0
IONZ.US,D,20251218,000000,21.61,23.94,21.18,23.47,2189714,0
IONZ.US,D,20251219,000000,22.74,22.91,20.3462,21.28,2385799,0
IONZ.US,D,20251222,000000,20.06,20.25,15.14,16.61,3479641,0
IONZ.US,D,20251223,000000,17.21,18.0585,16,17.91,2129088,0
IONZ.US,D,20251224,000000,17.58,19.6892,17.54,18.89,1173826,0
IONZ.US,D,20251226,000000,19.09,21.91,19.06,21.7,1148621,0
IONZ.US,D,20251229,000000,22.13,22.97,21.03,22.38,1035277,0
IONZ.US,D,20251230,000000,21.11,22.53,20.86,22.29,834222,0
