<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBYY.US,D,20251021,000000,24.81,24.81,24.6963,24.6963,1604,0
BBYY.US,D,20251022,000000,24.65,24.69,24.625,24.625,1449,0
BBYY.US,D,20251023,000000,24.82,24.9,24.8087,24.8425,13222,0
BBYY.US,D,20251024,000000,24.66,24.66,24.5,24.5,15841,0
BBYY.US,D,20251027,000000,24.8,24.84,24.71,24.775,7206,0
BBYY.US,D,20251028,000000,24.77,24.775,24.59,24.68,4729,0
BBYY.US,D,20251029,000000,24.944,25.02,24.93,24.9903,4038,0
BBYY.US,D,20251030,000000,24.57,24.83,24.545,24.5862,9470,0
BBYY.US,D,20251031,000000,23.7801,23.7801,23.47,23.672,7636,0
BBYY.US,D,20251103,000000,23.4,23.51,23.3355,23.44,9238,0
BBYY.US,D,20251104,000000,22.915,23.26,22.84,23.1115,3083,0
BBYY.US,D,20251105,000000,23.16,23.27,23.0472,23.1407,8498,0
BBYY.US,D,20251106,000000,23.629,23.79,23.22,23.4832,10017,0
BBYY.US,D,20251107,000000,22.21,22.6377,22.08,22.6377,10484,0
BBYY.US,D,20251110,000000,22.6,22.775,22.59,22.7139,1827,0
BBYY.US,D,20251111,000000,22.63,22.63,22.1605,22.1605,2263,0
BBYY.US,D,20251112,000000,22.17,22.17,21.7107,21.808,5796,0
BBYY.US,D,20251113,000000,22.51,22.51,21.815,21.9775,4954,0
BBYY.US,D,20251114,000000,20.97,21.89,20.31,20.88,14986,0
BBYY.US,D,20251117,000000,21.1171,21.31,21.1171,21.2348,1752,0
BBYY.US,D,20251118,000000,21.251,21.3711,21.25,21.3711,5064,0
BBYY.US,D,20251119,000000,21.34,21.4198,21.34,21.4198,323,0
BBYY.US,D,20251120,000000,21.5637,21.5637,21.025,21.025,2087,0
BBYY.US,D,20251121,000000,20.38,20.8638,20.1,20.8638,4162,0
BBYY.US,D,20251124,000000,21.34,21.46,21.34,21.46,2143,0
BBYY.US,D,20251125,000000,21.46,21.46,21.39,21.3961,1480,0
BBYY.US,D,20251126,000000,21.5358,21.59,21.49,21.53,3955,0
BBYY.US,D,20251128,000000,21.2,21.25,21.1944,21.22,586,0
BBYY.US,D,20251201,000000,21.37,21.72,21.2,21.685,1184,0
BBYY.US,D,20251202,000000,21.52,21.5711,21.45,21.5711,2608,0
BBYY.US,D,20251203,000000,21.32,21.405,21.31,21.405,2464,0
BBYY.US,D,20251204,000000,21.45,21.49,21.385,21.4598,2142,0
BBYY.US,D,20251205,000000,21.35,21.445,20.97,21.445,1378,0
BBYY.US,D,20251208,000000,21.28,21.4346,21.28,21.4346,1434,0
BBYY.US,D,20251209,000000,21.115,21.254,21.115,21.254,937,0
BBYY.US,D,20251210,000000,21.68,21.809,21.66,21.694,1823,0
BBYY.US,D,20251211,000000,21.21,21.5013,20.95,21.5013,4981,0
BBYY.US,D,20251212,000000,21.32,21.4,20.6,20.9126,9373,0
BBYY.US,D,20251215,000000,20.37,20.41,20.27,20.27,6284,0
BBYY.US,D,20251216,000000,20.15,20.17,19.99,20.1688,1997,0
BBYY.US,D,20251217,000000,20.18,20.18,19.86,19.86,1057,0
BBYY.US,D,20251218,000000,19.81,20,19.785,19.785,9441,0
BBYY.US,D,20251219,000000,19.53,19.96,19.53,19.5759,3143,0
BBYY.US,D,20251222,000000,19.58,19.73,19.54,19.73,1520,0
BBYY.US,D,20251223,000000,19.64,19.835,19.64,19.835,941,0
BBYY.US,D,20251224,000000,19.789,19.84,19.785,19.789,12781,0
BBYY.US,D,20251226,000000,19.56,19.77,19.56,19.74,4799,0
BBYY.US,D,20251229,000000,19.14,19.25,19.0201,19.2448,12453,0
BBYY.US,D,20251230,000000,19.23,19.23,19.04,19.077,5162,0
BBYY.US,D,20251231,000000,18.845,18.8825,18.7718,18.8825,1363,0
BBYY.US,D,20260102,000000,19.6625,19.7899,19.6625,19.7814,1190,0
BBYY.US,D,20260105,000000,19.48,19.7846,19.48,19.7846,1000,0
BBYY.US,D,20260106,000000,19.64,19.7388,19.32,19.32,3294,0
BBYY.US,D,20260107,000000,18.93,19.01,18.847,18.847,5153,0
BBYY.US,D,20260108,000000,18.85,19.86,18.85,19.8566,5204,0
BBYY.US,D,20260109,000000,18.99,18.99,18.5265,18.8596,1919,0
BBYY.US,D,20260112,000000,19.35,19.41,19.3218,19.38,2024,0
BBYY.US,D,20260113,000000,19.4,19.4,19.365,19.365,3020,0
BBYY.US,D,20260114,000000,19.33,19.43,19.33,19.405,3791,0
BBYY.US,D,20260115,000000,19.39,19.48,19.3899,19.4,4490,0
BBYY.US,D,20260116,000000,18.94,18.948,18.8956,18.948,6647,0
BBYY.US,D,20260120,000000,18.73,18.84,18.51,18.5463,3099,0
BBYY.US,D,20260121,000000,19.13,19.45,19.05,19.3527,3487,0
BBYY.US,D,20260122,000000,19.71,19.76,19.63,19.66,5169,0
BBYY.US,D,20260123,000000,19.21,19.2697,19.09,19.235,5482,0
