<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUUU.US,D,20250814,000000,4,4.3,3.67,4,1682100,0
BUUU.US,D,20250815,000000,3.79,4.23,3.7605,4.13,1229200,0
BUUU.US,D,20250818,000000,4.04,4.5,3.98,4.24,192800,0
BUUU.US,D,20250819,000000,4.13,4.2806,4.13,4.16,110400,0
BUUU.US,D,20250820,000000,3.97,4.39,3.97,4.3,69300,0
BUUU.US,D,20250821,000000,4.3,4.71,4.3,4.65,128700,0
BUUU.US,D,20250822,000000,4.73,5.5499,4.73,5.4,90900,0
BUUU.US,D,20250825,000000,5.54,6.7661,5.415,6.69,164187,0
BUUU.US,D,20250826,000000,6.78,7.4512,6.5,7.38,148193,0
BUUU.US,D,20250827,000000,7.68,7.78,5.6075,5.88,127356,0
BUUU.US,D,20250828,000000,5.82,6.9,5.02,6.5392,65744,0
BUUU.US,D,20250829,000000,6.39,7.8,5.95,6.5,65244,0
BUUU.US,D,20250902,000000,6.4,6.8,6.1189,6.69,14107,0
BUUU.US,D,20250903,000000,6.2679,7.4,6.2679,6.96,34231,0
BUUU.US,D,20250904,000000,7.01,7.2354,6,6.62,197451,0
BUUU.US,D,20250905,000000,6.16,6.89,5.54,6.56,29219,0
BUUU.US,D,20250908,000000,6.61,6.65,5.3,5.34,66795,0
BUUU.US,D,20250909,000000,5.28,6.98,5.245,6.13,126689,0
BUUU.US,D,20250910,000000,6.74,6.9,6.1,6.66,48366,0
BUUU.US,D,20250911,000000,6.95,6.95,6.0612,6.7,26843,0
BUUU.US,D,20250912,000000,6.6,7.67,6.2,7.04,61477,0
BUUU.US,D,20250915,000000,6.98,9.5,6.855,7.3,117509,0
BUUU.US,D,20250916,000000,7.9,8.97,7.5035,8.14,27223,0
BUUU.US,D,20250917,000000,7.99,8.3,7.2962,7.86,29391,0
BUUU.US,D,20250918,000000,8,8,7.5,7.6,11530,0
BUUU.US,D,20250919,000000,7.7,8.0803,7.7,7.8,15139,0
BUUU.US,D,20250922,000000,8.05,8.3,7.9,8.03,6011,0
BUUU.US,D,20250923,000000,7.8212,8.25,7.81,8.1545,14568,0
BUUU.US,D,20250924,000000,8.15,8.2,7.85,8.01,8836,0
BUUU.US,D,20250925,000000,8.0303,8.29,8.01,8.29,3046,0
BUUU.US,D,20250926,000000,8.54,8.825,6.6,8.45,76547,0
BUUU.US,D,20250929,000000,8.05,9.1,7.9076,9.08,63718,0
BUUU.US,D,20250930,000000,8.7001,8.97,8.15,8.15,7526,0
BUUU.US,D,20251001,000000,8.3,8.95,8.3,8.61,4246,0
BUUU.US,D,20251002,000000,8.2,8.9,8.05,8.56,28811,0
BUUU.US,D,20251003,000000,8.29,8.595,8.29,8.5397,1856,0
BUUU.US,D,20251006,000000,8.1696,8.6,8.03,8.5,24969,0
BUUU.US,D,20251007,000000,8.41,8.8,8.22,8.43,4078,0
BUUU.US,D,20251008,000000,8.55,8.6,8.12,8.45,21825,0
BUUU.US,D,20251009,000000,8.1,8.4,7.89,8.12,66873,0
BUUU.US,D,20251010,000000,8.26,8.26,7.86,8.1,8804,0
BUUU.US,D,20251013,000000,8.35,8.4,8.21,8.24,7811,0
BUUU.US,D,20251014,000000,8.5,8.6,8.4,8.4,2474,0
BUUU.US,D,20251017,000000,8.45,8.45,8.45,8.45,406,0
BUUU.US,D,20251020,000000,8.6,8.6,8.31,8.31,1003,0
BUUU.US,D,20251021,000000,8.12,8.32,8.1121,8.1121,2123,0
BUUU.US,D,20251022,000000,8.15,8.4468,8.1,8.1,1560,0
BUUU.US,D,20251023,000000,8.272,8.272,8.2,8.2111,846,0
BUUU.US,D,20251024,000000,8.1,8.14,8.1,8.1,3444,0
BUUU.US,D,20251027,000000,7.09,8.1,6.4875,7.76,53356,0
BUUU.US,D,20251028,000000,8.2,8.2,7.75,7.75,1550,0
BUUU.US,D,20251029,000000,7.7872,7.7872,7.75,7.75,593,0
BUUU.US,D,20251030,000000,7.93,8.37,7.93,8,982,0
BUUU.US,D,20251031,000000,7.856,7.856,7.4183,7.49,3376,0
BUUU.US,D,20251104,000000,8.3,8.3,8,8,632,0
BUUU.US,D,20251105,000000,7.8,7.8,7.11,7.11,1043,0
BUUU.US,D,20251106,000000,7.5,7.6234,6.13,6.6,9676,0
BUUU.US,D,20251107,000000,6.93,8.99,6.93,8.18,34288,0
BUUU.US,D,20251110,000000,6,8.9,5.7,7.9999,80179,0
BUUU.US,D,20251111,000000,8,8.76,7.5,8.76,460727,0
BUUU.US,D,20251112,000000,8.89,9.34,8.02,8.74,154906,0
BUUU.US,D,20251113,000000,8.05,8.5,7.9,8.08,8530,0
BUUU.US,D,20251114,000000,7.86,8,7.82,8,2786,0
BUUU.US,D,20251117,000000,7.84,8.01,6.6,7.99,8826,0
BUUU.US,D,20251118,000000,7.5,7.5,7.5,7.5,490,0
BUUU.US,D,20251119,000000,7.5,9.37,7.48,9.37,37137,0
BUUU.US,D,20251120,000000,9.09,9.09,8.1,8.1,1982,0
BUUU.US,D,20251121,000000,8.41,8.9,8.01,8.42,4400,0
BUUU.US,D,20251124,000000,9.08,9.08,7.55,8,17570,0
BUUU.US,D,20251125,000000,7.97,8.65,7.78,8.4,9187,0
BUUU.US,D,20251126,000000,8.6,8.85,7.53,8.02,6276,0
BUUU.US,D,20251128,000000,7.65,7.7,7.05,7.05,3709,0
BUUU.US,D,20251201,000000,7.06,7.77,7,7,2407,0
BUUU.US,D,20251202,000000,7.1,7.6,7.1,7.5,10217,0
BUUU.US,D,20251203,000000,7.4,8.49,7.4,8.41,10972,0
BUUU.US,D,20251204,000000,8.07,9,8.07,8.5,20329,0
BUUU.US,D,20251205,000000,7.72,8.1492,7.6,7.98,16886,0
BUUU.US,D,20251208,000000,8.47,8.49,7.64,7.8,3246,0
BUUU.US,D,20251210,000000,7.79,7.79,7.01,7.01,2452,0
BUUU.US,D,20251211,000000,7.22,7.94,7.22,7.7,3388,0
BUUU.US,D,20251212,000000,8,8,8,8,403,0
BUUU.US,D,20251215,000000,7.22,8.55,7.22,8.1,13582,0
BUUU.US,D,20251216,000000,8.25,8.28,8.11,8.11,1070,0
BUUU.US,D,20251217,000000,7.9,8.9,7.3,8.7505,74750,0
BUUU.US,D,20251218,000000,8.75,8.9,8,8.03,1485,0
BUUU.US,D,20251219,000000,7.3,8.25,7.23,7.91,1682,0
BUUU.US,D,20251222,000000,7.82,7.82,7.3,7.42,1473,0
BUUU.US,D,20251223,000000,7.8,8.37,7.55,7.55,13150,0
BUUU.US,D,20251224,000000,8,8.39,7.99,8.39,5772,0
BUUU.US,D,20251226,000000,8.39,8.39,8.39,8.39,1282,0
BUUU.US,D,20251229,000000,8.39,8.49,8.34,8.49,2820,0
BUUU.US,D,20251230,000000,8.16,20.76,7.8,8.97,1173138,0
BUUU.US,D,20251231,000000,8.1,8.395,6.1,6.42,131602,0
BUUU.US,D,20260102,000000,6.33,9.99,6.33,7.41,458643,0
BUUU.US,D,20260105,000000,7.21,8.7999,7.21,7.8,57653,0
BUUU.US,D,20260106,000000,7.445,7.96,7,7.43,37001,0
BUUU.US,D,20260107,000000,7.7862,7.7862,7,7,14545,0
BUUU.US,D,20260108,000000,7,7.5051,6.825,7.1,35061,0
BUUU.US,D,20260109,000000,7.3,8.5,7,7.78,56146,0
BUUU.US,D,20260112,000000,7.73,9.1,7.54,8.8,60568,0
BUUU.US,D,20260113,000000,8.91,9.37,8.52,8.52,33811,0
BUUU.US,D,20260114,000000,8.56,8.56,8,8.39,43497,0
BUUU.US,D,20260115,000000,8.32,9.2,7.87,8.13,20712,0
BUUU.US,D,20260116,000000,8.1,8.1,7.08,7.77,24190,0
BUUU.US,D,20260120,000000,8,8.5,7.85,7.89,10174,0
BUUU.US,D,20260121,000000,8,8.03,7.82,8,9922,0
BUUU.US,D,20260122,000000,8,8.3,7.4583,8.01,11113,0
BUUU.US,D,20260123,000000,8.0102,8.025,8.0102,8.025,4014,0
