<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHACR.US,D,20250520,000000,0.23,0.23,0.22,0.22,936594,0
CHACR.US,D,20250521,000000,0.22,0.22,0.22,0.22,370100,0
CHACR.US,D,20250522,000000,0.21,0.2145,0.2,0.2,1144200,0
CHACR.US,D,20250523,000000,0.21,0.21,0.21,0.21,500000,0
CHACR.US,D,20250529,000000,0.21,0.21,0.21,0.21,12247,0
CHACR.US,D,20250530,000000,0.21,0.21,0.21,0.21,100,0
CHACR.US,D,20250602,000000,0.21,0.21,0.21,0.21,2100,0
CHACR.US,D,20250603,000000,0.204,0.2199,0.2001,0.2199,1200,0
CHACR.US,D,20250604,000000,0.2199,0.2199,0.21,0.2121,8418,0
CHACR.US,D,20250605,000000,0.215,0.2199,0.2001,0.21,187659,0
CHACR.US,D,20250606,000000,0.21,0.22,0.21,0.21,5841,0
CHACR.US,D,20250609,000000,0.212,0.215,0.21,0.21,25900,0
CHACR.US,D,20250611,000000,0.215,0.23,0.215,0.2299,56559,0
CHACR.US,D,20250612,000000,0.23,0.23,0.2299,0.2299,200,0
CHACR.US,D,20250613,000000,0.23,0.23,0.23,0.23,23900,0
CHACR.US,D,20250617,000000,0.23,0.23,0.23,0.23,100,0
CHACR.US,D,20250618,000000,0.23,0.23,0.23,0.23,134125,0
CHACR.US,D,20250620,000000,0.24,0.25,0.24,0.24,225170,0
CHACR.US,D,20250623,000000,0.24,0.24,0.2399,0.2399,4054,0
CHACR.US,D,20250624,000000,0.25,0.2675,0.23,0.24,108900,0
CHACR.US,D,20250625,000000,0.26,0.2773,0.245,0.245,83050,0
CHACR.US,D,20250626,000000,0.28,0.3178,0.23,0.26,188542,0
CHACR.US,D,20250627,000000,0.28,0.2899,0.2776,0.2849,143978,0
CHACR.US,D,20250630,000000,0.28,0.28,0.27,0.27,57588,0
CHACR.US,D,20250701,000000,0.28,0.28,0.245049,0.2799,108788,0
CHACR.US,D,20250702,000000,0.27,0.27,0.27,0.27,6200,0
CHACR.US,D,20250703,000000,0.27,0.27,0.27,0.27,3400,0
CHACR.US,D,20250708,000000,0.2301,0.244,0.2301,0.24,5393,0
CHACR.US,D,20250711,000000,0.2349,0.2597,0.2349,0.2597,6324,0
CHACR.US,D,20250715,000000,0.238,0.238,0.2301,0.2301,4700,0
CHACR.US,D,20250718,000000,0.2201,0.2201,0.2201,0.2201,103,0
CHACR.US,D,20250723,000000,0.22,0.2201,0.2199,0.2199,7830,0
CHACR.US,D,20250724,000000,0.23,0.23,0.23,0.23,3377,0
CHACR.US,D,20250725,000000,0.23,0.23,0.22,0.22,33700,0
CHACR.US,D,20250730,000000,0.22,0.2201,0.2099,0.21,54650,0
CHACR.US,D,20250731,000000,0.22,0.2202,0.21,0.2104,22000,0
CHACR.US,D,20250804,000000,0.23,0.23,0.23,0.23,1726,0
CHACR.US,D,20250811,000000,0.23,0.23,0.2299,0.2299,242,0
CHACR.US,D,20250812,000000,0.22,0.22,0.22,0.22,200,0
CHACR.US,D,20250819,000000,0.21,0.21,0.21,0.21,158,0
CHACR.US,D,20250820,000000,0.2145,0.2145,0.21,0.21,644,0
CHACR.US,D,20250821,000000,0.2001,0.21,0.2,0.21,2061,0
CHACR.US,D,20250829,000000,0.2,0.2,0.2,0.2,10198,0
CHACR.US,D,20250903,000000,0.21,0.21,0.2,0.2099,30202,0
CHACR.US,D,20250911,000000,0.1975,0.1975,0.1975,0.1975,300,0
CHACR.US,D,20250916,000000,0.21,0.225,0.2,0.225,57099,0
CHACR.US,D,20250918,000000,0.225,0.23,0.2195,0.23,26260,0
CHACR.US,D,20250919,000000,0.23,0.255,0.229386,0.24,228125,0
CHACR.US,D,20250922,000000,0.2493,0.255,0.2493,0.25,50348,0
CHACR.US,D,20250923,000000,0.2747,0.2747,0.256,0.26,2255,0
CHACR.US,D,20250924,000000,0.26,0.26,0.2599,0.2599,13910,0
CHACR.US,D,20250925,000000,0.2599,0.33,0.25,0.32,476063,0
CHACR.US,D,20250926,000000,0.32,0.4,0.32,0.4,554619,0
CHACR.US,D,20250929,000000,0.37,0.37,0.3392,0.36,1030,0
CHACR.US,D,20250930,000000,0.322,0.322,0.31,0.31,1796,0
CHACR.US,D,20251001,000000,0.32,0.32,0.27,0.31032,5988,0
CHACR.US,D,20251002,000000,0.2886,0.3084,0.285,0.3,1334,0
CHACR.US,D,20251003,000000,0.348,0.36,0.3384,0.35,12000,0
CHACR.US,D,20251006,000000,0.3559,0.37,0.31,0.341,30722,0
CHACR.US,D,20251007,000000,0.34,0.3656,0.3387,0.34,34089,0
CHACR.US,D,20251008,000000,0.33,0.38,0.33,0.37,153061,0
CHACR.US,D,20251009,000000,0.37,0.3861,0.37,0.37,71320,0
CHACR.US,D,20251010,000000,0.378,0.4108,0.378,0.38,37453,0
CHACR.US,D,20251013,000000,0.39,0.39,0.37,0.3701,230994,0
CHACR.US,D,20251014,000000,0.395,0.44,0.395,0.42,34570,0
CHACR.US,D,20251015,000000,0.4396,0.449999,0.4,0.44,25928,0
CHACR.US,D,20251016,000000,0.416,0.43,0.39,0.41,28550,0
CHACR.US,D,20251020,000000,0.448,0.47,0.43,0.47,73990,0
CHACR.US,D,20251021,000000,0.43,0.52,0.43,0.52,382706,0
CHACR.US,D,20251022,000000,0.4885,0.511,0.465,0.5001,35701,0
CHACR.US,D,20251023,000000,0.485,0.52,0.485,0.5,5110,0
CHACR.US,D,20251024,000000,0.8,0.8,0.5399,0.6238,205771,0
CHACR.US,D,20251027,000000,0.8,0.8,0.55,0.61,43962,0
CHACR.US,D,20251028,000000,0.63,0.6979,0.6,0.6669,124347,0
CHACR.US,D,20251029,000000,0.66,0.7147,0.6499,0.67,229718,0
CHACR.US,D,20251030,000000,0.64,0.67,0.6,0.66,39150,0
CHACR.US,D,20251031,000000,0.66,0.68,0.64,0.68,210901,0
CHACR.US,D,20251103,000000,1.22,1.25,0.9801,1.18,7129790,0
CHACR.US,D,20251104,000000,1.23,1.4,1.11,1.15,896608,0
CHACR.US,D,20251105,000000,1.15,1.2,1.02,1.16,885594,0
CHACR.US,D,20251106,000000,1.11,1.23,1.035,1.04,246212,0
CHACR.US,D,20251107,000000,1.15,1.18,1.04,1.08,139201,0
CHACR.US,D,20251110,000000,1.2,1.22,1.1,1.1,629887,0
CHACR.US,D,20251111,000000,1.1,1.19,1.1,1.16,70027,0
CHACR.US,D,20251112,000000,1.15,1.24,1.11,1.11,167008,0
CHACR.US,D,20251113,000000,1.12,1.145,1.05,1.1199,171573,0
CHACR.US,D,20251114,000000,1.04,1.09,1.02,1.02,159821,0
CHACR.US,D,20251117,000000,1.02,1.07,0.9502,0.98,932451,0
CHACR.US,D,20251118,000000,0.95,1.05,0.9002,1.02,213458,0
CHACR.US,D,20251119,000000,0.9219,1,0.92,1,26257,0
CHACR.US,D,20251120,000000,0.96,0.98,0.9001,0.93,161831,0
