<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRACW.US,D,20251209,000000,0.08,0.15,0.07,0.0901,362850,0
CRACW.US,D,20251210,000000,0.09,0.1,0.09,0.096601,38677,0
CRACW.US,D,20251211,000000,0.0998,0.0998,0.09,0.0998,1051,0
CRACW.US,D,20251212,000000,0.0998,0.1,0.0945,0.0945,11947,0
CRACW.US,D,20251215,000000,0.0923,0.0999,0.085,0.095,2012,0
CRACW.US,D,20251216,000000,0.0918,0.092,0.09,0.09,843,0
CRACW.US,D,20251217,000000,0.095,0.095,0.0805,0.0873,15208,0
CRACW.US,D,20251218,000000,0.09,0.09,0.0672,0.07,186666,0
CRACW.US,D,20251222,000000,0.09,0.09,0.0875,0.0899,5118,0
CRACW.US,D,20251223,000000,0.1,0.1,0.085,0.089593,20310,0
CRACW.US,D,20251229,000000,0.09,0.09,0.085,0.085,3498,0
CRACW.US,D,20251230,000000,0.086,0.086,0.085,0.085,3288,0
CRACW.US,D,20260105,000000,0.09,0.09,0.09,0.09,6984,0
CRACW.US,D,20260106,000000,0.09,0.09,0.09,0.09,3584,0
CRACW.US,D,20260107,000000,0.0901,0.092,0.09,0.09,25014,0
CRACW.US,D,20260108,000000,0.0905,0.1,0.0905,0.1,16770,0
CRACW.US,D,20260109,000000,0.1,0.1,0.1,0.1,274,0
CRACW.US,D,20260112,000000,0.1,0.11,0.1,0.11,8465,0
CRACW.US,D,20260120,000000,0.11,0.112,0.11,0.11,62440,0
CRACW.US,D,20260122,000000,0.1,0.1,0.0901,0.0901,232200,0
CRACW.US,D,20260123,000000,0.092,0.1,0.092,0.1,399,0
