<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FERA.US,D,20250421,000000,10.1,10.1,9.87,9.87,23563,0
FERA.US,D,20250422,000000,9.89,9.9,9.89,9.9,55811,0
FERA.US,D,20250423,000000,9.8888,9.89,9.88,9.88,107480,0
FERA.US,D,20250424,000000,9.89,9.91,9.88,9.895,745906,0
FERA.US,D,20250425,000000,9.8901,9.9082,9.8901,9.9,502656,0
FERA.US,D,20250428,000000,9.9,9.905,9.9,9.9,120074,0
FERA.US,D,20250429,000000,9.91,9.95,9.91,9.945,1466439,0
FERA.US,D,20250430,000000,9.91,9.94,9.91,9.94,82096,0
FERA.US,D,20250501,000000,9.94,9.94,9.94,9.94,18240,0
FERA.US,D,20250502,000000,9.95,9.95,9.94,9.95,278505,0
FERA.US,D,20250505,000000,9.94,9.95,9.94,9.95,1142,0
FERA.US,D,20250506,000000,9.94,9.95,9.94,9.95,68002,0
FERA.US,D,20250507,000000,9.95,9.97,9.94,9.97,596998,0
FERA.US,D,20250508,000000,9.969,10.035,9.9655,10.03,231086,0
FERA.US,D,20250509,000000,10.01,10.03,9.94,9.99,172971,0
FERA.US,D,20250512,000000,9.99,10,9.99,10,70909,0
FERA.US,D,20250513,000000,10,10,10,10,9238,0
FERA.US,D,20250514,000000,9.99,10.04,9.99,10.035,228615,0
FERA.US,D,20250515,000000,10.01,10.01,9.995,9.995,356,0
FERA.US,D,20250516,000000,10.01,10.05,10.01,10.05,43924,0
FERA.US,D,20250519,000000,10.06,10.0685,10.06,10.06,11433,0
FERA.US,D,20250520,000000,10.05,10.0762,10.05,10.07,81170,0
FERA.US,D,20250521,000000,10.03,10.07,10.03,10.07,63321,0
FERA.US,D,20250522,000000,10.04,10.04,10.01,10.01,50812,0
FERA.US,D,20250523,000000,10.08,10.08,10.04,10.045,42903,0
FERA.US,D,20250527,000000,10.05,10.07,10.03,10.06,44526,0
FERA.US,D,20250528,000000,10.06,10.0685,10.06,10.06,112817,0
FERA.US,D,20250529,000000,10.07,10.075,10.06,10.06,33003,0
FERA.US,D,20250530,000000,10.07,10.1,10.07,10.1,146347,0
FERA.US,D,20250602,000000,10.1,10.13,10.0904,10.13,85392,0
FERA.US,D,20250603,000000,10.14,10.14,10.105,10.14,12025,0
FERA.US,D,20250604,000000,10.12,10.14,10.11,10.11,263726,0
FERA.US,D,20250605,000000,10.11,10.11,10.1,10.11,30180,0
FERA.US,D,20250606,000000,10.11,10.11,10.1,10.1,146143,0
FERA.US,D,20250609,000000,10.1,10.14,10.1,10.13,38174,0
FERA.US,D,20250610,000000,10.1,10.13,10.1,10.13,53260,0
FERA.US,D,20250611,000000,10.13,10.13,10.1,10.1,535,0
FERA.US,D,20250612,000000,10.124,10.13,10.1,10.1,1213,0
FERA.US,D,20250613,000000,10.101,10.13,10.1,10.13,86317,0
FERA.US,D,20250616,000000,10.11,10.14,10.11,10.13,63409,0
FERA.US,D,20250617,000000,10.14,10.15,10.11,10.11,8324,0
FERA.US,D,20250618,000000,10.11,10.16,10.11,10.12,40188,0
FERA.US,D,20250620,000000,10.135,10.17,10.11,10.17,1717991,0
FERA.US,D,20250623,000000,10.165,10.17,10.15,10.17,106077,0
FERA.US,D,20250624,000000,10.1668,10.17,10.1668,10.17,2119,0
FERA.US,D,20250625,000000,10.16,10.16,10.12,10.12,162408,0
FERA.US,D,20250626,000000,10.13,10.15,10.13,10.14,201417,0
FERA.US,D,20250627,000000,10.15,10.16,10.14,10.15,44608,0
FERA.US,D,20250630,000000,10.16,10.16,10.15,10.15,122671,0
FERA.US,D,20250701,000000,10.18,10.18,10.15,10.15,1447,0
FERA.US,D,20250702,000000,10.16,10.16,10.14,10.15,354490,0
FERA.US,D,20250703,000000,10.15,10.16,10.15,10.15,48650,0
FERA.US,D,20250707,000000,10.1514,10.16,10.15,10.16,31385,0
FERA.US,D,20250708,000000,10.15,10.16,10.15,10.16,13360,0
FERA.US,D,20250709,000000,10.15,10.16,10.15,10.15,20724,0
FERA.US,D,20250710,000000,10.16,10.16,10.16,10.16,320976,0
FERA.US,D,20250711,000000,10.2,10.2,10.16,10.17,37868,0
FERA.US,D,20250714,000000,10.16,10.16,10.16,10.16,136,0
FERA.US,D,20250715,000000,10.17,10.17,10.16,10.16,1250,0
FERA.US,D,20250716,000000,10.165,10.18,10.16,10.18,82799,0
FERA.US,D,20250717,000000,10.1714,10.18,10.17,10.175,29096,0
FERA.US,D,20250718,000000,10.17,10.17,10.16,10.16,894,0
FERA.US,D,20250721,000000,10.16,10.17,10.16,10.17,9040,0
FERA.US,D,20250722,000000,10.17,10.18,10.17,10.18,1315,0
FERA.US,D,20250723,000000,10.18,10.18,10.1792,10.1792,5209,0
FERA.US,D,20250724,000000,10.18,10.18,10.175,10.18,875,0
FERA.US,D,20250725,000000,10.16,10.17,10.16,10.17,2161,0
FERA.US,D,20250730,000000,10.17,10.175,10.17,10.17,10423,0
FERA.US,D,20250731,000000,10.18,10.18,10.165,10.165,15929,0
FERA.US,D,20250801,000000,10.17,10.175,10.16,10.175,42406,0
FERA.US,D,20250805,000000,10.17,10.17,10.16,10.1691,180320,0
FERA.US,D,20250806,000000,10.1621,10.17,10.1621,10.17,5421,0
FERA.US,D,20250807,000000,10.165,10.165,10.165,10.165,100058,0
FERA.US,D,20250808,000000,10.16,10.16,10.16,10.16,50000,0
FERA.US,D,20250811,000000,10.15,10.16,10.15,10.16,25126,0
FERA.US,D,20250812,000000,10.15,10.15,10.15,10.15,83316,0
FERA.US,D,20250813,000000,10.15,10.155,10.14,10.15,126068,0
FERA.US,D,20250814,000000,10.16,10.17,10.15,10.15,39652,0
FERA.US,D,20250819,000000,10.15,10.1609,10.15,10.1609,10014,0
FERA.US,D,20250821,000000,10.15,10.15,10.15,10.15,5004,0
FERA.US,D,20250828,000000,10.14,10.14,10.14,10.14,1045,0
FERA.US,D,20250829,000000,10.13,10.13,10.13,10.13,526,0
FERA.US,D,20250904,000000,10.15,10.15,10.15,10.15,12004,0
FERA.US,D,20250905,000000,10.14,10.14,10.13,10.13,686,0
FERA.US,D,20250909,000000,10.16,10.16,10.16,10.16,100,0
FERA.US,D,20250912,000000,10.15,10.16,10.15,10.16,155596,0
FERA.US,D,20250917,000000,10.16,10.17,10.16,10.16,80426,0
FERA.US,D,20250918,000000,10.17,10.17,10.17,10.17,125026,0
FERA.US,D,20250922,000000,10.2,10.2,10.2,10.2,2446,0
FERA.US,D,20250926,000000,10.18,10.18,10.18,10.18,54805,0
FERA.US,D,20250929,000000,10.1629,10.19,10.1629,10.17,3153,0
FERA.US,D,20251007,000000,10.1723,10.1723,10.1723,10.1723,207,0
FERA.US,D,20251008,000000,10.18,10.18,10.18,10.18,12200,0
FERA.US,D,20251009,000000,10.19,10.19,10.18,10.18,3702,0
FERA.US,D,20251010,000000,10.18,10.18,10.16,10.17,4520,0
FERA.US,D,20251013,000000,10.2,10.215,10.1999,10.215,16601,0
FERA.US,D,20251014,000000,10.22,10.25,10.2,10.25,3572,0
FERA.US,D,20251015,000000,10.5,10.5,10.5,10.5,830,0
FERA.US,D,20251016,000000,10.26,10.28,10.26,10.26,223041,0
FERA.US,D,20251017,000000,10.27,10.27,10.27,10.27,1316,0
FERA.US,D,20251021,000000,10.23,10.23,10.23,10.23,3817,0
FERA.US,D,20251022,000000,10.28,10.43,10.28,10.43,965,0
FERA.US,D,20251028,000000,10.25,10.25,10.23,10.23,25133,0
FERA.US,D,20251029,000000,10.27,10.27,10.27,10.27,139,0
FERA.US,D,20251031,000000,10.26,10.28,10.26,10.26,2768,0
FERA.US,D,20251105,000000,10.26,10.41,10.26,10.41,300,0
FERA.US,D,20251110,000000,10.36,10.4201,10.32,10.42,5328,0
FERA.US,D,20251114,000000,10.45,10.45,10.45,10.45,449,0
FERA.US,D,20251118,000000,10.35,10.35,10.35,10.35,4195,0
FERA.US,D,20251119,000000,10.4,10.4,10.35,10.35,25255,0
FERA.US,D,20251120,000000,10.45,10.45,10.4,10.4,214,0
FERA.US,D,20251121,000000,10.32,10.4,10.3,10.4,3252,0
FERA.US,D,20251125,000000,10.4,10.4,10.4,10.4,163,0
FERA.US,D,20251126,000000,10.3,10.45,10.3,10.375,199549,0
FERA.US,D,20251128,000000,10.48,10.48,10.29,10.35,27520,0
FERA.US,D,20251201,000000,10.3727,10.38,10.28,10.38,22010,0
FERA.US,D,20251205,000000,10.32,10.39,10.32,10.39,3304,0
FERA.US,D,20251209,000000,10.28,10.28,10.28,10.28,104,0
FERA.US,D,20251210,000000,10.38,10.38,10.38,10.38,154,0
FERA.US,D,20251211,000000,10.33,10.38,10.33,10.38,2255,0
FERA.US,D,20251215,000000,10.32,10.34,10.32,10.34,789,0
FERA.US,D,20251216,000000,10.32,10.32,10.28,10.3,93111,0
FERA.US,D,20251217,000000,10.3,10.3,10.28,10.3,4181,0
FERA.US,D,20251218,000000,10.28,10.3,10.28,10.3,4992,0
FERA.US,D,20251219,000000,10.295,10.295,10.295,10.295,460,0
FERA.US,D,20251222,000000,10.29,10.295,10.28,10.285,15802,0
FERA.US,D,20251223,000000,10.3,10.3,10.23,10.28,64188,0
FERA.US,D,20251224,000000,10.3,10.3,10.26,10.28,20202,0
FERA.US,D,20251229,000000,10.3,10.3,10.3,10.3,100,0
FERA.US,D,20251230,000000,10.26,10.3,10.26,10.27,44428,0
FERA.US,D,20251231,000000,10.3,10.3,10.25,10.29,7506,0
FERA.US,D,20260102,000000,10.255,10.255,10.255,10.255,561,0
FERA.US,D,20260105,000000,10.3,10.3,10.3,10.3,157,0
FERA.US,D,20260106,000000,10.251,10.3,10.251,10.3,360,0
FERA.US,D,20260107,000000,10.26,10.3,10.26,10.3,250,0
FERA.US,D,20260108,000000,10.276,10.28,10.26,10.26,3704,0
FERA.US,D,20260109,000000,10.29,10.29,10.29,10.29,100,0
FERA.US,D,20260115,000000,10.26,10.3,10.25,10.28,22960,0
FERA.US,D,20260120,000000,10.3,10.3,10.3,10.3,164,0
FERA.US,D,20260121,000000,10.26,10.28,10.25,10.28,8938,0
FERA.US,D,20260122,000000,10.26,10.3,10.26,10.26,10200,0
