<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKZR.US,D,20241112,000000,40,44.6,37.501,41,11185.2,0
MKZR.US,D,20241113,000000,39.5,42.83,39.5,41.4,2718.5,0
MKZR.US,D,20241114,000000,40.8,43,37.5,37.5,3422.4,0
MKZR.US,D,20241115,000000,37.6,39.05,34.2,36.3,4359.5,0
MKZR.US,D,20241118,000000,36,37.2,35.5,35.508,1418.7,0
MKZR.US,D,20241119,000000,35.6,37.501,35,35.1,476.40000000000003,0
MKZR.US,D,20241120,000000,35.6,35.6,30.001,32.6,3631.3,0
MKZR.US,D,20241121,000000,32.9,33,30,31.6,7039.5,0
MKZR.US,D,20241122,000000,32,32,30,31.7,2159.8,0
MKZR.US,D,20241125,000000,32.98,32.98,29.5,30.8,1703.2,0
MKZR.US,D,20241126,000000,31.95,32.9,30.8,32.8,371.6,0
MKZR.US,D,20241127,000000,32,32.366,32,32.366,359.70000000000005,0
MKZR.US,D,20241202,000000,32,33,32,32.7,3436.9,0
MKZR.US,D,20241203,000000,32,32.5,32,32.4,976.3000000000001,0
MKZR.US,D,20241204,000000,32.9,32.9,32,32.5,3791.2000000000003,0
MKZR.US,D,20241205,000000,32.884,33,32.5,32.8,1363.2,0
MKZR.US,D,20241206,000000,32.6,32.75,32,32.5,3164.3,0
MKZR.US,D,20241209,000000,33,33,31.001,33,11135.800000000001,0
MKZR.US,D,20241210,000000,33,37.5,32.9,37,7968.8,0
MKZR.US,D,20241211,000000,33.074,41.6,33.074,40.5,7171.1,0
MKZR.US,D,20241212,000000,40.624,42,40,41.8,3003.5,0
MKZR.US,D,20241213,000000,41.4,44.5,38.9,44.5,3903.2000000000003,0
MKZR.US,D,20241216,000000,42.5,49.5,37.8,47.3,8498.1,0
MKZR.US,D,20241217,000000,45.9,49,43.8,45.4,4043.9,0
MKZR.US,D,20241218,000000,42.5,50,42.5,49,11660.800000000001,0
MKZR.US,D,20241219,000000,47.5,50,41.4,49.1,9320.9,0
MKZR.US,D,20241220,000000,47.7,50,40.9,48.4,50672.9,0
MKZR.US,D,20241223,000000,45,47.4,40.1,42,8501.9,0
MKZR.US,D,20241224,000000,44.5,44.6,40.1,40.1,2096.7000000000003,0
MKZR.US,D,20241226,000000,42.3,42.3,42,42,354.40000000000003,0
MKZR.US,D,20241227,000000,40,42.399,35.65,38.8,8430.6,0
MKZR.US,D,20241230,000000,39.6,42.7,39.1,40,1231.7,0
MKZR.US,D,20241231,000000,40.95,40.95,31.5,31.6,13323.800000000001,0
MKZR.US,D,20250102,000000,33.3,34.547,18.1,18.1,11746.900000000001,0
MKZR.US,D,20250103,000000,21.5,27.6,20.6,27.45,15384.800000000001,0
MKZR.US,D,20250106,000000,27.8,32.4,25.252,32.4,8113.1,0
MKZR.US,D,20250107,000000,31.8,31.8,26.9,28.6,11245.900000000001,0
MKZR.US,D,20250108,000000,28.8,30.079,25.6,29.5,4449.2,0
MKZR.US,D,20250110,000000,29,30.2,25.5,27,10533.300000000001,0
MKZR.US,D,20250113,000000,25.8,29,25.8,25.8,1891,0
MKZR.US,D,20250114,000000,28.858,29,24.8,25.2,3897.8,0
MKZR.US,D,20250115,000000,26.3,29.5,25.2,28.2,6260.5,0
MKZR.US,D,20250116,000000,28.9,28.9,25.903,27.3,5680.400000000001,0
MKZR.US,D,20250117,000000,26.3,26.351,23.7,24.1,10755.900000000001,0
MKZR.US,D,20250121,000000,25.8,26,21.6,21.7,6793.6,0
MKZR.US,D,20250122,000000,23.3,23.488,21,21.9,9426,0
MKZR.US,D,20250123,000000,23,23.5,21,23.3,6103.8,0
MKZR.US,D,20250124,000000,24.5,24.5,21.5,23.1,8178.6,0
MKZR.US,D,20250127,000000,21.7,23.2,21.2,22.5,2032.4,0
MKZR.US,D,20250128,000000,22.1,23.7,21.3,23.4,14598.2,0
MKZR.US,D,20250129,000000,23.419,23.419,21.301,21.7,6705.200000000001,0
MKZR.US,D,20250130,000000,22.6,23.34,21.1,22.8,8560.800000000001,0
MKZR.US,D,20250131,000000,21.8,23.9,20.5,21.6,15748.900000000001,0
MKZR.US,D,20250203,000000,21.1,23.3,21.1,23.3,1085.9,0
MKZR.US,D,20250204,000000,22.6,22.6,20.5,21.5,1511,0
MKZR.US,D,20250205,000000,21.4,22,20.716,21.1,558.6,0
MKZR.US,D,20250206,000000,20.764,21,20,20.4,932.4000000000001,0
MKZR.US,D,20250207,000000,20.5,21.3,20.001,20.2,720.8000000000001,0
MKZR.US,D,20250210,000000,21.3,21.391,20.1,20.219,1047.5,0
MKZR.US,D,20250211,000000,20,20.996,19.505,20.8,1796.8000000000002,0
MKZR.US,D,20250212,000000,22.268,22.268,18,19.7,1901.9,0
MKZR.US,D,20250213,000000,25.5,29.9,21.5,26.5,161008.40000000002,0
MKZR.US,D,20250214,000000,28.8,31.8,21.7,24,113699.1,0
MKZR.US,D,20250218,000000,24.2,24.2,21.5,23.6,22838.5,0
MKZR.US,D,20250219,000000,22.9,23.425,21.8,22.3,11124.5,0
MKZR.US,D,20250220,000000,22.4,23,20.3,20.7,8517.1,0
MKZR.US,D,20250221,000000,21.6,21.6,18.55,19.3,11505.7,0
MKZR.US,D,20250224,000000,23.8,24,18,19.6,63942,0
MKZR.US,D,20250225,000000,19,21.291,16.036,16.5,30661.7,0
MKZR.US,D,20250226,000000,16.5,19.7,16.246,19.2,38831.1,0
MKZR.US,D,20250227,000000,19.3,19.3,16.555,17.1,11096.7,0
MKZR.US,D,20250228,000000,16.5,18.1,16.2,17.7,9449.4,0
MKZR.US,D,20250303,000000,17.8,18.3,17,18,9465.300000000001,0
MKZR.US,D,20250304,000000,18.1,18.4,17.116,17.9,2650.8,0
MKZR.US,D,20250305,000000,17.35,21.4,16.8,20.1,16073.6,0
MKZR.US,D,20250306,000000,19.5,20.6,18.688,20.3,6374.1,0
MKZR.US,D,20250307,000000,21,21.5,19.289,21.3,8950.4,0
MKZR.US,D,20250310,000000,21.2,21.2,19.4,20.1,4857.7,0
MKZR.US,D,20250311,000000,20.2,20.497,19,19.4,2146.3,0
MKZR.US,D,20250312,000000,19.1,20.9,19.1,20.4,2243.5,0
MKZR.US,D,20250313,000000,19.9,21.1,19.201,19.9,3586,0
MKZR.US,D,20250314,000000,19.4,20.25,17,18.7,5921,0
MKZR.US,D,20250317,000000,19.5,20,17.9,18.8,5158.200000000001,0
MKZR.US,D,20250318,000000,18.89,19,17.5,17.6,4496,0
MKZR.US,D,20250319,000000,18.9,19,17.5,17.6,5636.5,0
MKZR.US,D,20250320,000000,18.2,18.3,16.7,17.1,9200.7,0
MKZR.US,D,20250321,000000,17.7,17.7,14.4,16.4,11432.1,0
MKZR.US,D,20250324,000000,17.4,17.66,15.5,15.5,9582.4,0
MKZR.US,D,20250325,000000,16.3,16.4,15,15,7961.5,0
MKZR.US,D,20250326,000000,15.1,16.8,15,15.1,6340.1,0
MKZR.US,D,20250327,000000,15,16.3,15,15.4,4848,0
MKZR.US,D,20250328,000000,15.4,16,15.3,15.5,4366.8,0
MKZR.US,D,20250331,000000,15.9,16,14.5,15,5488,0
MKZR.US,D,20250401,000000,14,15.734,13.001,14,7315.5,0
MKZR.US,D,20250402,000000,14.5,14.892,14.1,14.17,2008.1000000000001,0
MKZR.US,D,20250403,000000,14.5,15,13.6,14.2,5367,0
MKZR.US,D,20250404,000000,14.3,14.497,13.8,14,4692.1,0
MKZR.US,D,20250407,000000,13.2,15.4,13,13.6,3600.6000000000004,0
MKZR.US,D,20250408,000000,13.9,14.499,12.9,13,2625,0
MKZR.US,D,20250409,000000,13.6,13.998,12.5,13.5,3213.4,0
MKZR.US,D,20250410,000000,13.9,14.664,13.1,14,1482.2,0
MKZR.US,D,20250411,000000,14,14,13,13.5,1742.9,0
MKZR.US,D,20250414,000000,13,13.5,12.7,12.7,1972.7,0
MKZR.US,D,20250415,000000,13.488,13.488,12.7,12.7,1707,0
MKZR.US,D,20250416,000000,12.7,13.4,11.5,12,1832.8000000000002,0
MKZR.US,D,20250417,000000,12.9,12.9,11.51,11.9,3834.2000000000003,0
