<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMNS.US,D,20251120,000000,50.04,50.04,50.035,50.035,202,0
TMNS.US,D,20251124,000000,50.31,50.31,50.0868,50.0868,1012,0
TMNS.US,D,20251203,000000,50.14,50.14,50.1052,50.1052,1059,0
TMNS.US,D,20251209,000000,50.17,50.17,50.1608,50.1608,300,0
TMNS.US,D,20251215,000000,50.175,50.19,50.175,50.19,600,0
TMNS.US,D,20251216,000000,50.23,50.235,50.23,50.235,498,0
TMNS.US,D,20251217,000000,50.23,50.23,50.225,50.225,303,0
TMNS.US,D,20251218,000000,50.25,50.25,50.245,50.245,261,0
TMNS.US,D,20251219,000000,50.25,50.25,50.2304,50.2304,282,0
TMNS.US,D,20251222,000000,50.27,50.27,50.26,50.26,122,0
TMNS.US,D,20251226,000000,50.1,50.105,50.1,50.105,338,0
TMNS.US,D,20251229,000000,50.13,50.145,50.13,50.145,1070,0
TMNS.US,D,20251231,000000,50.17,50.17,50.155,50.155,523,0
TMNS.US,D,20260102,000000,50.2,50.2,50.19,50.19,1213,0
TMNS.US,D,20260105,000000,50.2,50.21,50.2,50.205,301,0
TMNS.US,D,20260107,000000,50.315,50.32,50.315,50.32,1396,0
TMNS.US,D,20260108,000000,50.31,50.315,50.31,50.315,284,0
TMNS.US,D,20260112,000000,50.35,50.36,50.35,50.355,1613,0
TMNS.US,D,20260113,000000,50.39,50.39,50.375,50.375,793,0
TMNS.US,D,20260114,000000,50.41,50.415,50.41,50.415,182,0
TMNS.US,D,20260115,000000,50.405,50.405,50.395,50.395,651,0
TMNS.US,D,20260121,000000,50.45,50.48,50.45,50.455,1625,0
TMNS.US,D,20260123,000000,50.375,50.395,50.375,50.395,249,0
