<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASMH.US,D,20250613,000000,51.7861,52.33,51.7861,51.7861,217,0
ASMH.US,D,20250618,000000,52.16,52.16,52.0816,52.0816,125,0
ASMH.US,D,20250620,000000,52.12,52.12,51.6136,51.6136,494,0
ASMH.US,D,20250623,000000,52.28,52.9381,52.28,52.9381,422,0
ASMH.US,D,20250624,000000,54.83,55.04,54.805,55.04,1232,0
ASMH.US,D,20250625,000000,54.75,54.9287,54.7135,54.9287,479,0
ASMH.US,D,20250627,000000,53.9,53.9,53.4334,53.4334,913,0
ASMH.US,D,20250630,000000,53.34,53.5321,53.34,53.5321,192,0
ASMH.US,D,20250702,000000,53.24,53.25,53.1,53.2249,1425,0
ASMH.US,D,20250703,000000,52.7803,53.0545,52.7803,53.0545,316,0
ASMH.US,D,20250707,000000,52.96,53.07,52.6895,52.6895,268,0
ASMH.US,D,20250708,000000,53.41,53.41,53.2452,53.2452,318,0
ASMH.US,D,20250709,000000,53.54,53.6248,53.44,53.6248,354,0
ASMH.US,D,20250711,000000,53.92,53.94,53.67,53.94,1580,0
ASMH.US,D,20250714,000000,53.96,54.55,53.96,54.4054,372,0
ASMH.US,D,20250715,000000,55.24,55.73,55.23,55.73,749,0
ASMH.US,D,20250716,000000,52.16,52.16,49.25,51.023,1422,0
ASMH.US,D,20250717,000000,52,52.9,50.5605,50.5605,2369,0
ASMH.US,D,20250718,000000,50.59,50.59,49.8408,49.8408,576,0
ASMH.US,D,20250721,000000,49.51,49.51,48.5296,48.5296,350,0
ASMH.US,D,20250723,000000,48,48,47.55,47.9294,255,0
ASMH.US,D,20250724,000000,48.52,48.5868,48.3568,48.5868,2144,0
ASMH.US,D,20250725,000000,47.71,47.8,47.71,47.7578,1356,0
ASMH.US,D,20250728,000000,49.79,49.79,49.643,49.643,422,0
ASMH.US,D,20250729,000000,49.677,49.677,49.131,49.131,519,0
ASMH.US,D,20250730,000000,49.65,49.86,49.58,49.86,542,0
ASMH.US,D,20250731,000000,48.22,48.22,48.0727,48.0727,162,0
ASMH.US,D,20250801,000000,47.23,47.23,46.82,47.1831,332,0
ASMH.US,D,20250804,000000,47.53,47.7652,47.48,47.7652,213,0
ASMH.US,D,20250805,000000,47.42,47.48,47.07,47.1492,769,0
ASMH.US,D,20250806,000000,46.74,46.8751,46.74,46.8751,356,0
ASMH.US,D,20250807,000000,48.51,48.51,48.3405,48.3405,468,0
ASMH.US,D,20250808,000000,48.49,49.0325,48.49,49.0325,504,0
ASMH.US,D,20250811,000000,49.67,49.67,49.0923,49.0923,218,0
ASMH.US,D,20250812,000000,49.5,50.2106,49.44,50.2106,269,0
ASMH.US,D,20250813,000000,50.97,51.022,50.5,51.022,492,0
ASMH.US,D,20250814,000000,50.56,51.2742,50.56,51.2742,717,0
ASMH.US,D,20250815,000000,50.19,50.34,50.1682,50.1682,360,0
ASMH.US,D,20250818,000000,50.23,50.6534,50.23,50.6534,209,0
ASMH.US,D,20250819,000000,50.88,51.08,50.49,50.4975,313,0
ASMH.US,D,20250820,000000,50.71,50.8668,50.35,50.8668,1021,0
ASMH.US,D,20250821,000000,50.3,50.3,50.01,50.0804,360,0
ASMH.US,D,20250822,000000,50.47,50.91,50.47,50.9,704,0
ASMH.US,D,20250825,000000,50.98,51.4213,50.98,51.4213,215,0
ASMH.US,D,20250826,000000,51.59,51.7941,51.55,51.7941,212,0
ASMH.US,D,20250827,000000,52.15,52.3058,52.15,52.3058,210,0
ASMH.US,D,20250828,000000,51.79,51.79,51.6818,51.6818,363,0
ASMH.US,D,20250829,000000,50.06,50.1412,50.06,50.1412,223,0
ASMH.US,D,20250902,000000,49.34,49.342,49,49.342,212,0
ASMH.US,D,20250903,000000,49.77,50.0382,49.77,50.0382,216,0
ASMH.US,D,20250904,000000,50.69,51.1917,50.69,51.1917,216,0
ASMH.US,D,20250905,000000,52.52,52.7823,51.73,52.7823,353,0
ASMH.US,D,20250908,000000,53.37,53.6202,53.27,53.6202,481,0
ASMH.US,D,20250909,000000,54.07,54.4501,53.95,54.4501,566,0
ASMH.US,D,20250910,000000,54.35,54.35,53.7285,53.7285,206,0
ASMH.US,D,20250911,000000,54.48,54.48,54.2855,54.2855,238,0
ASMH.US,D,20250912,000000,54.65,54.9573,54.61,54.9573,207,0
ASMH.US,D,20250915,000000,57.75,58.3552,57.75,58.3552,211,0
ASMH.US,D,20250916,000000,58.15,58.69,58.15,58.69,350,0
ASMH.US,D,20250917,000000,58.3,58.53,58.1,58.5212,622,0
ASMH.US,D,20250918,000000,62.16,62.84,61.91,62.4104,451,0
ASMH.US,D,20250919,000000,62.7,62.8503,62.7,62.8503,219,0
ASMH.US,D,20250922,000000,64.28,64.3204,64.28,64.3204,165,0
ASMH.US,D,20250923,000000,65.3651,65.3651,64.5519,64.5519,416,0
ASMH.US,D,20250924,000000,64.18,64.23,63.89,63.9585,1746,0
ASMH.US,D,20250925,000000,63.9,64.5,63.9,64.4976,1385,0
ASMH.US,D,20250926,000000,64.43,64.54,64.35,64.3666,577,0
ASMH.US,D,20250929,000000,65,65.4,65,65.0725,453,0
ASMH.US,D,20250930,000000,65.64,65.64,65.3172,65.3172,140,0
ASMH.US,D,20251001,000000,65.28,67.8,65.28,67.8,798,0
ASMH.US,D,20251002,000000,69.68,69.68,69.22,69.5943,494,0
ASMH.US,D,20251006,000000,71.09,71.09,70.6102,70.6102,344,0
ASMH.US,D,20251007,000000,70.73,70.93,68.21,68.2394,1097,0
ASMH.US,D,20251008,000000,67.34,67.52,67.34,67.35,783,0
ASMH.US,D,20251009,000000,67.22,67.25,66.97,67.2415,625,0
ASMH.US,D,20251010,000000,66.57,66.6,64.0211,64.0211,649,0
ASMH.US,D,20251013,000000,66.33,67.4289,66.33,67.4289,422,0
ASMH.US,D,20251014,000000,66.44,67.72,66.44,67.0043,2581,0
ASMH.US,D,20251015,000000,69.84,69.84,67.83,68.6195,750,0
ASMH.US,D,20251016,000000,71.16,71.16,69.0541,69.0541,398,0
ASMH.US,D,20251017,000000,69.11,69.8336,69.11,69.8336,482,0
ASMH.US,D,20251020,000000,71.18,71.18,70.9429,70.9429,392,0
ASMH.US,D,20251021,000000,70.39,70.43,70.0446,70.0446,440,0
ASMH.US,D,20251022,000000,68.83,69.0481,68.8,69.0481,523,0
ASMH.US,D,20251023,000000,69.65,70.6989,69.52,70.6989,637,0
ASMH.US,D,20251024,000000,70.76,70.8,70.5027,70.5027,873,0
ASMH.US,D,20251027,000000,71.6,72.0745,71.6,72.0745,281,0
ASMH.US,D,20251028,000000,71.63,71.8,71.5859,71.5859,322,0
ASMH.US,D,20251029,000000,73,73.2468,72.85,73.2468,539,0
ASMH.US,D,20251030,000000,73.68,73.74,73.68,73.74,296,0
ASMH.US,D,20251103,000000,73.57,73.57,73.481,73.481,248,0
ASMH.US,D,20251104,000000,72.96,72.96,71.2922,71.2922,313,0
ASMH.US,D,20251105,000000,72.41,72.41,72.2097,72.2097,141,0
ASMH.US,D,20251106,000000,71.39,71.39,70.7715,70.7715,389,0
ASMH.US,D,20251111,000000,70.51,70.65,70.1223,70.1223,514,0
ASMH.US,D,20251112,000000,70.97,71.0124,70.97,71.0124,242,0
ASMH.US,D,20251113,000000,69.8,69.8,69.6327,69.6327,269,0
ASMH.US,D,20251114,000000,68.71,69.51,68.71,68.7966,896,0
ASMH.US,D,20251117,000000,70.08,70.08,69.8356,69.8356,421,0
ASMH.US,D,20251118,000000,68.74,69.062,68.74,69.062,239,0
ASMH.US,D,20251119,000000,70.62,71.5387,70.62,71.5387,652,0
ASMH.US,D,20251120,000000,71.9633,71.9633,67.61,67.6535,862,0
ASMH.US,D,20251121,000000,67.09,67.09,66.8744,66.8744,521,0
ASMH.US,D,20251124,000000,67.59,68.2457,67.59,68.2457,254,0
ASMH.US,D,20251125,000000,67.45,69.1395,67.4,69.1395,435,0
ASMH.US,D,20251126,000000,71.64,71.64,71.3,71.49,560,0
ASMH.US,D,20251128,000000,71.36,72.5036,71.36,72.5036,224,0
ASMH.US,D,20251201,000000,73.14,74.491,73.14,74.491,225,0
ASMH.US,D,20251202,000000,75.79,75.85,75.7487,75.7487,309,0
ASMH.US,D,20251203,000000,76.95,77.5891,76.9,77.5891,260,0
ASMH.US,D,20251204,000000,76.35,76.35,75.6223,75.6223,251,0
ASMH.US,D,20251205,000000,76.6,76.6,75.0468,75.0468,166,0
ASMH.US,D,20251208,000000,77.23,77.23,76.2931,76.2931,524,0
ASMH.US,D,20251209,000000,76.09,76.09,75.96,76.0139,570,0
ASMH.US,D,20251212,000000,73.42,73.42,73.1755,73.1755,353,0
ASMH.US,D,20251215,000000,73.63,73.63,73.5346,73.5346,139,0
ASMH.US,D,20251216,000000,72.99,72.99,72.72,72.72,807,0
ASMH.US,D,20251217,000000,68.77,71.93,68.6,68.7008,1464,0
ASMH.US,D,20251219,000000,71.37,71.5602,71.37,71.5602,298,0
ASMH.US,D,20251222,000000,71.37,72.06,71.2892,71.2892,1396,0
ASMH.US,D,20251223,000000,71.4,71.61,71.4,71.4543,526,0
ASMH.US,D,20251224,000000,71.5,71.812,71.5,71.812,236,0
ASMH.US,D,20251226,000000,71.76,72.3203,71.76,72.3203,255,0
ASMH.US,D,20251229,000000,72.15,72.18,71.9897,71.9897,594,0
ASMH.US,D,20251230,000000,72.92,72.92,72.4926,72.4926,128,0
ASMH.US,D,20251231,000000,72.65,72.65,72.3397,72.3397,271,0
ASMH.US,D,20260102,000000,78.74,79.11,78.355,78.8306,1684,0
ASMH.US,D,20260105,000000,82.7522,83.5499,82.27,83.0201,3012,0
ASMH.US,D,20260106,000000,83.64,84.3274,83.63,84.3274,2050,0
ASMH.US,D,20260107,000000,83.57,83.57,83.18,83.2657,1890,0
ASMH.US,D,20260108,000000,82.004,82.85,80.11,81.23,3778,0
ASMH.US,D,20260109,000000,84.7999,86.7,84.7999,86.7,2815,0
ASMH.US,D,20260112,000000,86.2,87.0079,85.43,87.0079,4352,0
ASMH.US,D,20260113,000000,86.89,87.25,86.42,86.42,1701,0
ASMH.US,D,20260114,000000,85.71,85.9063,85.58,85.9063,1339,0
ASMH.US,D,20260115,000000,92.17,92.17,90.8048,90.8048,3257,0
ASMH.US,D,20260116,000000,91.85,92.6539,91.85,92.6539,418,0
ASMH.US,D,20260120,000000,89.62,90.52,88.9999,89.5781,1382,0
ASMH.US,D,20260121,000000,91.21,92.1491,90.64,92.1491,1549,0
ASMH.US,D,20260122,000000,93.85,93.8501,93.02,93.8435,2364,0
ASMH.US,D,20260123,000000,92.2,93.04,92.2,92.933,1874,0
