<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBCA.US,D,20250327,000000,24.94,24.9868,24.93,24.9868,5367,0
IBCA.US,D,20250328,000000,25.0865,25.24,25.0865,25.1863,2543,0
IBCA.US,D,20250331,000000,25.18,25.33,25.14,25.1796,2431,0
IBCA.US,D,20250401,000000,25.29,25.32,25.2502,25.2502,4905,0
IBCA.US,D,20250402,000000,25.31,25.31,25.24,25.2715,6138,0
IBCA.US,D,20250403,000000,25.45,25.5,25.3806,25.3806,4862,0
IBCA.US,D,20250404,000000,25.52,26.27,25.3,25.3249,10844,0
IBCA.US,D,20250407,000000,25.13,25.23,24.98,25.13,14321,0
IBCA.US,D,20250408,000000,25,25,24.6433,24.6433,21502,0
IBCA.US,D,20250409,000000,24.37,24.79,24.33,24.79,13186,0
IBCA.US,D,20250410,000000,24.73,24.99,24.5917,24.5917,6139,0
IBCA.US,D,20250411,000000,24.33,24.4963,24.28,24.4963,345,0
IBCA.US,D,20250414,000000,24.68,24.7799,24.63,24.7396,87900,0
IBCA.US,D,20250415,000000,24.74,25.57,24.7098,24.835,5030,0
IBCA.US,D,20250416,000000,24.805,25.01,24.805,24.9362,8513,0
IBCA.US,D,20250417,000000,24.97,24.9975,24.945,24.9454,3082,0
IBCA.US,D,20250421,000000,24.83,25.06,24.7095,24.7095,14226,0
IBCA.US,D,20250422,000000,24.77,24.96,24.75,24.874,6590,0
IBCA.US,D,20250423,000000,24.99,25.11,24.83,24.8553,6294,0
IBCA.US,D,20250424,000000,25.03,25.08,25.0111,25.0111,1863,0
IBCA.US,D,20250425,000000,25.17,25.23,25.09,25.1912,53091,0
IBCA.US,D,20250428,000000,25.18,25.28,25.1085,25.2207,47567,0
IBCA.US,D,20250429,000000,25.19,25.34,25.19,25.2808,826879,0
IBCA.US,D,20250430,000000,25.26,25.28,25.12,25.2,31494,0
IBCA.US,D,20250501,000000,25.25,25.26,25.03,25.0855,23204,0
IBCA.US,D,20250502,000000,25.09,25.09,24.94,25.05,36273,0
IBCA.US,D,20250505,000000,25.04,25.26,24.895,24.965,27311,0
IBCA.US,D,20250506,000000,24.919,25.05,24.885,24.9675,27147,0
IBCA.US,D,20250507,000000,25.0583,25.1591,25.02,25.11,23177,0
IBCA.US,D,20250508,000000,25.0668,25.32,24.9576,25.1792,19212,0
IBCA.US,D,20250509,000000,25.18,25.18,24.95,24.99,8711,0
IBCA.US,D,20250512,000000,24.905,25.14,24.86,24.95,16068,0
IBCA.US,D,20250513,000000,24.93,25.28,24.89,24.93,64844,0
IBCA.US,D,20250514,000000,24.901,24.93,24.81,24.838,32386,0
IBCA.US,D,20250515,000000,24.87,25.11,24.856,24.9662,26984,0
IBCA.US,D,20250516,000000,25.07,25.15,25.0092,25.0302,17252,0
IBCA.US,D,20250519,000000,24.84,25.0681,24.84,25.0681,19207,0
