<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JENA.US,D,20250721,000000,10.5,10.5,10.02,10.08,1670,0
JENA.US,D,20250722,000000,10.1,10.1,10.1,10.1,15904,0
JENA.US,D,20250723,000000,10.1,10.12,10.1,10.12,3543,0
JENA.US,D,20250724,000000,10.1,10.12,10.1,10.12,1597143,0
JENA.US,D,20250729,000000,10.14,10.14,10.14,10.14,30013,0
JENA.US,D,20250730,000000,10.16,10.18,10.15,10.15,255024,0
JENA.US,D,20250806,000000,10.15,10.16,10.15,10.15,25209,0
JENA.US,D,20250807,000000,10.15,10.15,10.14,10.14,87211,0
JENA.US,D,20250811,000000,10.13,10.15,10.13,10.13,15601,0
JENA.US,D,20250812,000000,10.135,10.16,10.13,10.14,17501,0
JENA.US,D,20250813,000000,10.13,10.13,10.13,10.13,16127,0
JENA.US,D,20250814,000000,10.12,10.13,10.12,10.13,55601,0
JENA.US,D,20250819,000000,10.14,10.14,10.13,10.13,170354,0
JENA.US,D,20250820,000000,10.14,10.14,10.13,10.13,370700,0
JENA.US,D,20250821,000000,10.13,10.14,10.13,10.13,195038,0
JENA.US,D,20250822,000000,10.12,10.14,10.12,10.1293,434553,0
JENA.US,D,20250826,000000,10.125,10.14,10.125,10.125,355560,0
JENA.US,D,20250827,000000,10.11,10.14,10.11,10.12,170210,0
JENA.US,D,20250828,000000,10.14,10.14,10.14,10.14,5825,0
JENA.US,D,20250904,000000,10.13,10.14,10.12,10.14,10413,0
JENA.US,D,20250905,000000,10.13,10.13,10.11,10.12,7186,0
JENA.US,D,20250908,000000,10.13,10.14,10.13,10.14,16697,0
JENA.US,D,20250909,000000,10.14,10.17,10.14,10.16,539465,0
JENA.US,D,20250910,000000,10.12,10.16,10.08,10.14,25469,0
JENA.US,D,20250911,000000,10.12,10.16,10.12,10.14,1475605,0
JENA.US,D,20250912,000000,10.13,10.13,10.13,10.13,210338,0
JENA.US,D,20250915,000000,10.16,10.16,10.145,10.145,1569,0
JENA.US,D,20250916,000000,10.13,10.13,10.13,10.13,1322,0
JENA.US,D,20250918,000000,10.14,10.14,10.14,10.14,311,0
JENA.US,D,20250919,000000,10.135,10.135,10.135,10.135,425,0
JENA.US,D,20250922,000000,10.14,10.14,10.14,10.14,402,0
JENA.US,D,20250929,000000,10.13,10.17,10.13,10.1355,4953,0
JENA.US,D,20250930,000000,10.13,10.18,10.13,10.15,4294,0
JENA.US,D,20251002,000000,10.15,10.5,10.15,10.15,201,0
JENA.US,D,20251003,000000,10.15,10.16,10.14,10.16,402409,0
JENA.US,D,20251006,000000,10.18,10.18,10.18,10.18,14629,0
JENA.US,D,20251007,000000,10.17,10.25,10.17,10.2,8672,0
JENA.US,D,20251008,000000,10.2,10.2,10.2,10.2,44804,0
JENA.US,D,20251014,000000,10.2,10.2,10.2,10.2,450050,0
JENA.US,D,20251024,000000,10.2,10.2,10.2,10.2,1001,0
JENA.US,D,20251030,000000,10.21,10.21,10.21,10.21,700,0
JENA.US,D,20251031,000000,10.18,10.18,10.18,10.18,100,0
JENA.US,D,20251104,000000,10.21,10.24,10.21,10.21,25880,0
JENA.US,D,20251105,000000,10.2,10.2,10.2,10.2,799,0
JENA.US,D,20251111,000000,10.22,10.22,10.22,10.22,25000,0
JENA.US,D,20251113,000000,10.18,10.2,10.18,10.2,112404,0
JENA.US,D,20251119,000000,10.2,10.2,10.2,10.2,3500,0
JENA.US,D,20251121,000000,10.191,10.191,10.19,10.19,33552,0
JENA.US,D,20251124,000000,10.18,10.18,10.18,10.18,1130,0
JENA.US,D,20251125,000000,10.2,10.2,10.19,10.2,4916,0
JENA.US,D,20251126,000000,10.21,10.21,10.21,10.21,25000,0
JENA.US,D,20251128,000000,10.21,10.21,10.21,10.21,2384,0
JENA.US,D,20251201,000000,10.19,10.21,10.19,10.21,23313,0
JENA.US,D,20251204,000000,10.2,10.21,10.2,10.2047,13626,0
JENA.US,D,20251205,000000,10.19,10.21,10.19,10.19,4479,0
JENA.US,D,20251208,000000,10.19,10.24,10.19,10.24,3608,0
JENA.US,D,20251209,000000,10.22,10.23,10.19,10.2,24259,0
JENA.US,D,20251210,000000,10.2,10.2,10.2,10.2,160,0
JENA.US,D,20251211,000000,10.19,10.19,10.19,10.19,140,0
JENA.US,D,20251215,000000,10.18,10.21,10.18,10.21,1291,0
JENA.US,D,20251216,000000,10.19,10.2,10.19,10.195,2967,0
JENA.US,D,20251218,000000,10.17,10.195,10.06,10.17,56005,0
JENA.US,D,20251219,000000,10.17,10.17,10.17,10.17,204,0
JENA.US,D,20251222,000000,10.17,10.17,10.17,10.17,102,0
JENA.US,D,20251229,000000,10.17,10.17,10.17,10.17,1080,0
JENA.US,D,20251230,000000,10.2,10.2,10.17,10.17,36004,0
JENA.US,D,20260102,000000,10.2,10.2,10.18,10.2,2202,0
JENA.US,D,20260105,000000,10.2,10.2,10.2,10.2,1119,0
JENA.US,D,20260113,000000,10.23,10.23,10.21,10.21,8232,0
JENA.US,D,20260114,000000,10.25,10.27,10.17,10.19,155736,0
JENA.US,D,20260115,000000,10.2,10.27,10.2,10.2,5761,0
JENA.US,D,20260120,000000,10.18,10.27,10.18,10.18,15666,0
JENA.US,D,20260121,000000,10.2,10.27,10.2,10.2,1163,0
JENA.US,D,20260122,000000,10.18,10.27,10.18,10.22,2634,0
JENA.US,D,20260123,000000,10.25,10.27,10.25,10.27,263339,0
