<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIAX.US,D,20250814,000000,31.65,33,28.63,30.74,18517100,0
MIAX.US,D,20250815,000000,29.7,33.99,28.99,31.12,2893000,0
MIAX.US,D,20250818,000000,31.76,35.76,31.2,32.66,2780300,0
MIAX.US,D,20250819,000000,33.04,34,31.5,32.89,1741000,0
MIAX.US,D,20250820,000000,33.07,33.87,31.95,32.77,2315900,0
MIAX.US,D,20250821,000000,32.68,34.57,31.6001,34.34,1516400,0
MIAX.US,D,20250822,000000,34.3,34.89,32.72,33.52,904500,0
MIAX.US,D,20250825,000000,33.22,34,32.315,33.29,639772,0
MIAX.US,D,20250826,000000,33.28,33.94,32.195,33.9,861196,0
MIAX.US,D,20250827,000000,33.635,35.8032,33.05,34.7,870691,0
MIAX.US,D,20250828,000000,34.6042,36.65,34.18,35.49,1078504,0
MIAX.US,D,20250829,000000,35.75,38.44,35.14,37.58,1136431,0
MIAX.US,D,20250902,000000,37.66,38.25,35.4,36.33,906235,0
MIAX.US,D,20250903,000000,36.4128,36.75,34.955,35.38,557829,0
MIAX.US,D,20250904,000000,35.0084,35.9766,34.6368,35.5,664469,0
MIAX.US,D,20250905,000000,35.91,36,34.02,34.95,693567,0
MIAX.US,D,20250908,000000,35.1,37.77,34.65,37.77,792307,0
MIAX.US,D,20250909,000000,38.1,39.13,36.88,37.3,849283,0
MIAX.US,D,20250910,000000,37.64,38,36.77,36.81,514640,0
MIAX.US,D,20250911,000000,36.98,37.66,36.495,37.39,350273,0
MIAX.US,D,20250912,000000,37.83,37.96,36.1571,37.46,408517,0
MIAX.US,D,20250915,000000,37.9557,38.43,36.75,37.26,234525,0
MIAX.US,D,20250916,000000,37.26,38.85,36.97,38.02,358468,0
MIAX.US,D,20250917,000000,38.44,39.56,37.5,38.14,462934,0
MIAX.US,D,20250918,000000,38.1083,39.53,38.1083,38.86,395050,0
MIAX.US,D,20250919,000000,39.1399,39.5,37.59,38.02,1380497,0
MIAX.US,D,20250922,000000,37.82,39.73,37.05,39.52,743263,0
MIAX.US,D,20250923,000000,40,40.95,38.64,39.6,656428,0
MIAX.US,D,20250924,000000,39.87,42.0681,39.54,41.65,873848,0
MIAX.US,D,20250925,000000,41.825,42.16,40.82,41.95,650688,0
MIAX.US,D,20250926,000000,42,42.89,41.16,41.23,912160,0
MIAX.US,D,20250929,000000,41.6948,41.6948,39.8511,40.77,1094145,0
MIAX.US,D,20250930,000000,40.68,41.3,39.7625,40.26,1237745,0
MIAX.US,D,20251001,000000,40.255,40.35,38.86,38.98,1557419,0
MIAX.US,D,20251002,000000,39.1582,41.48,38.96,41.03,1315125,0
MIAX.US,D,20251003,000000,41.095,42.7199,40.98,42.09,1197067,0
MIAX.US,D,20251006,000000,42.64,43.83,42.3176,43.71,488565,0
MIAX.US,D,20251007,000000,43.81,44.51,43.2623,44.42,483926,0
MIAX.US,D,20251008,000000,44,45.63,43.58,44.67,464781,0
MIAX.US,D,20251009,000000,44.67,45.3126,42.64,42.94,468873,0
MIAX.US,D,20251010,000000,43.32,44.52,42.71,43.54,418590,0
MIAX.US,D,20251013,000000,44.1286,44.1599,42.25,43.11,461250,0
MIAX.US,D,20251014,000000,43.57,44.61,42.73,43.56,313335,0
MIAX.US,D,20251015,000000,43.73,43.735,41.84,43.33,353720,0
MIAX.US,D,20251016,000000,42.965,43.38,42.07,42.26,398214,0
MIAX.US,D,20251017,000000,42.085,42.81,41.31,41.93,258727,0
MIAX.US,D,20251020,000000,42.44,43.41,41.505,43.05,147432,0
MIAX.US,D,20251021,000000,42.96,43.379,40.44,41.47,304994,0
MIAX.US,D,20251022,000000,41.3,42.14,39.7625,41.77,401978,0
MIAX.US,D,20251023,000000,41.65,43.24,41.225,42.5,307218,0
MIAX.US,D,20251024,000000,42.67,43.735,42.67,43.21,275247,0
MIAX.US,D,20251027,000000,43.35,44.83,43.35,44.27,411018,0
MIAX.US,D,20251028,000000,43.925,44.0289,42.17,43.16,334570,0
MIAX.US,D,20251029,000000,42.7075,43.4,41.97,43.15,212379,0
MIAX.US,D,20251030,000000,42.755,44.4499,42.755,43.73,455260,0
MIAX.US,D,20251031,000000,43.93,44.205,42.89,43.7,362815,0
MIAX.US,D,20251103,000000,44.09,45.74,43.555,45.54,642310,0
MIAX.US,D,20251104,000000,45.065,45.89,44.33,44.33,510309,0
MIAX.US,D,20251105,000000,44.41,46.04,44.01,45.83,456699,0
MIAX.US,D,20251106,000000,47.51,48.2,45.335,47.02,911811,0
MIAX.US,D,20251107,000000,46.68,49.27,46.5,48.7,596683,0
MIAX.US,D,20251110,000000,49,49.97,47.79,48.94,577980,0
MIAX.US,D,20251111,000000,49,50.38,48.32,49.48,367779,0
MIAX.US,D,20251112,000000,49.98,51.375,49.1822,50.96,623925,0
MIAX.US,D,20251113,000000,50.01,51.23,48.16,48.63,845489,0
MIAX.US,D,20251114,000000,48,49.76,47.51,48.53,459635,0
MIAX.US,D,20251117,000000,48.675,49.24,46.4301,46.81,388394,0
MIAX.US,D,20251118,000000,46.77,46.84,45.4,46.7,419957,0
MIAX.US,D,20251119,000000,46.755,47.005,44.055,44.36,474162,0
