<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMCA.US,D,20240814,000000,25.0304,25.0304,25.0304,25.0304,1,0
RMCA.US,D,20240816,000000,25.06,25.06,25.06,25.06,6,0
RMCA.US,D,20240819,000000,25.1,25.1,25.1,25.1,7,0
RMCA.US,D,20240820,000000,25.1,25.17,25.1,25.124,113930,0
RMCA.US,D,20240821,000000,25.13,25.13,25.115,25.115,501,0
RMCA.US,D,20240822,000000,25.11,25.11,25.11,25.11,7,0
RMCA.US,D,20240823,000000,25.165,25.165,25.165,25.165,7,0
RMCA.US,D,20240826,000000,25.1354,25.1354,25.1354,25.1354,10,0
RMCA.US,D,20240827,000000,25.13,25.14,25.115,25.115,1100,0
RMCA.US,D,20240828,000000,25.1062,25.1062,25.1062,25.1062,19,0
RMCA.US,D,20240829,000000,25.1478,25.1478,25.1478,25.1478,1,0
RMCA.US,D,20240830,000000,25.16,25.16,25.0726,25.0726,326406,0
RMCA.US,D,20240903,000000,25.2,25.2258,25.2,25.2258,10365,0
RMCA.US,D,20240904,000000,25.254,25.254,25.254,25.254,81,0
RMCA.US,D,20240905,000000,25.2731,25.2731,25.2731,25.2731,2,0
RMCA.US,D,20240906,000000,25.2477,25.294,25.2477,25.294,200,0
RMCA.US,D,20240909,000000,25.3,25.32,25.3,25.31,13605,0
RMCA.US,D,20240910,000000,25.335,25.335,25.335,25.335,1,0
RMCA.US,D,20240911,000000,25.3394,25.3394,25.3158,25.3158,259,0
RMCA.US,D,20240912,000000,25.29,25.3146,25.2757,25.3146,4009,0
RMCA.US,D,20240913,000000,25.35,25.365,25.3499,25.365,600,0
RMCA.US,D,20240916,000000,25.3699,25.3763,25.369,25.3763,3253,0
RMCA.US,D,20240917,000000,25.38,25.38,25.3645,25.3645,400,0
RMCA.US,D,20240918,000000,25.3307,25.3307,25.3307,25.3307,7,0
RMCA.US,D,20240919,000000,25.3309,25.3309,25.3309,25.3309,7,0
RMCA.US,D,20240920,000000,25.3535,25.3535,25.3535,25.3535,200,0
RMCA.US,D,20240923,000000,25.35,25.36,25.35,25.36,1458,0
RMCA.US,D,20240924,000000,25.36,25.37,25.36,25.36,586,0
RMCA.US,D,20240925,000000,25.3349,25.3349,25.3349,25.3349,7,0
RMCA.US,D,20240926,000000,25.355,25.355,25.355,25.355,7,0
RMCA.US,D,20240927,000000,25.3881,25.3881,25.3881,25.3881,87,0
RMCA.US,D,20240930,000000,25.41,25.43,25.33,25.334,1197,0
RMCA.US,D,20241001,000000,25.4123,25.4123,25.4123,25.4123,7,0
RMCA.US,D,20241002,000000,25.3499,25.3854,25.3499,25.3854,300,0
RMCA.US,D,20241003,000000,25.35,25.35,25.35,25.35,286,0
RMCA.US,D,20241004,000000,25.29,25.29,25.23,25.2456,2367,0
RMCA.US,D,20241007,000000,25.2,25.2,25.2,25.2,200,0
RMCA.US,D,20241008,000000,25.18,25.2061,25.18,25.2061,200,0
RMCA.US,D,20241009,000000,25.125,25.125,25.125,25.125,7,0
RMCA.US,D,20241010,000000,25.12,25.135,25.12,25.135,29438,0
RMCA.US,D,20241011,000000,25.1744,25.1744,25.1744,25.1744,7,0
RMCA.US,D,20241014,000000,25.055,25.0845,25.055,25.0845,1000,0
RMCA.US,D,20241015,000000,25.2,25.27,25.18,25.2255,26975,0
RMCA.US,D,20241016,000000,25.2404,25.2404,25.2404,25.2404,10,0
RMCA.US,D,20241017,000000,25.19,25.19,25.19,25.19,9,0
RMCA.US,D,20241018,000000,25.22,25.22,25.1951,25.1951,4971,0
RMCA.US,D,20241021,000000,25.12,25.19,25.09,25.09,1399,0
RMCA.US,D,20241022,000000,25.02,25.03,25.015,25.015,4201,0
RMCA.US,D,20241023,000000,24.96,24.96,24.8,24.8365,3100,0
RMCA.US,D,20241024,000000,24.925,24.925,24.925,24.925,7,0
RMCA.US,D,20241025,000000,24.96,24.96,24.96,24.96,7,0
RMCA.US,D,20241028,000000,24.98,24.98,24.98,24.98,50,0
RMCA.US,D,20241029,000000,24.91,24.9567,24.91,24.9567,100,0
RMCA.US,D,20241030,000000,24.885,24.885,24.885,24.885,3,0
RMCA.US,D,20241031,000000,24.87,24.925,24.84,24.8695,1736,0
RMCA.US,D,20241101,000000,24.9,24.9,24.89,24.89,4922,0
RMCA.US,D,20241104,000000,24.9912,24.9912,24.9912,24.9912,1,0
RMCA.US,D,20241105,000000,25.0232,25.0232,25.0232,25.0232,1,0
RMCA.US,D,20241106,000000,24.62,24.62,24.5563,24.5563,1400,0
RMCA.US,D,20241107,000000,24.753,24.753,24.753,24.753,50,0
RMCA.US,D,20241108,000000,24.99,25.0088,24.99,25.0088,1080,0
RMCA.US,D,20241121,000000,25.05,25.0544,25.05,25.0544,2881,0
RMCA.US,D,20241122,000000,25.07,25.09,25.07,25.0771,7847,0
RMCA.US,D,20241126,000000,25.14,25.1622,25.14,25.1622,1858,0
RMCA.US,D,20241127,000000,25.17,25.17,25.1603,25.1603,1100,0
RMCA.US,D,20241129,000000,25.24,25.24,25.2,25.23,3509,0
RMCA.US,D,20241202,000000,25.21,25.29,25.21,25.29,1154,0
RMCA.US,D,20241205,000000,25.2817,25.285,25.28,25.285,2052,0
RMCA.US,D,20241209,000000,25.28,25.28,25.265,25.265,2540,0
RMCA.US,D,20241211,000000,25.21,25.22,25.145,25.145,20108,0
RMCA.US,D,20241213,000000,25.04,25.04,25.0102,25.0102,3507,0
RMCA.US,D,20241216,000000,25.07,25.07,25.07,25.07,160,0
RMCA.US,D,20241217,000000,25.02,25.02,24.974,24.974,58582,0
RMCA.US,D,20241218,000000,24.94,24.94,24.745,24.745,1524,0
RMCA.US,D,20241219,000000,24.6,24.6276,24.56,24.6276,4075,0
RMCA.US,D,20241220,000000,24.72,24.735,24.72,24.735,100,0
RMCA.US,D,20241223,000000,24.73,24.73,24.68,24.695,7047,0
RMCA.US,D,20241224,000000,24.7,24.7032,24.7,24.7032,238,0
RMCA.US,D,20241226,000000,24.72,24.725,24.69,24.725,5040,0
RMCA.US,D,20241227,000000,24.72,24.72,24.6874,24.6874,171,0
RMCA.US,D,20241230,000000,24.71,24.71,24.68,24.69,6428,0
RMCA.US,D,20241231,000000,24.75,24.75,24.69,24.705,4129,0
RMCA.US,D,20250102,000000,24.76,24.76,24.7542,24.7542,2356,0
RMCA.US,D,20250107,000000,24.75,24.75,24.7091,24.7091,100,0
RMCA.US,D,20250114,000000,24.43,24.4301,24.4255,24.4255,300,0
RMCA.US,D,20250115,000000,24.59,24.5901,24.56,24.56,7297,0
RMCA.US,D,20250116,000000,24.64,24.65,24.57,24.6173,702,0
RMCA.US,D,20250117,000000,24.7101,24.7101,24.705,24.705,125,0
RMCA.US,D,20250121,000000,24.77,24.7986,24.77,24.7986,2501,0
RMCA.US,D,20250131,000000,24.82,24.83,24.7063,24.7063,1437,0
RMCA.US,D,20250203,000000,24.82,24.82,24.7314,24.7314,2402,0
RMCA.US,D,20250205,000000,24.93,24.94,24.86,24.895,3900,0
RMCA.US,D,20250213,000000,24.78,24.78,24.76,24.7607,4202,0
RMCA.US,D,20250214,000000,24.9,24.9,24.85,24.87,1508,0
RMCA.US,D,20250221,000000,24.96,24.9615,24.96,24.9615,8406,0
RMCA.US,D,20250224,000000,24.96,24.96,24.96,24.96,602,0
RMCA.US,D,20250225,000000,25.06,25.065,25.06,25.065,3905,0
RMCA.US,D,20250227,000000,24.97,25.0009,24.97,25.0009,1202,0
RMCA.US,D,20250303,000000,25,25.0186,24.9999,25.0186,220,0
RMCA.US,D,20250304,000000,25.03,25.03,24.91,24.91,4497,0
RMCA.US,D,20250305,000000,24.91,24.91,24.885,24.885,1224,0
RMCA.US,D,20250310,000000,24.9,24.9,24.8445,24.8445,470,0
RMCA.US,D,20250311,000000,24.85,24.87,24.76,24.76,1835,0
RMCA.US,D,20250312,000000,24.75,24.75,24.6803,24.6803,101,0
RMCA.US,D,20250317,000000,24.71,24.71,24.685,24.685,107,0
RMCA.US,D,20250318,000000,24.68,24.7,24.68,24.695,5391,0
RMCA.US,D,20250319,000000,24.7,24.7,24.67,24.675,2492,0
RMCA.US,D,20250320,000000,24.73,24.7312,24.73,24.7312,1890,0
RMCA.US,D,20250321,000000,24.71,24.71,24.7,24.7,100,0
RMCA.US,D,20250324,000000,24.64,24.69,24.64,24.69,200,0
RMCA.US,D,20250326,000000,24.47,24.47,24.4602,24.4602,2002,0
RMCA.US,D,20250327,000000,24.3657,24.3733,24.3657,24.3733,168,0
RMCA.US,D,20250328,000000,24.41,24.4371,24.36,24.4371,8000,0
RMCA.US,D,20250331,000000,24.53,24.53,24.5249,24.5249,1617,0
RMCA.US,D,20250401,000000,24.615,24.615,24.615,24.615,101,0
RMCA.US,D,20250404,000000,24.755,24.755,24.7467,24.7467,426,0
RMCA.US,D,20250407,000000,24.45,24.45,24.0137,24.0137,1406,0
RMCA.US,D,20250409,000000,22.68,23.7416,22.68,23.7416,500,0
RMCA.US,D,20250411,000000,23.5199,23.58,23.4909,23.4909,404,0
RMCA.US,D,20250415,000000,23.92,23.92,23.897,23.897,718,0
RMCA.US,D,20250416,000000,23.94,23.94,23.9117,23.9117,4503,0
RMCA.US,D,20250501,000000,24.07,24.075,24.07,24.075,4151,0
RMCA.US,D,20250509,000000,24.02,24.0255,24.02,24.0255,7924,0
RMCA.US,D,20250512,000000,23.99,24.0005,23.99,24.0005,313,0
RMCA.US,D,20250513,000000,23.99,24.0088,23.99,24.0088,16752,0
RMCA.US,D,20250515,000000,24.08,24.08,24.0292,24.0292,102,0
RMCA.US,D,20250520,000000,23.95,23.9703,23.95,23.9703,1726,0
RMCA.US,D,20250521,000000,23.83,23.83,23.7648,23.7648,3397,0
RMCA.US,D,20250609,000000,23.68,23.68,23.68,23.68,159,0
RMCA.US,D,20250617,000000,23.79,23.79,23.775,23.775,802,0
RMCA.US,D,20250620,000000,23.73,23.7515,23.73,23.7515,5838,0
RMCA.US,D,20250623,000000,23.79,23.79,23.79,23.79,4580,0
RMCA.US,D,20250626,000000,23.76,23.7749,23.745,23.745,200,0
RMCA.US,D,20250701,000000,23.71,23.7164,23.71,23.7164,3802,0
RMCA.US,D,20250703,000000,23.72,23.72,23.7,23.72,200,0
RMCA.US,D,20250708,000000,23.68,23.68,23.6356,23.6356,7533,0
RMCA.US,D,20250710,000000,23.65,23.665,23.65,23.665,405,0
RMCA.US,D,20250714,000000,23.53,23.545,23.49,23.545,3200,0
RMCA.US,D,20250716,000000,23.36,23.3724,23.36,23.3724,999,0
RMCA.US,D,20250717,000000,23.365,23.365,23.26,23.305,3073,0
RMCA.US,D,20250725,000000,23.3807,23.3807,23.375,23.375,136,0
RMCA.US,D,20250728,000000,23.39,23.42,23.37,23.42,532,0
RMCA.US,D,20250729,000000,23.46,23.4649,23.46,23.4649,3968,0
RMCA.US,D,20250811,000000,23.49,23.505,23.49,23.505,453,0
RMCA.US,D,20250813,000000,23.52,23.52,23.5174,23.5174,20591,0
RMCA.US,D,20250814,000000,23.43,23.4599,23.43,23.445,204,0
