<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAXM.US,D,20250321,000000,49.84,49.84,49.74,49.74,200,0
TAXM.US,D,20250331,000000,49.5802,49.6492,49.5802,49.6492,144,0
TAXM.US,D,20250403,000000,49.94,49.94,49.8716,49.8716,101,0
TAXM.US,D,20250415,000000,48.77,48.8142,48.77,48.8142,102,0
TAXM.US,D,20250428,000000,49.21,49.8,49.2091,49.223,4072,0
TAXM.US,D,20250429,000000,49.273,49.2753,49.273,49.2753,203,0
TAXM.US,D,20250514,000000,49.06,49.06,49.0468,49.0468,105,0
TAXM.US,D,20250519,000000,49.1,49.1855,49.04,49.1855,1000,0
TAXM.US,D,20250521,000000,48.87,48.8744,48.87,48.8744,102,0
TAXM.US,D,20250603,000000,48.71,48.71,48.6693,48.6693,413,0
TAXM.US,D,20250606,000000,48.73,48.89,48.64,48.75,6195,0
TAXM.US,D,20250612,000000,49.02,49.027,49.02,49.027,100,0
TAXM.US,D,20250623,000000,49.09,49.09,49.0558,49.0558,296,0
TAXM.US,D,20250626,000000,49.18,49.18,49.1608,49.1608,203,0
TAXM.US,D,20250701,000000,49.07,49.11,49.05,49.0844,5608,0
TAXM.US,D,20250702,000000,49.01,49.07,49.01,49.07,2720,0
TAXM.US,D,20250703,000000,49.04,49.05,49.04,49.0479,771,0
TAXM.US,D,20250707,000000,49.26,49.26,49.0506,49.0506,4928,0
TAXM.US,D,20250708,000000,49.04,49.04,48.96,49.0019,1328,0
TAXM.US,D,20250709,000000,49.01,49.01,49.01,49.01,361,0
TAXM.US,D,20250710,000000,49.03,49.27,48.99,49.0491,5413,0
TAXM.US,D,20250714,000000,48.91,48.91,48.89,48.9,1585,0
TAXM.US,D,20250717,000000,48.69,48.7,48.69,48.7,249,0
TAXM.US,D,20250718,000000,48.68,48.68,48.68,48.68,174,0
TAXM.US,D,20250721,000000,48.8081,48.82,48.8081,48.82,365,0
TAXM.US,D,20250723,000000,48.84,48.84,48.7899,48.7899,216,0
TAXM.US,D,20250725,000000,48.805,48.8145,48.805,48.8145,257,0
TAXM.US,D,20250804,000000,49.04,49.1,48.9901,49.069,5915,0
TAXM.US,D,20250807,000000,49.09,49.09,49.0454,49.0454,372,0
TAXM.US,D,20250811,000000,49.05,49.14,49.05,49.0944,309,0
TAXM.US,D,20250812,000000,49.09,49.58,49.0266,49.0534,2141,0
TAXM.US,D,20250813,000000,49.12,49.13,49.0848,49.0848,709,0
TAXM.US,D,20250814,000000,49.07,49.07,49.0103,49.0103,175,0
TAXM.US,D,20250815,000000,49.05,49.05,48.9868,48.9868,417,0
TAXM.US,D,20250818,000000,49.0211,49.024,49.0027,49.0027,1142,0
TAXM.US,D,20250820,000000,48.9809,48.9851,48.9809,48.9851,272,0
TAXM.US,D,20250822,000000,49.11,49.12,49.0582,49.0582,1866,0
TAXM.US,D,20250825,000000,49.12,49.12,49.075,49.0752,1313,0
TAXM.US,D,20250902,000000,48.96,49.08,48.9351,48.9351,61378,0
TAXM.US,D,20250903,000000,48.9999,49.055,48.9991,49.055,4062,0
TAXM.US,D,20250905,000000,49.418,49.52,49.418,49.52,1559,0
TAXM.US,D,20250908,000000,49.68,50.14,49.61,49.71,2114,0
TAXM.US,D,20250909,000000,49.7584,49.8,49.7319,49.7319,45253,0
TAXM.US,D,20250912,000000,50.035,50.12,50.035,50.0663,529,0
TAXM.US,D,20250915,000000,50.13,50.1535,50.13,50.1535,263,0
TAXM.US,D,20250916,000000,50.18,50.21,50.1682,50.1682,31000,0
TAXM.US,D,20250918,000000,50.15,50.16,50.1499,50.1502,1648,0
TAXM.US,D,20250922,000000,50.12,50.18,50.11,50.18,1650,0
TAXM.US,D,20250923,000000,50.15,50.159,50.07,50.1051,2185,0
TAXM.US,D,20250924,000000,50.065,50.0971,50.0617,50.0617,390,0
TAXM.US,D,20250925,000000,50.06,50.06,50.035,50.035,100,0
TAXM.US,D,20250929,000000,50.08,50.09,50.08,50.09,789,0
TAXM.US,D,20250930,000000,50.16,50.16,50.16,50.16,208,0
TAXM.US,D,20251001,000000,50.11,50.23,50.03,50.0687,1396,0
TAXM.US,D,20251003,000000,50.11,50.11,50.0652,50.0652,582,0
TAXM.US,D,20251009,000000,50.17,50.18,50.11,50.18,495,0
TAXM.US,D,20251010,000000,50.27,50.27,50.2396,50.2396,279,0
TAXM.US,D,20251015,000000,50.3001,50.3453,50.3001,50.3453,210,0
TAXM.US,D,20251017,000000,50.475,50.4766,50.475,50.4766,119,0
TAXM.US,D,20251020,000000,50.5,50.5001,50.495,50.495,401,0
TAXM.US,D,20251021,000000,50.565,50.565,50.5,50.536,855,0
TAXM.US,D,20251023,000000,50.46,50.5185,50.46,50.5135,471,0
TAXM.US,D,20251024,000000,50.49,50.4908,50.49,50.4908,209,0
TAXM.US,D,20251029,000000,50.56,50.56,50.4,50.47,10467,0
TAXM.US,D,20251030,000000,50.4485,50.4518,50.4485,50.4518,106,0
TAXM.US,D,20251103,000000,50.25,50.2796,50.23,50.2796,2730,0
