<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TELFY.US,D,20050225,000000,7.36127,7.41641,7.34466,7.41641,1139809,0
TELFY.US,D,20050228,000000,7.29482,7.33711,7.22608,7.26537,810467,0
TELFY.US,D,20050301,000000,7.31445,7.33484,7.28953,7.31445,583566,0
TELFY.US,D,20050302,000000,7.20268,7.26537,7.19135,7.24195,2200698,0
TELFY.US,D,20050303,000000,7.2072,7.23062,7.15532,7.20268,1800019,0
TELFY.US,D,20050304,000000,7.29482,7.38091,7.27367,7.34466,1076826,0
TELFY.US,D,20050307,000000,7.34466,7.39676,7.34466,7.38091,7751021,0
TELFY.US,D,20050308,000000,7.38545,7.43226,7.36127,7.37261,1311315,0
TELFY.US,D,20050309,000000,7.3575,7.38545,7.31747,7.31747,7172763,0
TELFY.US,D,20050310,000000,7.34087,7.36883,7.29482,7.34995,1423620,0
TELFY.US,D,20050311,000000,7.30538,7.34995,7.28575,7.31143,525134,0
TELFY.US,D,20050314,000000,7.2782,7.28272,7.18833,7.23062,1465356,0
TELFY.US,D,20050315,000000,7.24648,7.24648,7.18833,7.18833,4185884,0
TELFY.US,D,20050316,000000,7.17776,7.21553,7.11627,7.12738,912912,0
TELFY.US,D,20050317,000000,7.12367,7.17549,7.10448,7.131,1383408,0
TELFY.US,D,20050318,000000,7.17156,7.17549,7.10011,7.14724,1271849,0
TELFY.US,D,20050321,000000,7.131,7.131,7.01236,7.04114,1314350,0
TELFY.US,D,20050322,000000,7.07942,7.1119,6.98138,6.98842,2199939,0
TELFY.US,D,20050323,000000,6.9792,7.00125,6.95005,6.96137,1311315,0
TELFY.US,D,20050324,000000,6.96137,7.01236,6.93797,6.93797,922779,0
TELFY.US,D,20050328,000000,6.91229,6.98486,6.91229,6.91795,1161813,0
TELFY.US,D,20050329,000000,6.95428,6.99408,6.91016,6.91016,1630790,0
TELFY.US,D,20050330,000000,6.93367,7.01236,6.93367,6.9792,1958617,0
TELFY.US,D,20050331,000000,6.87808,6.90731,6.83615,6.84681,2854079,0
TELFY.US,D,20050401,000000,6.8425,6.85896,6.74403,6.77491,3065803,0
TELFY.US,D,20050404,000000,6.72824,6.77491,6.6932,6.76057,1423620,0
TELFY.US,D,20050405,000000,6.76495,6.81192,6.7564,6.79485,923530,0
TELFY.US,D,20050406,000000,6.8148,6.85104,6.78488,6.82399,1124633,0
TELFY.US,D,20050407,000000,6.82611,6.87808,6.82399,6.85467,883316,0
TELFY.US,D,20050408,000000,6.85104,6.89167,6.8148,6.85104,1416037,0
TELFY.US,D,20050411,000000,6.87808,6.91229,6.8425,6.89378,819569,0
TELFY.US,D,20050412,000000,6.8148,6.89167,6.78488,6.886,969068,0
TELFY.US,D,20050413,000000,6.83193,6.87528,6.80768,6.82399,752788,0
TELFY.US,D,20050414,000000,6.82399,6.82611,6.76781,6.78488,906835,0
TELFY.US,D,20050415,000000,6.73994,6.76495,6.65754,6.66918,834751,0
TELFY.US,D,20050418,000000,6.68021,6.72407,6.66502,6.71788,1103389,0
TELFY.US,D,20050419,000000,6.73231,6.75157,6.68497,6.74403,1095797,0
TELFY.US,D,20050420,000000,6.70006,6.75157,6.67258,6.6932,1236945,0
TELFY.US,D,20050421,000000,6.85896,6.85896,6.76495,6.85104,2311494,0
