<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WXET.US,D,20241226,000000,23.55,23.55,23.48,23.48,202,0
WXET.US,D,20250107,000000,23.47,23.56,23.47,23.56,101,0
WXET.US,D,20250121,000000,24.76,24.975,24.76,24.975,124,0
WXET.US,D,20250122,000000,24.49,24.51,24.49,24.51,518,0
WXET.US,D,20250124,000000,23.78,23.78,23.55,23.59,400,0
WXET.US,D,20250128,000000,23.57,23.6862,23.57,23.6862,104,0
WXET.US,D,20250211,000000,27.35,27.35,26.4406,26.4406,300,0
WXET.US,D,20250212,000000,26.9,26.9,26.22,26.22,201,0
WXET.US,D,20250220,000000,27.65,27.65,27.2601,27.325,567,0
WXET.US,D,20250221,000000,27.55,27.6382,27.55,27.6382,163,0
WXET.US,D,20250224,000000,26.64,26.64,26.64,26.64,110,0
WXET.US,D,20250226,000000,25.5682,25.5682,25.3,25.39,520,0
WXET.US,D,20250227,000000,24.8,24.8,23.8856,23.9418,1093,0
WXET.US,D,20250228,000000,23.8,23.8,23.3188,23.3188,264,0
WXET.US,D,20250304,000000,21.4491,22,21.4,21.8206,4799,0
WXET.US,D,20250306,000000,23.08,23.35,23.08,23.0851,2133,0
WXET.US,D,20250307,000000,22.97,23.035,22.96,23.035,387,0
WXET.US,D,20250310,000000,24.1,24.1,23.831,23.94,235,0
WXET.US,D,20250311,000000,23.64,23.64,23.3496,23.355,421,0
WXET.US,D,20250312,000000,23.3619,23.3619,23.1965,23.245,265,0
WXET.US,D,20250313,000000,24.249,24.249,23.885,23.885,400,0
WXET.US,D,20250314,000000,23.64,23.64,23.485,23.485,391,0
WXET.US,D,20250317,000000,24.75,24.851,24.3244,24.36,689,0
WXET.US,D,20250318,000000,24.8392,24.8392,24.02,24.02,203,0
WXET.US,D,20250319,000000,24,24.025,24,24.025,751,0
WXET.US,D,20250320,000000,23.5,23.5,23.385,23.385,471,0
WXET.US,D,20250321,000000,23.8183,23.8183,23.515,23.515,202,0
WXET.US,D,20250324,000000,22.9,22.9,22.6399,22.685,5363,0
WXET.US,D,20250325,000000,22.16,22.305,22.16,22.305,391,0
WXET.US,D,20250326,000000,21.9099,21.9099,21.605,21.605,482,0
WXET.US,D,20250327,000000,21.13,21.35,21.13,21.275,850,0
WXET.US,D,20250328,000000,20.35,21,20.2453,21,659,0
WXET.US,D,20250331,000000,21.75,21.75,21.75,21.75,225,0
WXET.US,D,20250401,000000,21.85,22.0101,21.85,22,392,0
WXET.US,D,20250402,000000,21.61,21.835,21.61,21.835,298,0
WXET.US,D,20250403,000000,21.6,21.7901,21.6,21.705,200,0
WXET.US,D,20250404,000000,20.68,21.293,20.68,21.293,912,0
WXET.US,D,20250407,000000,21.96,21.96,21.6376,21.6376,1296,0
WXET.US,D,20250408,000000,22.1,22.1,21.6281,21.6281,612,0
WXET.US,D,20250409,000000,21.8719,22.17,21.8719,22.1468,303,0
WXET.US,D,20250410,000000,21.93,21.93,21.9104,21.9104,113,0
WXET.US,D,20250411,000000,23.061,23.21,22.95,23.21,3295,0
WXET.US,D,20250414,000000,22.5788,22.61,22.35,22.5332,1038,0
WXET.US,D,20250415,000000,22.28,22.28,22.0386,22.125,2655,0
WXET.US,D,20250416,000000,22.29,22.5351,22.29,22.5351,1117,0
WXET.US,D,20250417,000000,23.0416,23.0416,22.455,22.455,154,0
WXET.US,D,20250421,000000,22.149,22.149,21.801,21.875,581,0
WXET.US,D,20250422,000000,21.389,21.87,21.335,21.5308,1276,0
WXET.US,D,20250423,000000,21.28,21.28,21.1123,21.1123,749,0
WXET.US,D,20250424,000000,21.1095,21.2305,21.1095,21.1603,600,0
WXET.US,D,20250425,000000,21.25,21.25,21.165,21.19,728,0
WXET.US,D,20250428,000000,20.07,20.22,19.9724,20.22,5008,0
WXET.US,D,20250429,000000,20.22,20.22,19.588,19.6102,805,0
WXET.US,D,20250430,000000,20.42,20.42,19.97,20.0388,2264,0
WXET.US,D,20250501,000000,20.4,20.4,20.0717,20.0717,440,0
WXET.US,D,20250502,000000,21.05,21.21,20.9,20.9985,3661,0
WXET.US,D,20250505,000000,20.55,20.589,20.01,20.01,1163,0
WXET.US,D,20250506,000000,20.45,20.56,20.3283,20.3283,2479,0
WXET.US,D,20250507,000000,20.47,20.53,20.284,20.284,3794,0
WXET.US,D,20250508,000000,19.979,19.98,19.925,19.935,1008,0
WXET.US,D,20250509,000000,19.41,19.41,19.32,19.3275,2437,0
WXET.US,D,20250512,000000,19.78,19.78,18.83,18.83,210,0
WXET.US,D,20250513,000000,18.2807,19.24,18.28,19.035,6512,0
WXET.US,D,20250514,000000,18.8,19.505,18.32,19.505,4092,0
WXET.US,D,20250516,000000,19.49,19.5551,19.49,19.5551,152,0
WXET.US,D,20250521,000000,21.6824,21.76,21.26,21.26,672,0
WXET.US,D,20250522,000000,20.95,21.079,20.95,20.9901,358,0
WXET.US,D,20250523,000000,21.18,21.18,20.7,20.9386,300,0
WXET.US,D,20250528,000000,19.85,19.855,19.85,19.855,106,0
WXET.US,D,20250530,000000,20.25,20.25,20.09,20.1451,980,0
WXET.US,D,20250602,000000,21.09,21.2201,20.53,20.5701,1619,0
WXET.US,D,20250604,000000,20.35,20.92,20.35,20.92,378,0
WXET.US,D,20250605,000000,21.15,21.2922,20.9,21.015,2400,0
WXET.US,D,20250606,000000,20.93,21.85,20.93,21.825,2578,0
WXET.US,D,20250609,000000,20.78,20.82,20.78,20.82,476,0
WXET.US,D,20250610,000000,20.32,20.57,20.2235,20.2235,417,0
WXET.US,D,20250611,000000,20.22,20.24,20.19,20.2,2611,0
WXET.US,D,20250612,000000,19.65,19.655,19.65,19.655,119,0
WXET.US,D,20250613,000000,20.28,20.869,20.28,20.869,448,0
WXET.US,D,20250616,000000,20.151,20.4,20.151,20.4,152,0
WXET.US,D,20250617,000000,21.0609,21.3504,21.0609,21.3504,780,0
WXET.US,D,20250618,000000,22.6,23.13,21.57,23.13,2059,0
WXET.US,D,20250620,000000,23,23.25,22.645,22.645,981,0
WXET.US,D,20250624,000000,20.626,20.626,20.32,20.32,531,0
WXET.US,D,20250625,000000,19.78,19.78,19.7,19.7,295,0
WXET.US,D,20250627,000000,19.37,19.445,19.37,19.445,104,0
WXET.US,D,20250630,000000,19.35,19.35,19.21,19.21,262,0
WXET.US,D,20250711,000000,20.1501,20.1501,19.785,19.785,308,0
WXET.US,D,20250714,000000,19.73,19.73,19.5395,19.5395,153,0
WXET.US,D,20250716,000000,19.6275,19.6275,19.545,19.545,121,0
WXET.US,D,20250718,000000,20.0731,20.0731,19.8561,19.8561,493,0
WXET.US,D,20250722,000000,19.9,20.14,19.9,20.12,1208,0
WXET.US,D,20250731,000000,17.939,18.225,17.939,18.225,1198,0
WXET.US,D,20250806,000000,17.169,17.169,17.16,17.16,276,0
WXET.US,D,20250813,000000,17.069,17.075,16.915,17.075,599,0
WXET.US,D,20250814,000000,16.899,16.915,16.899,16.915,471,0
WXET.US,D,20250829,000000,17.38,17.415,17.38,17.415,151,0
WXET.US,D,20250902,000000,16.681,17.085,16.681,17.085,1802,0
WXET.US,D,20250903,000000,16.77,16.77,16.68,16.68,788,0
WXET.US,D,20250904,000000,16.31,16.5447,16.24,16.5447,833,0
WXET.US,D,20250908,000000,16.63,16.8098,16.551,16.8098,627,0
WXET.US,D,20250912,000000,16.448,16.724,16.448,16.67,783,0
WXET.US,D,20250915,000000,17.18,17.18,16.8183,16.9194,11026,0
WXET.US,D,20250916,000000,17.225,17.4331,17.216,17.4331,263,0
WXET.US,D,20250917,000000,17.3701,17.3701,17.1213,17.1213,1437,0
WXET.US,D,20250918,000000,17.08,17.16,16.8594,16.8594,2305,0
WXET.US,D,20250919,000000,16.79,16.79,16.57,16.7065,10138,0
WXET.US,D,20250922,000000,16.281,16.29,15.88,15.9952,5146,0
WXET.US,D,20250923,000000,16.09,16.6091,16.09,16.6091,705,0
WXET.US,D,20250925,000000,16.7,16.925,16.7,16.925,6944,0
WXET.US,D,20250926,000000,16.67,16.67,16.4615,16.47,7562,0
WXET.US,D,20250930,000000,15.83,16.39,15.7397,15.7397,1863,0
WXET.US,D,20251001,000000,15.53,15.8884,15.53,15.8884,1210,0
WXET.US,D,20251002,000000,16.09,16.1581,16.09,16.1581,127,0
WXET.US,D,20251003,000000,16.34,16.35,16.1797,16.1797,2312,0
WXET.US,D,20251006,000000,16.17,16.25,16.0498,16.0498,2295,0
WXET.US,D,20251007,000000,16.0609,16.07,15.6498,15.6498,3358,0
WXET.US,D,20251008,000000,15.75,15.75,15.62,15.7247,2711,0
WXET.US,D,20251010,000000,15.489,15.49,15.1997,15.1997,1087,0
WXET.US,D,20251013,000000,15.133,15.2674,15.08,15.08,3721,0
WXET.US,D,20251014,000000,15.2,15.297,14.87,15.297,453,0
WXET.US,D,20251015,000000,15.05,15.22,15.05,15.21,1026,0
WXET.US,D,20251016,000000,15.399,15.4347,15.399,15.4347,600,0
WXET.US,D,20251020,000000,15.5701,15.6144,15.569,15.6144,213,0
WXET.US,D,20251021,000000,15.29,15.339,15.29,15.3155,562,0
WXET.US,D,20251022,000000,15.53,15.5418,15.53,15.5418,5352,0
WXET.US,D,20251024,000000,16.08,16.08,16.0494,16.0494,2764,0
WXET.US,D,20251027,000000,16.961,17.089,16.84,16.84,2338,0
WXET.US,D,20251028,000000,17.3,17.369,16.98,17.1074,1001,0
WXET.US,D,20251030,000000,16.5713,16.78,16.5713,16.748,1334,0
WXET.US,D,20251031,000000,16.95,17.3345,16.95,17.3345,402,0
WXET.US,D,20251103,000000,17.899,18.06,17.87,18.06,4276,0
WXET.US,D,20251104,000000,18.22,18.4197,17.991,18.4197,2395,0
WXET.US,D,20251105,000000,18.36,18.6944,18.36,18.6944,1337,0
WXET.US,D,20251106,000000,17.451,17.51,17.4101,17.4456,3803,0
WXET.US,D,20251107,000000,17.15,17.46,16.85,16.89,5557,0
WXET.US,D,20251110,000000,17.121,17.46,17.12,17.46,5407,0
WXET.US,D,20251111,000000,17.36,17.4599,17.36,17.4599,100,0
WXET.US,D,20251113,000000,17.5275,17.5275,17.465,17.465,151,0
WXET.US,D,20251114,000000,16.8,16.88,16.8,16.8,3285,0
WXET.US,D,20251117,000000,17.65,17.875,17.64,17.875,1550,0
WXET.US,D,20251118,000000,17.99,18.009,17.871,17.895,2239,0
WXET.US,D,20251119,000000,17.36,17.36,17.3249,17.3249,214,0
WXET.US,D,20251120,000000,16.771,16.7918,16.77,16.7918,421,0
WXET.US,D,20251121,000000,16.681,16.8501,16.681,16.8501,545,0
WXET.US,D,20251124,000000,16.245,16.4145,16.245,16.4145,170,0
WXET.US,D,20251125,000000,16.68,16.68,16.585,16.585,114,0
WXET.US,D,20251126,000000,16.781,16.781,16.725,16.725,553,0
WXET.US,D,20251128,000000,16.43,16.6,16.43,16.5979,1323,0
WXET.US,D,20251202,000000,16.6285,16.735,16.6285,16.735,1039,0
WXET.US,D,20251203,000000,16.62,16.62,16.59,16.59,162,0
WXET.US,D,20251204,000000,16.739,16.74,16.69,16.69,1025,0
WXET.US,D,20251205,000000,16.351,16.42,16.351,16.42,1736,0
WXET.US,D,20251208,000000,16.4183,16.54,16.3449,16.3449,692,0
WXET.US,D,20251211,000000,16.2016,16.36,16.2016,16.36,965,0
WXET.US,D,20251212,000000,16.129,16.129,16.06,16.06,937,0
WXET.US,D,20251215,000000,15.69,15.69,15.535,15.535,937,0
WXET.US,D,20251216,000000,14.869,15.32,14.85,14.85,2204,0
WXET.US,D,20251218,000000,14.815,14.815,14.785,14.785,342,0
WXET.US,D,20251219,000000,14.73,14.885,14.73,14.885,131,0
WXET.US,D,20251222,000000,15.32,15.32,15.15,15.195,609,0
WXET.US,D,20251223,000000,15.249,15.35,15.249,15.345,5896,0
WXET.US,D,20251224,000000,15.5,15.63,15.5,15.6199,2553,0
WXET.US,D,20251226,000000,15.62,15.62,15.455,15.455,512,0
WXET.US,D,20251229,000000,15.11,15.11,15.02,15.0265,863,0
WXET.US,D,20251231,000000,14.87,14.88,14.665,14.665,10185,0
WXET.US,D,20260102,000000,14.52,14.68,14.52,14.68,307,0
WXET.US,D,20260105,000000,14.8,15.055,14.8,15.055,575,0
WXET.US,D,20260106,000000,15.04,15.04,14.8885,14.8885,2338,0
WXET.US,D,20260107,000000,15.3001,15.365,15.3001,15.365,149,0
WXET.US,D,20260109,000000,15.151,15.4,15.15,15.3298,5057,0
WXET.US,D,20260112,000000,15.661,15.89,15.015,15.015,5090,0
WXET.US,D,20260113,000000,14.82,14.962,14.805,14.9199,2500,0
WXET.US,D,20260114,000000,15.02,15.02,14.955,14.955,3137,0
WXET.US,D,20260122,000000,15.18,15.18,15.18,15.18,247,0
WXET.US,D,20260123,000000,16.045,16.07,16.02,16.07,1819,0
