<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVAQU.US,D,20251223,000000,9.98,9.98,9.94,9.94,8769543,0
SVAQU.US,D,20251224,000000,9.95,9.95,9.94,9.94,296806,0
SVAQU.US,D,20251226,000000,9.94,9.965,9.94,9.94,425510,0
SVAQU.US,D,20251229,000000,9.95,9.955,9.94,9.94,1064906,0
SVAQU.US,D,20251230,000000,9.95,9.95,9.94,9.95,19752,0
SVAQU.US,D,20251231,000000,9.95,9.95,9.935,9.945,79638,0
SVAQU.US,D,20260102,000000,9.94,9.9647,9.94,9.96,412369,0
SVAQU.US,D,20260105,000000,9.96,10,9.96,9.99,170130,0
SVAQU.US,D,20260106,000000,9.96,9.975,9.96,9.97,152983,0
SVAQU.US,D,20260107,000000,9.961,9.97,9.96,9.97,37849,0
SVAQU.US,D,20260108,000000,9.97,9.975,9.97,9.975,13445,0
SVAQU.US,D,20260109,000000,9.97,9.97,9.95,9.96,106040,0
SVAQU.US,D,20260112,000000,9.9999,9.9999,9.95,9.97,130909,0
SVAQU.US,D,20260113,000000,9.98,9.98,9.9638,9.98,15584,0
SVAQU.US,D,20260114,000000,9.98,9.98,9.971,9.971,12034,0
SVAQU.US,D,20260115,000000,9.99,9.99,9.99,9.99,16198,0
SVAQU.US,D,20260116,000000,9.9856,9.99,9.9834,9.9834,107062,0
SVAQU.US,D,20260120,000000,9.985,10,9.985,10,201651,0
SVAQU.US,D,20260121,000000,9.983,9.99,9.98,9.98,2269,0
SVAQU.US,D,20260122,000000,9.9743,10.04,9.9743,10.04,198815,0
SVAQU.US,D,20260123,000000,10.04,10.04,9.98,10.01,143720,0
