<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDD.US,D,20210922,000000,125.288,126.615,125.282,126.615,852.942,0
BNDD.US,D,20210923,000000,126.236,126.236,124.354,124.42,493.996,0
BNDD.US,D,20210924,000000,123.784,123.784,122.826,122.904,916.005,0
BNDD.US,D,20210927,000000,121.981,122.524,121.981,122.372,3823.86,0
BNDD.US,D,20210928,000000,120.275,120.719,120.071,120.26,1516.89,0
BNDD.US,D,20210929,000000,120.77,120.77,119.619,120.058,625.676,0
BNDD.US,D,20210930,000000,119.896,120.071,119.87,119.967,395.831,0
BNDD.US,D,20211001,000000,120.375,120.77,120.375,120.755,16903.9,0
BNDD.US,D,20211004,000000,120.275,120.996,120.275,120.627,97.1731,0
BNDD.US,D,20211005,000000,119.745,119.745,119.469,119.548,289.536,0
BNDD.US,D,20211006,000000,120.379,120.478,120.224,120.366,570.545,0
BNDD.US,D,20211007,000000,119.417,119.417,119.141,119.141,357.755,0
BNDD.US,D,20211008,000000,118.266,118.521,118.067,118.426,1253.13,0
BNDD.US,D,20211011,000000,118.47,118.47,118.371,118.371,95.7849,0
BNDD.US,D,20211012,000000,119.267,120.375,119.267,120.375,37.2827,0
BNDD.US,D,20211013,000000,122.129,123.211,122.129,123.211,5937.28,0
BNDD.US,D,20211014,000000,123.76,124.581,123.76,124.072,243.329,0
BNDD.US,D,20211015,000000,123.784,124.155,123.328,124.155,424.19,0
BNDD.US,D,20211018,000000,125.134,126.588,125.134,126.134,5560.68,0
BNDD.US,D,20211019,000000,125.086,125.086,124.347,124.347,155.278,0
BNDD.US,D,20211020,000000,123.232,123.232,123.027,123.027,79.7216,0
BNDD.US,D,20211021,000000,123.227,123.304,123.154,123.283,294.494,0
BNDD.US,D,20211022,000000,125.038,125.458,125.004,125.004,539.013,0
BNDD.US,D,20211025,000000,124.933,125.186,124.431,125.174,1124.82,0
BNDD.US,D,20211026,000000,125.334,125.878,124.933,125.878,360.135,0
BNDD.US,D,20211027,000000,127.372,129.132,127.372,129.102,328.014,0
BNDD.US,D,20211028,000000,130.488,130.488,129.35,129.454,373.885,0
BNDD.US,D,20211029,000000,130.255,130.255,129.799,129.799,112.106,0
BNDD.US,D,20211101,000000,129.679,130.046,129.436,130.046,397.413,0
BNDD.US,D,20211102,000000,130.338,130.338,129.886,129.97,239.238,0
BNDD.US,D,20211103,000000,130.159,130.285,128.377,128.377,206.615,0
BNDD.US,D,20211104,000000,128.019,129.172,127.871,128.93,676.196,0
BNDD.US,D,20211105,000000,130.14,130.554,130.14,130.554,52.1975,0
BNDD.US,D,20211108,000000,130.488,130.812,130.488,130.812,156.988,0
BNDD.US,D,20211109,000000,132.347,132.996,132.218,132.218,178.539,0
BNDD.US,D,20211110,000000,133.329,133.329,131.041,131.339,457.124,0
BNDD.US,D,20211111,000000,132.149,132.947,131.542,132.947,12263.6,0
BNDD.US,D,20211112,000000,132.498,132.498,130.685,131.097,7759.84,0
BNDD.US,D,20211115,000000,131.035,131.035,129.757,129.757,5707.72,0
BNDD.US,D,20211116,000000,130.441,130.739,129.178,129.325,3005.31,0
BNDD.US,D,20211117,000000,129.026,129.795,128.756,129.795,856.515,0
BNDD.US,D,20211118,000000,129.736,130.134,129.736,130.009,1566.12,0
BNDD.US,D,20211119,000000,130.781,131.994,130.781,131.974,1208.84,0
BNDD.US,D,20211122,000000,131.794,131.943,130.838,131.238,1265.98,0
BNDD.US,D,20211123,000000,130.591,130.591,129.08,129.08,1480.31,0
BNDD.US,D,20211124,000000,130.185,131.749,130.134,131.749,1667.75,0
BNDD.US,D,20211126,000000,131.918,133.355,131.918,133.355,1173.85,0
BNDD.US,D,20211129,000000,131.994,132.649,131.893,132.545,3623.77,0
BNDD.US,D,20211130,000000,133.177,135.569,133.177,135.444,9185.59,0
BNDD.US,D,20211201,000000,134.918,138.602,134.414,136.512,36980.4,0
BNDD.US,D,20211202,000000,137.087,137.087,136.176,136.582,63320.4,0
BNDD.US,D,20211203,000000,136.281,138.351,136.281,137.995,7886.77,0
BNDD.US,D,20211206,000000,137.995,137.995,136.281,136.859,25264.2,0
BNDD.US,D,20211207,000000,136.632,137.159,136.156,136.156,3661.54,0
BNDD.US,D,20211208,000000,135.976,135.976,131.135,133.249,106806,0
BNDD.US,D,20211209,000000,134.109,134.918,133.711,134.464,43518.1,0
BNDD.US,D,20211210,000000,134.868,135.072,133.763,134.109,84442.8,0
BNDD.US,D,20211213,000000,135.323,135.522,134.868,134.994,25727.2,0
BNDD.US,D,20211214,000000,134.918,135.621,134.214,135.276,82323.5,0
BNDD.US,D,20211215,000000,134.109,135.072,132.596,133.558,63552.9,0
BNDD.US,D,20211216,000000,133.153,133.958,132.71,133.153,29236.3,0
BNDD.US,D,20211217,000000,133.965,134.717,133.958,134.717,14508.7,0
BNDD.US,D,20211220,000000,134.564,134.717,133.711,134.059,120770,0
BNDD.US,D,20211221,000000,133.203,133.31,132.242,132.9,95252.9,0
BNDD.US,D,20211222,000000,133.858,134.161,133.365,133.958,137856,0
BNDD.US,D,20211223,000000,133.958,133.958,132.397,132.801,166341,0
BNDD.US,D,20211227,000000,133.006,133.355,132.801,133.254,16490.2,0
BNDD.US,D,20211228,000000,133.763,134.059,132.397,132.649,21086.2,0
BNDD.US,D,20211229,000000,131.78,131.982,131.149,131.475,80322.6,0
BNDD.US,D,20211230,000000,131.88,132.137,131.271,132.026,23831.4,0
BNDD.US,D,20211231,000000,131.931,132.999,131.931,132.137,41197.3,0
BNDD.US,D,20220103,000000,131.225,131.626,129.6,129.651,70361,0
BNDD.US,D,20220104,000000,128.638,128.895,127.679,128.44,67459.5,0
BNDD.US,D,20220105,000000,128.943,128.943,127.782,127.983,40089.9,0
BNDD.US,D,20220106,000000,127.679,128.744,127.679,128.539,36802.7,0
BNDD.US,D,20220107,000000,128.44,128.638,127.018,127.731,20699.3,0
BNDD.US,D,20220110,000000,127.275,128.52,126.92,128.385,47698.7,0
BNDD.US,D,20220111,000000,129.248,129.553,128.335,129.058,29404.2,0
BNDD.US,D,20220112,000000,129.553,129.6,128.59,128.69,16200.2,0
BNDD.US,D,20220113,000000,128.638,129.651,128.335,129.455,62730.8,0
BNDD.US,D,20220114,000000,129.047,129.047,127.883,128.258,20389.7,0
BNDD.US,D,20220118,000000,127.679,128.185,127.122,127.122,136092,0
BNDD.US,D,20220119,000000,127.528,128.491,127.373,128.081,44353.2,0
BNDD.US,D,20220120,000000,128.445,128.843,128.141,128.744,29707.1,0
BNDD.US,D,20220121,000000,129.803,130.566,129.436,130.094,22525.8,0
BNDD.US,D,20220124,000000,131.025,131.025,128.185,128.185,42784.9,0
BNDD.US,D,20220125,000000,129.102,129.553,128.135,128.235,66793.1,0
BNDD.US,D,20220126,000000,128.161,128.284,127.477,127.836,34873.2,0
BNDD.US,D,20220127,000000,129.79,130.55,129.79,130.55,32041.4,0
BNDD.US,D,20220128,000000,129.741,130.85,129.484,130.497,15549.8,0
BNDD.US,D,20220131,000000,130.143,130.599,129.677,129.841,87469.9,0
BNDD.US,D,20220201,000000,129.937,129.941,129.141,129.689,47297.8,0
BNDD.US,D,20220202,000000,129.79,131.364,129.79,130.244,24418.1,0
BNDD.US,D,20220203,000000,128.666,129.587,128.116,129.279,58327.1,0
BNDD.US,D,20220204,000000,129.33,129.412,128.315,128.72,53244.3,0
BNDD.US,D,20220207,000000,128.469,128.933,128.291,128.774,15489.9,0
BNDD.US,D,20220208,000000,128.266,128.666,128.01,128.415,18080.9,0
BNDD.US,D,20220209,000000,128.666,129.484,128.526,128.825,28874.5,0
BNDD.US,D,20220210,000000,129.279,129.841,128.388,129.689,79580.4,0
BNDD.US,D,20220211,000000,129.587,130.702,128.341,130.398,92117,0
BNDD.US,D,20220214,000000,130.599,130.746,129.534,129.893,59331.8,0
BNDD.US,D,20220215,000000,129.079,129.178,128.01,128.167,58012.9,0
BNDD.US,D,20220216,000000,128.925,128.925,127.288,128.315,120684,0
BNDD.US,D,20220217,000000,128.617,129.484,127.861,128.565,25802.9,0
BNDD.US,D,20220218,000000,128.972,129.841,128.694,129.741,24399.8,0
BNDD.US,D,20220222,000000,129.849,130.854,129.689,130.599,32481,0
BNDD.US,D,20220223,000000,129.941,130.19,129.131,129.178,27320,0
BNDD.US,D,20220224,000000,131.114,131.114,128.925,129.635,56706.7,0
BNDD.US,D,20220225,000000,129.741,129.941,128.872,129.454,16030.2,0
BNDD.US,D,20220228,000000,130.047,131.929,129.893,131.267,31770.8,0
BNDD.US,D,20220301,000000,130.708,132.085,130.352,131.831,76785,0
BNDD.US,D,20220302,000000,130.708,131.288,128.694,128.872,40626.3,0
BNDD.US,D,20220303,000000,129.484,130.708,129.279,130.197,32705.1,0
BNDD.US,D,20220304,000000,132.235,132.846,131.347,132.846,47927.4,0
