<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSML.US,D,20251212,000000,25.6315,25.6315,25.6315,25.6315,5,0
FSML.US,D,20251216,000000,25.0794,25.0794,25.0794,25.0794,207,0
FSML.US,D,20251217,000000,25.0232,25.0232,25.0232,25.0232,201,0
FSML.US,D,20251218,000000,25,25,24.8961,24.8961,100,0
FSML.US,D,20251219,000000,25.02,25.0526,25.02,25.0526,100,0
FSML.US,D,20251222,000000,25.375,25.375,25.2983,25.2983,211,0
FSML.US,D,20260109,000000,26.23,26.23,26.23,26.23,1139474,0
FSML.US,D,20260112,000000,26.105,26.2,26.071,26.1868,4891,0
FSML.US,D,20260113,000000,26.24,26.24,26.06,26.06,2543874,0
FSML.US,D,20260114,000000,26.14,26.1906,26.14,26.1906,134608,0
FSML.US,D,20260116,000000,26.61,26.61,26.4643,26.4643,1539,0
FSML.US,D,20260120,000000,26.17,26.17,26.07,26.07,985,0
FSML.US,D,20260122,000000,27.01,27.01,26.69,26.77,11774,0
FSML.US,D,20260123,000000,26.38,26.38,26.2,26.2,647,0
